assigned,longitude,latitude
heermanni,-116.61,31.81
heermanni,-117.16,32.73
heermanni,-116.94,32.54
heermanni,-117.08,32.55
heermanni,-119.85,34.41
heermanni,-117.81,33.66
heermanni,-118.98,34.23
heermanni,-114.92,29.67
heermanni,-121.88,38.68
heermanni,-121.92,36.63
heermanni,-121.64,38.39
heermanni,-121.76,38.57
heermanni,-117.16,33.36
heermanni,-117.3,33.09
heermanni,-119.58,35.76
heermanni,-116.84,33.74
heermanni,-116.51,33.65
heermanni,-122.09,38.52
heermanni,-121.72,38.7
heermanni,-118.17,35.73
heermanni,-115.79,33.12
heermanni,-117.25,32.85
heermanni,-115.22,29.97
heermanni,-118.03,35.84
heermanni,-119.72,36.99
heermanni,-120.46,34.64
heermanni,-118.36,34.28
heermanni,-121.21,37.64
heermanni,-114.72,29.73
heermanni,-116.75,34.28
heermanni,-118.13,34.14
heermanni,-117.06,33.83
heermanni,-118.14,34.7
heermanni,-116.77,33.24
heermanni,-116.48,32.88
heermanni,-116.19,32.65
heermanni,-119.55,37.75
heermanni,-118.04,34.03
heermanni,-118.5,34.17
heermanni,-120.7,38.63
heermanni,-115.27,32.55
heermanni,-118.82,34.01
heermanni,-116.49,33.02
heermanni,-119.85,34.56
heermanni,-116.5,32.72
heermanni,-116.77,32.94
heermanni,-117.32,33.23
heermanni,-119.63,34.44
heermanni,-111.13,32.37
heermanni,-118.61,34.41
heermanni,-120.3,34.61
heermanni,-120.66,35.28
heermanni,-110.57,29.32
heermanni,-116.51,34.07
heermanni,-109.74,29.97
heermanni,-118.42,34.07
heermanni,-120.47,37.31
heermanni,-122.09,36.96
heermanni,-121.05,38.94
heermanni,-117.02,32.67
heermanni,-118.6,36.79
heermanni,-117.87,33.75
heermanni,-119.52,34.4
heermanni,-121,37.26
heermanni,-117.25,32.43
heermanni,-120.85,37.03
heermanni,-116.4,31.54
heermanni,-117.75,34.18
heermanni,-121.7,38.04
heermanni,-116.4,33.36
heermanni,-120.8,35.77
heermanni,-120.88,35.27
heermanni,-118.85,39.47
heermanni,-117.96,33.96
heermanni,-120.66,35.04
heermanni,-121.59,36.77
heermanni,-121.11,35.57
heermanni,-121.7,36.74
heermanni,-121.81,36.67
heermanni,-115.6,33.2
heermanni,-120.9,36.02
heermanni,-120.32,37.29
heermanni,-117.07,33.13
