assigned,longitude,latitude
inexspectata,-127.04,54.71
inexspectata,-130,55.94
inexspectata,-129.3,56.09
inexspectata,-131.72,55.5
inexspectata,-131.7,55.35
inexspectata,-134.65,58.38
inexspectata,-143.17,63.35
inexspectata,-131,55
inexspectata,-135.75,59.33
inexspectata,-132.3,56.65
inexspectata,-130.95,56.13
inexspectata,-122.07,54.11
inexspectata,-122.98,53.89
inexspectata,-122.26,49.01
inexspectata,-123,50.09
inexspectata,-124.04,52.34
inexspectata,-123.17,49.2
inexspectata,-120.02,46.23
inexspectata,-120.6,46.68
inexspectata,-120.3,46.6
inexspectata,-120.54,46.48
