assigned,longitude,latitude
juddi,-107.67,48.42
juddi,-120.03,55.53
juddi,-108.34,36.73
juddi,-103.7,35.18
juddi,-100.76,31.27
juddi,-113.22,53.73
juddi,-96.59,40.65
juddi,-99.29,38.72
juddi,-96.28,30.44
juddi,-95.35,32.2
juddi,-99.04,37.08
juddi,-95.16,38.8
juddi,-96.56,45.52
juddi,-99.93,37.74
juddi,-94.73,39.94
juddi,-98.09,37.15
juddi,-99.29,37.17
juddi,-97.16,37.39
juddi,-97.48,37.24
juddi,-101.9,37.12
juddi,-101.57,39.98
juddi,-95.7,39.05
juddi,-98.65,46.88
juddi,-94.83,38.9
juddi,-94.85,39.04
juddi,-94.51,38.92
juddi,-114.35,53.98
juddi,-96.37,30.67
juddi,-94.98,39.19
juddi,-97.1,38.35
juddi,-95.18,38.89
juddi,-95.26,38.98
juddi,-83.88,42.03
juddi,-90.15,46.45
juddi,-92.54,47.46
juddi,-97.42,48.42
juddi,-100,47.5
juddi,-85.5,44.25
juddi,-94.13,35.82
juddi,-96.53,46.33
juddi,-97.13,48.2
juddi,-93.26,44.98
juddi,-99.82,37.24
juddi,-95.1,39.81
juddi,-94.57,39.04
juddi,-103.65,44.47
juddi,-105.46,46.32
juddi,-97.43,38.04
juddi,-96.24,37.89
juddi,-96.21,43.65
juddi,-94.9,38.65
juddi,-95.33,38.88
juddi,-95.02,39.74
juddi,-100.34,38.64
juddi,-100.4,38.83
juddi,-99.88,38.85
juddi,-99.88,39
juddi,-100.09,38.84
juddi,-99.73,38.99
juddi,-99.88,39.13
juddi,-94.35,35.44
juddi,-97.65,39.48
juddi,-97.8,39.79
juddi,-97.61,39.57
juddi,-94.24,34.59
juddi,-112.97,62.92
juddi,-96.96,40.63
juddi,-87.69,41.85
juddi,-99.1,38.18
juddi,-87.89,41.73
juddi,-103.63,38.01
juddi,-104.14,40.27
juddi,-99.24,30.08
juddi,-104.17,49.8
juddi,-100.84,49.32
juddi,-108.25,49.25
juddi,-113.5,53.55
juddi,-98.82,48.22
juddi,-96.38,46.54
juddi,-98.8,29.95
juddi,-93.71,46.53
juddi,-88.84,43.46
juddi,-94.74,37.38
juddi,-101.66,34.99
juddi,-97.1,49.95
juddi,-95.19,49.62
juddi,-88.64,42.63
juddi,-100.06,48.84
juddi,-108.8,40.09
juddi,-102.8,40.86
juddi,-97.57,30.11
juddi,-96.56,40.77
juddi,-99.91,48.91
juddi,-96.99,50.63
juddi,-112.53,53.44
juddi,-102.22,40.08
juddi,-104.98,39.74
juddi,-102.4,37.56
juddi,-104.07,40.38
juddi,-102.26,40.99
juddi,-105.15,39.8
juddi,-112.75,52.87
juddi,-112.82,53.02
juddi,-99.21,48.49
juddi,-99.82,48.22
juddi,-86.16,39.77
juddi,-101.92,53.83
juddi,-103.22,38.07
juddi,-102.12,38.05
juddi,-105.27,40.02
juddi,-104.76,39.52
juddi,-103.69,39.26
juddi,-97.7,26.19
juddi,-96.61,33.62
juddi,-100.33,49
juddi,-84.74,41.18
juddi,-93.61,41.6
