assigned,longitude,latitude
mailliardi,-121.8,38.53
mailliardi,-122.09,38.52
mailliardi,-121.72,38.7
mailliardi,-110.57,29.32
mailliardi,-122.01,39.21
mailliardi,-121,37.65
mailliardi,-121.71,38.17
mailliardi,-121.82,38
mailliardi,-121.48,38.57
mailliardi,-121.21,37.64
mailliardi,-121.28,37.82
mailliardi,-121.33,38.21
mailliardi,-121.38,37.93
mailliardi,-121.92,39.3
mailliardi,-121.51,38.39
mailliardi,-121.6,38.74
mailliardi,-121.05,38.94
mailliardi,-122.19,39.52
mailliardi,-121.37,37.75
mailliardi,-121.7,38.04
mailliardi,-121.59,39.15
