assigned,longitude,latitude
melodia,-118.55,33.01
melodia,-77.89,37.67
melodia,-76.68,39.15
melodia,-88.53,43
melodia,-79.97,38.93
melodia,-86.17,39.98
melodia,-76.99,39.74
melodia,-71.58,42.27
melodia,-88.29,42.92
melodia,-114.01,50.9
melodia,-114.17,51.09
melodia,-86.76,40.39
melodia,-79.81,39.04
melodia,-80.02,39.27
melodia,-90.76,38.64
melodia,-83.44,44.26
melodia,-83.19,41.63
melodia,-71.18,42.2
melodia,-72.12,41.51
melodia,-112.64,54.16
melodia,-72.37,40.99
melodia,-114.73,53.55
melodia,-73.83,40.62
melodia,-78.51,45.59
melodia,-70.19,41.27
melodia,-81.49,41.5
melodia,-112.83,53.41
melodia,-112.81,53.68
melodia,-72.69,44.48
melodia,-75.66,42.84
melodia,-73.44,45.85
melodia,-84.26,42.39
melodia,-83.19,42.11
melodia,-77.15,38.9
melodia,-79.38,43.78
melodia,-73.68,41.18
melodia,-85.49,42.82
melodia,-74.09,40.91
melodia,-64.6,44.41
melodia,-101.77,40.1
melodia,-97.91,50.29
melodia,-111.91,50.45
melodia,-75.59,39.87
melodia,-84.01,39.74
melodia,-85.04,35.98
melodia,-88.38,43.01
melodia,-72.36,43.08
melodia,-70.54,41.84
melodia,-110.29,49.66
melodia,-81.35,40.88
melodia,-110.14,54.46
melodia,-73.1,41.18
melodia,-73.54,41.11
melodia,-64.87,47.62
melodia,-75.07,40.33
melodia,-75.61,45.28
melodia,-81.82,29.16
melodia,-71.06,42.27
melodia,-99.73,38.8
melodia,-76.47,44.25
melodia,-77.54,38.83
melodia,-77.56,39.97
melodia,-70.99,42.39
melodia,-80.58,43.55
melodia,-80.57,37.2
melodia,-81.09,46.43
melodia,-71.96,44.09
melodia,-80.35,43.38
melodia,-76.69,45.28
melodia,-77.24,44.71
melodia,-77.57,43.07
melodia,-79.24,43.71
melodia,-77.51,38.31
melodia,-93.63,42.07
melodia,-79.72,43.61
melodia,-81.89,36.21
melodia,-74.77,39.03
melodia,-80.23,39.34
melodia,-74.8,44.16
melodia,-78.27,44.56
melodia,-75.79,42.86
melodia,-73.98,45.32
melodia,-76.89,40.96
melodia,-80.21,43.54
melodia,-79.98,37.88
melodia,-90.19,38.87
melodia,-81.06,31.92
melodia,-74.99,39.83
melodia,-85.3,35.03
melodia,-76.73,39.46
melodia,-71.2,42.4
melodia,-93.08,44.68
melodia,-73.31,44.75
melodia,-70.86,42.03
melodia,-71.09,42.45
melodia,-79.39,39.45
melodia,-86.89,40.38
melodia,-75.68,45.45
melodia,-78.27,44.97
melodia,-74.24,45.9
melodia,-71.65,42.46
melodia,-70.37,41.7
melodia,-81.35,41.43
melodia,-70.92,42.77
melodia,-81.04,38.6
melodia,-72.18,44.75
melodia,-87.48,41.32
melodia,-90.92,46.49
melodia,-83.39,44.82
melodia,-65.71,47.78
melodia,-79.24,43.95
melodia,-78.69,44.59
melodia,-110.37,54.52
melodia,-72.58,44.56
melodia,-78.88,38.42
melodia,-72.29,44.38
melodia,-72.57,44.26
melodia,-81.92,36.09
melodia,-102.27,40.09
melodia,-72.99,41.26
melodia,-117.93,45.01
melodia,-83.01,38.73
melodia,-77.39,38.78
melodia,-76.78,39.07
melodia,-72.8,40.94
melodia,-73.58,41
melodia,-72.82,41.46
melodia,-70.67,42.63
melodia,-73.09,41.6
melodia,-84.13,39.1
melodia,-84.19,39.18
melodia,-72.66,41.71
melodia,-97.39,37.28
melodia,-81.92,41.1
melodia,-81.54,41.04
melodia,-97.53,37.2
melodia,-124.32,49.32
melodia,-71.18,42.11
melodia,-87.91,41.31
melodia,-76.32,43.21
melodia,-76.78,44.14
melodia,-72.55,41.26
melodia,-97.7,50.35
melodia,-87.39,46.58
melodia,-73.57,40.88
melodia,-73.15,40.75
melodia,-91.3,46.48
melodia,-75.47,40.1
melodia,-93.44,44.86
melodia,-78.77,44.42
melodia,-88.16,42.11
melodia,-83.67,42.53
melodia,-75.95,45.31
melodia,-84.37,33.79
melodia,-72.81,43.67
melodia,-75.05,42.2
melodia,-83.89,39.17
melodia,-79.86,40.45
melodia,-83.21,39.92
melodia,-72.45,44.16
melodia,-75.79,45.37
melodia,-79.06,43.26
melodia,-73.7,40.96
melodia,-89.68,40.77
melodia,-84.15,30.09
melodia,-106.31,31.64
melodia,-73.88,42.03
melodia,-90.62,36.42
melodia,-95,35.44
melodia,-73.65,40.66
melodia,-96.03,41.54
melodia,-73.17,45.05
melodia,-84.02,39.18
melodia,-73.18,42.27
melodia,-71.22,46.55
melodia,-80.48,37.32
melodia,-69.96,41.66
melodia,-70.04,41.3
melodia,-72.55,41.67
melodia,-81.44,41.13
melodia,-72.73,43.15
melodia,-72.12,41.2
melodia,-71.15,43.08
melodia,-93.71,45.52
melodia,-83.25,42.7
melodia,-86.95,36.71
melodia,-73.37,45.48
melodia,-83.59,35.8
melodia,-83.86,41.83
melodia,-88.38,41.84
melodia,-83.61,42.21
melodia,-84.06,41.95
melodia,-73.45,40.7
melodia,-69.33,43.98
melodia,-83.84,42.25
melodia,-73.33,40.7
melodia,-73.02,40.82
melodia,-75.16,42.11
melodia,-75.19,42
melodia,-88.18,41.86
melodia,-73.96,40.67
melodia,-104.51,40.02
melodia,-73.88,41.2
melodia,-83.8,42.6
melodia,-85.94,42.11
melodia,-77.28,39.25
melodia,-83.5,42.57
melodia,-82.35,27.82
melodia,-74.55,40.74
melodia,-73.81,40.87
melodia,-77.03,38.99
melodia,-102.06,48.64
melodia,-101.93,48.72
melodia,-102.39,40.97
melodia,-73.19,42.72
melodia,-100.64,48.56
melodia,-84.09,35.86
melodia,-82.88,42.44
melodia,-83.93,42.6
melodia,-92.02,46.69
melodia,-85.37,43.72
melodia,-83.69,35.94
melodia,-70.14,44.41
melodia,-76.32,44.57
melodia,-67.17,44.96
melodia,-70.37,43.6
melodia,-70.31,44.57
melodia,-85.52,42.17
melodia,-73.01,41.35
melodia,-83.19,36.67
melodia,-86.02,44.65
melodia,-75.83,38.88
melodia,-75.51,39.76
melodia,-76.22,38.78
melodia,-76,38.88
melodia,-83.45,42.37
melodia,-82.43,42.97
melodia,-75.78,39.79
melodia,-85.79,42.3
melodia,-85.04,46.37
melodia,-76.16,39.22
melodia,-83.32,45.11
melodia,-84.28,45.35
melodia,-84.19,45.5
melodia,-84.38,42.81
melodia,-96.38,46.54
melodia,-75.58,39.56
melodia,-83.2,42.01
melodia,-72.17,41.89
melodia,-88.65,46.1
melodia,-96.61,33.62
melodia,-73.2,41.24
melodia,-79.38,43.65
melodia,-75.34,38.48
melodia,-74.18,39.65
melodia,-77.29,38.97
melodia,-69.56,43.96
melodia,-75.7,41.46
melodia,-101.78,37.97
melodia,-79.48,37.96
melodia,-76.34,38.7
melodia,-76.44,39.02
melodia,-79.27,39.03
melodia,-79.25,40.19
melodia,-72.68,41.29
melodia,-80.37,36.15
melodia,-75.41,39.91
melodia,-80.37,36.38
melodia,-111.27,53.97
melodia,-104.19,50.78
melodia,-97.44,35.22
melodia,-71.27,46.88
melodia,-72.52,43.62
melodia,-71.98,41.27
melodia,-69.6,44.11
melodia,-80.53,40.22
melodia,-82.95,42.67
melodia,-83.1,42.8
melodia,-86.16,39.77
melodia,-84.74,41.18
melodia,-93.61,41.6
melodia,-85.93,46.11
melodia,-85.93,46.35
melodia,-85.94,46.47
melodia,-85.57,44.75
melodia,-82.4,35.23
melodia,-86.04,42.53
melodia,-83.12,43.13
melodia,-82.18,42.4
melodia,-101.92,53.83
melodia,-82.43,42.33
melodia,-83.05,42.92
melodia,-83.73,42.74
melodia,-66.67,45.95
melodia,-83.08,43.02
melodia,-77.47,39.31
melodia,-97.57,30.11
melodia,-83.57,31.5
melodia,-70.03,41.92
melodia,-69.99,41.81
melodia,-89.08,37.08
melodia,-84.23,36.98
melodia,-67.43,44.62
melodia,-85.77,38.25
melodia,-84.08,37.15
melodia,-84.01,42.46
melodia,-88.87,36.72
melodia,-89.18,36.57
melodia,-88.28,36.77
melodia,-95.83,46.4
melodia,-87.63,37.83
melodia,-85.77,38.15
melodia,-85.57,38.3
melodia,-80.83,43.13
melodia,-83.5,42.66
melodia,-83.7,37.8
melodia,-83.07,37.68
melodia,-85.67,38.2
melodia,-89.07,36.52
melodia,-89.03,36.65
melodia,-83.33,38.53
melodia,-91.4,36.57
melodia,-84.43,39.07
melodia,-58.43,48.55
melodia,-101.23,53.82
melodia,-82.69,40.2
melodia,-84.65,45.52
melodia,-82.37,42.62
melodia,-98.27,29.47
melodia,-84.58,31.07
melodia,-76.18,36.49
melodia,-69.25,45.5
melodia,-83,40.25
melodia,-88.9,46.2
melodia,-82.63,39.75
melodia,-83.01,39.97
melodia,-83.37,40.24
melodia,-76.4,36.86
melodia,-84.7,30.78
melodia,-79.73,39.9
melodia,-59.22,47.8
melodia,-90.64,38.56
melodia,-83.64,42.3
melodia,-83.88,42.44
melodia,-72.9,41.39
melodia,-84.43,45.65
melodia,-82.82,41.65
melodia,-85.48,32.61
melodia,-113.47,53.55
melodia,-97.42,48.42
melodia,-76.5,42.48
melodia,-74.14,41.31
melodia,-74.27,40.75
melodia,-79.89,38.6
melodia,-82.13,36.1
melodia,-85,42
melodia,-84.75,38.02
melodia,-86,45.09
melodia,-86.12,45.02
melodia,-114.08,50.72
melodia,-79.52,39.46
melodia,-76.15,43.64
melodia,-75.89,36.28
melodia,-100.9,29.37
melodia,-81.5,31.15
melodia,-90.08,29.95
melodia,-72.29,43.7
melodia,-79.93,32.77
melodia,-68.78,44.63
melodia,-80.13,39.48
melodia,-85.77,45.48
melodia,-73.96,42.64
melodia,-84.26,39.1
melodia,-83.57,36.4
melodia,-84.12,36.31
melodia,-88.67,30.23
melodia,-84.01,36.24
melodia,-75.08,38.33
melodia,-75.87,37.14
melodia,-80.62,40.52
melodia,-85.93,46.26
melodia,-85.84,45.7
melodia,-85.69,45.77
melodia,-83.28,42.93
melodia,-83.62,45.95
melodia,-83.81,46.1
melodia,-83.85,45.96
melodia,-83.68,46.06
melodia,-85.59,45.84
melodia,-85.3,45.82
melodia,-85.44,46.67
melodia,-84.83,42.15
melodia,-81.5,43.02
melodia,-81.98,42.56
melodia,-84.84,39.03
melodia,-87.96,36.78
melodia,-86.43,37.24
melodia,-91.56,30.85
melodia,-95.97,28.68
melodia,-76.91,39.03
melodia,-103.91,30.6
melodia,-103.77,30.73
melodia,-80,40.42
melodia,-94.88,36.87
melodia,-92.28,34.75
melodia,-80.65,40.23
melodia,-82.08,38.97
melodia,-78.92,39.33
melodia,-79,39.03
melodia,-81.62,42.96
melodia,-81.85,43.16
melodia,-85.56,45.66
melodia,-80.58,39.98
melodia,-82.23,38.77
melodia,-81.97,38.92
melodia,-82.59,38.42
melodia,-81.65,37.57
melodia,-80.53,37.55
melodia,-81.1,37.42
melodia,-79.5,39.55
melodia,-79.47,39.08
melodia,-77.93,39.35
melodia,-80.02,38.38
melodia,-80.43,37.63
melodia,-82.56,38.19
melodia,-76.38,42.43
melodia,-83.72,36.33
melodia,-88.05,30.7
melodia,-84.96,46.77
melodia,-87.85,46.87
melodia,-79.8,39.52
melodia,-73.78,42.66
melodia,-80.02,39.55
melodia,-80.4,39.67
melodia,-80.2,39.72
melodia,-80.27,38.2
melodia,-82.16,38.64
melodia,-102.99,29.18
melodia,-88.83,30.37
melodia,-79.95,39.65
melodia,-101.66,34.99
melodia,-75.05,38.53
melodia,-103.58,30.49
melodia,-83.45,41.77
melodia,-84.14,42.35
melodia,-82.02,36.35
melodia,-81.53,40.02
melodia,-83.7,41.77
melodia,-100.91,48.82
melodia,-83.38,33.97
melodia,-94.97,33.15
melodia,-84.36,34.02
melodia,-85.24,42.38
melodia,-72.49,42.79
melodia,-82.28,35.92
melodia,-95.16,38.9
melodia,-83.38,35.71
melodia,-83.75,42.38
melodia,-82.41,36.39
melodia,-74.14,41.09
melodia,-84.27,46.22
melodia,-87.69,41.85
melodia,-64.37,45.08
melodia,-81.27,34
melodia,-88.1,42.48
melodia,-83.86,35.6
melodia,-74.38,40.83
melodia,-80.72,40.07
melodia,-83.37,43.9
melodia,-90.15,46.46
melodia,-83.89,42.34
melodia,-83.47,44
melodia,-88.71,46.6
melodia,-88.64,46.7
melodia,-89.99,46.58
melodia,-71.59,42.56
melodia,-95.24,38.98
melodia,-94.74,37.38
melodia,-84.73,41.08
melodia,-86.97,45.93
melodia,-87.24,46.18
melodia,-87.22,46.31
melodia,-87.44,46.28
melodia,-87.6,46.32
melodia,-87.59,46.41
melodia,-84.74,45.63
melodia,-84.63,45.75
melodia,-84.48,44.8
melodia,-88.71,46.5
melodia,-114.35,54.01
melodia,-90.42,46.56
melodia,-89.71,46.38
melodia,-89.17,46.53
melodia,-88.89,46.48
melodia,-88.7,48.1
melodia,-84.59,42.99
melodia,-84.73,44.35
melodia,-84.51,42.16
melodia,-84.43,46
melodia,-84.6,46.08
melodia,-84.58,45.27
melodia,-88.34,46.69
melodia,-84.3,42.17
melodia,-84.64,42.18
melodia,-114.76,52.94
melodia,-82.5,39.92
melodia,-82.47,39.6
melodia,-112.75,52.87
melodia,-64.42,44.23
melodia,-112.82,53.02
melodia,-88,41.93
melodia,-66.82,44.7
melodia,-88,41.67
melodia,-76.54,39.42
melodia,-82.92,40.12
melodia,-88.21,40.12
melodia,-72.39,43.31
melodia,-76.57,42.93
melodia,-88.49,48.15
melodia,-94.85,37.17
melodia,-87.53,41.67
melodia,-88.63,42.63
melodia,-87.68,41.66
melodia,-84.17,48.17
melodia,-67.63,49.3
melodia,-97.92,48.92
melodia,-95.72,44.95
melodia,-64.37,45.17
melodia,-84.12,46.19
melodia,-74.9,41.39
melodia,-86.32,44.3
melodia,-84.67,47.31
melodia,-108.25,49.25
melodia,-73.54,40.79
melodia,-70.83,42.68
melodia,-112.53,53.44
melodia,-89.42,41.89
melodia,-84.41,42.25
melodia,-72.1,41.1
melodia,-72.99,40.94
melodia,-82.74,27.7
melodia,-80.32,40.7
melodia,-76.91,40.81
melodia,-80.7,28.64
melodia,-86.25,45.96
melodia,-84.04,42.15
melodia,-93.57,45.3
melodia,-96.42,46.66
melodia,-98.92,48.05
melodia,-99.84,48.97
melodia,-96.98,42.89
melodia,-71.92,41.68
melodia,-77.45,37.55
melodia,-97.1,49.95
melodia,-96.99,50.63
melodia,-75.69,37.42
melodia,-95.19,49.62
melodia,-96.67,40.8
melodia,-74.52,40.14
melodia,-83.43,42.18
melodia,-94.58,39.1
melodia,-72.28,42.38
melodia,-77.69,43.29
melodia,-74.97,40.07
melodia,-75.09,40.03
melodia,-72.52,43.72
melodia,-78.8,44.66
melodia,-93.88,39.19
melodia,-76.08,38.57
melodia,-86.63,41.88
melodia,-72.33,41.32
melodia,-98.8,29.95
melodia,-77.02,38.89
melodia,-76.51,38.14
melodia,-75.27,39.92
melodia,-71.1,41.9
melodia,-87.05,46.43
melodia,-85.02,39.42
melodia,-84.64,40.21
melodia,-77.15,42.6
melodia,-85.15,46.76
melodia,-70.67,42.04
melodia,-95.31,38.9
melodia,-92.95,45.84
melodia,-100.75,43.57
melodia,-73.97,40.88
melodia,-77.86,40.79
melodia,-103.93,44.35
melodia,-87.73,40.78
melodia,-87.97,42.29
melodia,-73.41,41.37
melodia,-87.84,41.66
melodia,-99.21,48.49
melodia,-87.8,42.18
melodia,-100.06,48.84
melodia,-73.97,40.25
melodia,-83.18,43.96
melodia,-87.26,41.6
melodia,-73.31,41.63
melodia,-84.04,42.28
melodia,-95.18,43.08
melodia,-95.32,43.79
melodia,-92.47,39.74
melodia,-83.03,39.64
melodia,-92.94,47.43
melodia,-104.17,49.8
melodia,-100.84,49.32
melodia,-81.1,32.08
melodia,-86.6,41.21
melodia,-72.01,41.96
melodia,-93.71,46.53
melodia,-100.33,49
melodia,-98.38,35.73
melodia,-78.14,43.29
melodia,-89.75,46.77
melodia,-89.4,39.74
melodia,-87.93,42.2
melodia,-67.1,46.18
melodia,-93.26,44.98
melodia,-93.43,44.98
melodia,-93.33,45.08
melodia,-98.82,48.22
melodia,-75.6,39.97
melodia,-77.76,40.97
melodia,-94.95,49.08
melodia,-83.2,42.28
melodia,-94.52,44.94
melodia,-98,49.59
melodia,-76.15,43.04
melodia,-85.67,42.96
melodia,-88.84,43.47
melodia,-70.67,41.95
melodia,-71.29,41.55
melodia,-77.09,38.81
melodia,-83.08,42.37
melodia,-73.04,43.59
melodia,-77.1,38.68
melodia,-71.25,41.84
melodia,-70.24,41.65
melodia,-105.59,41.31
melodia,-73.72,42.75
melodia,-93.56,44.99
melodia,-69.33,44.61
melodia,-77.05,42.96
melodia,-96.26,44.28
melodia,-96.32,44
melodia,-75.22,40.15
melodia,-73.26,41.14
melodia,-82.52,40.76
melodia,-99.82,48.22
melodia,-74.23,42.18
melodia,-80.16,40.27
melodia,-88.28,42.03
melodia,-96.2,45.01
melodia,-118.24,34.05
melodia,-100.14,48.94
melodia,-103.41,42.68
melodia,-74.66,40.35
melodia,-77.29,38.84
melodia,-80.74,43.98
melodia,-87.25,39.85
melodia,-81.94,40.8
melodia,-75.79,39.95
melodia,-81.26,43
melodia,-83.89,43.59
melodia,-84.02,43.73
melodia,-71.38,41.88
melodia,-87.76,41.99
melodia,-122.5,37.72
melodia,-71.75,42.2
melodia,-79.83,43.25
melodia,-81.64,29.65
melodia,-77.6,41.11
melodia,-81.57,40.83
melodia,-93.57,44.9
melodia,-70.51,41.39
melodia,-78.03,43.23
melodia,-91.97,43.72
melodia,-73.38,40.88
melodia,-73.97,40.78
melodia,-87.41,39.47
melodia,-70.79,41.65
melodia,-85.59,42.29
melodia,-74.2,40.43
melodia,-79.88,43.52
melodia,-94.25,46.25
melodia,-70.62,41.65
melodia,-75.49,43.79
melodia,-71.5,41.45
melodia,-68.78,44.8
melodia,-71.01,44.69
melodia,-95.98,45.99
melodia,-73.33,41.84
melodia,-90.33,47.75
melodia,-92.11,46.78
melodia,-81.7,41.5
melodia,-72.82,41.27
melodia,-82.53,35.62
melodia,-84.39,39.16
melodia,-76.09,39.55
melodia,-70.91,42.47
melodia,-81.14,31.98
melodia,-111.39,33.03
melodia,-68.66,44.69
melodia,-87.59,41.79
melodia,-87.85,41.83
melodia,-70.54,44.21
melodia,-68.4,44.45
melodia,-89.4,43.07
melodia,-72.46,41.45
melodia,-72.16,41.99
melodia,-73.42,41.09
melodia,-86.65,32.43
melodia,-68.51,45.36
melodia,-72.68,41.48
melodia,-68.08,44.4
melodia,-71.34,42.48
melodia,-63.55,44.67
melodia,-71.68,43.11
melodia,-73.29,41
melodia,-78.05,40.9
melodia,-72.83,41.78
melodia,-76.3,38.97
melodia,-65.89,46.17
