assigned,longitude,latitude
merrilli,-111.92,34.76
merrilli,-123.95,46.97
merrilli,-116.13,43.57
merrilli,-119.31,45.93
merrilli,-121.93,49.16
merrilli,-115.35,51.09
merrilli,-117.93,45.01
merrilli,-119.31,46.27
merrilli,-118.36,46.05
merrilli,-118.51,45.68
merrilli,-117.86,45.2
merrilli,-117.05,46.39
merrilli,-119.14,45.92
merrilli,-121.27,45.25
merrilli,-120.51,50.72
merrilli,-123.04,49.08
merrilli,-121.08,45.22
merrilli,-117.95,45.27
merrilli,-118.84,43.27
merrilli,-117.9,45.41
merrilli,-118.08,45.3
merrilli,-116.23,43.63
merrilli,-123.37,48.46
merrilli,-117.21,47.68
merrilli,-117.52,47.78
merrilli,-127.04,54.71
merrilli,-129.3,56.09
merrilli,-120.04,51.9
merrilli,-121.11,46.69
merrilli,-108.33,36.73
merrilli,-135.45,59.23
merrilli,-120.67,47.25
merrilli,-131.72,55.5
merrilli,-131.7,55.35
merrilli,-134.65,58.38
merrilli,-143.17,63.35
merrilli,-131,55
merrilli,-130.02,55.9
merrilli,-118.34,35.66
merrilli,-135.75,59.33
merrilli,-132.3,56.65
merrilli,-119.15,48.82
merrilli,-118.52,47.64
merrilli,-130.95,56.13
merrilli,-117.66,49.32
merrilli,-122.07,54.11
merrilli,-122.98,53.89
merrilli,-110.64,32.69
merrilli,-120.42,46.17
merrilli,-121.07,47.12
merrilli,-120.6,46.68
merrilli,-123.64,48.86
merrilli,-120.3,46.6
merrilli,-119.14,50.55
merrilli,-123.25,49.26
merrilli,-120,46.21
merrilli,-110.72,43.66
merrilli,-111.17,43.32
merrilli,-111.05,43.22
merrilli,-111.91,42.72
merrilli,-110.81,32.32
merrilli,-114.65,43.8
merrilli,-114.85,44.55
merrilli,-114.84,43.93
merrilli,-112.11,30.72
merrilli,-120.63,46.14
merrilli,-121.39,46.09
merrilli,-122.26,49.01
merrilli,-121.02,46.52
merrilli,-121.14,46.23
merrilli,-120.54,46.4
merrilli,-117,46.73
merrilli,-123,50.09
merrilli,-115.63,35.52
merrilli,-134.47,58.32
merrilli,-122.54,38.16
merrilli,-118.85,39.47
merrilli,-115.34,43.98
merrilli,-119.04,46.21
merrilli,-119.18,46.24
merrilli,-114.22,46.76
merrilli,-119.75,48.59
merrilli,-122.06,38
merrilli,-118.15,37.3
merrilli,-118.07,36.68
merrilli,-118.09,34.09
merrilli,-115.78,49.51
merrilli,-116.95,47.71
merrilli,-118.62,39.47
merrilli,-113.02,31.94
merrilli,-122.38,37.97
merrilli,-120.32,50.8
merrilli,-120,49.42
merrilli,-114.26,43.46
merrilli,-113.78,42.56
merrilli,-116.39,33.14
merrilli,-120.03,51.65
merrilli,-117.97,46.32
merrilli,-120.93,47.2
merrilli,-121.27,53.27
merrilli,-131.68,57.6
merrilli,-130.43,54.55
merrilli,-128.6,54.52
merrilli,-120.33,50.67
merrilli,-122.68,45.52
merrilli,-115.97,45.83
merrilli,-115.91,46.4
merrilli,-116.24,48.82
merrilli,-123.11,49.26
merrilli,-124.04,52.34
merrilli,-116.67,37.72
merrilli,-115.67,36.58
merrilli,-115.98,37
merrilli,-115.75,35.42
merrilli,-119.35,50.23
merrilli,-120.32,37.29
merrilli,-123.84,45.46
merrilli,-123.92,45.99
merrilli,-116.87,48.58
merrilli,-116.75,47.67
merrilli,-122.13,40.17
merrilli,-124.41,43.12
merrilli,-122.8,42.47
merrilli,-118.54,34.48
merrilli,-123.32,42.43
merrilli,-118.08,36.55
