assigned,longitude,latitude
mexicana,-99.69,19.31
mexicana,-99.21,19.44
mexicana,-100.15,20.18
mexicana,-98.97,19.46
mexicana,-99.5,19.24
mexicana,-99.39,19.31
mexicana,-99.5,19.42
mexicana,-99.49,19.15
mexicana,-98.4,20.15
mexicana,-99.31,19.62
mexicana,-98.03,19.83
mexicana,-97.63,19.32
mexicana,-97.57,19.76
mexicana,-97.65,18.95
mexicana,-98.15,20.03
mexicana,-98.44,19.27
mexicana,-98.33,19.32
mexicana,-99.12,19.26
mexicana,-99.15,19.13
mexicana,-99.14,19.9
mexicana,-98.2,19.03
mexicana,-99.25,19.28
mexicana,-98.17,18.9
mexicana,-99.05,19.33
mexicana,-97.96,19.91
mexicana,-117.25,32.75
mexicana,-101.61,19.56
