assigned,longitude,latitude
montana,-111.9,34.83
montana,-117.93,45.01
montana,-117.26,43.66
montana,-117.47,44.59
montana,-117.28,47.78
montana,-117.4,47.66
montana,-105.55,36.44
montana,-117.87,45.2
montana,-116.26,43.6
montana,-115.36,36.44
montana,-116.13,43.57
montana,-117.99,44.89
montana,-121.24,44.31
montana,-117.82,44.79
montana,-117.27,46.03
montana,-118.24,45.34
montana,-117.21,45.28
montana,-122.33,41.11
montana,-116.39,43.68
montana,-119.31,46.27
montana,-121.38,44.08
montana,-119.31,45.93
montana,-112.31,41.48
montana,-119.88,38.59
montana,-119.43,38.44
montana,-119.45,38.33
montana,-121.57,40.53
montana,-116.34,43.92
montana,-118.07,45.32
montana,-112.95,37.28
montana,-116.95,44.08
montana,-116.7,45.24
montana,-117.78,45.02
montana,-117.24,48.04
montana,-111.03,45.64
montana,-114.27,42.16
montana,-117.17,44.75
montana,-118.86,42.81
montana,-114.52,42.63
montana,-112.67,33.9
montana,-117.9,45.41
montana,-117.29,46.61
montana,-122.49,39.32
montana,-105.18,40.04
montana,-119.26,38.15
montana,-115.48,40.18
montana,-118.26,46.07
montana,-123.31,44.42
montana,-106.61,38.46
montana,-105.52,40.62
montana,-104.34,40.64
montana,-108.68,47.63
montana,-110.76,43.39
montana,-120.64,42.47
montana,-120.45,39.7
montana,-108.34,36.73
montana,-108.24,33.22
montana,-121.3,40.56
montana,-121.43,40.34
montana,-106.87,34.34
montana,-111.19,43.15
montana,-118.11,37.43
montana,-118.4,37.37
montana,-117.98,37.37
montana,-118.27,37.88
montana,-109.04,31.59
montana,-115.83,33.33
montana,-109.04,32.05
montana,-106.31,36.52
montana,-103.73,35.17
montana,-120.24,39.43
montana,-121.61,36.08
montana,-111.8,41.74
montana,-122.04,40.86
montana,-122.08,42.2
montana,-117.53,41.71
montana,-118.05,40.53
montana,-116.28,39.92
montana,-117.68,39.25
montana,-111,32.24
montana,-111.1,32.36
montana,-122.14,41.21
montana,-104.59,30.22
montana,-106.33,29.46
montana,-111.57,45.35
montana,-101.9,37.14
montana,-102.51,36.92
montana,-119.92,35.3
montana,-118.99,37.63
montana,-118.61,34.41
montana,-102.51,36.75
montana,-106.73,34.77
montana,-97.21,37.39
montana,-117.63,37.75
montana,-110.32,29.44
montana,-106.65,35.08
montana,-101.2,37.99
montana,-116.38,35.04
montana,-115.22,41.84
montana,-106.68,34.91
montana,-113.79,42.55
montana,-101.8,39.79
montana,-110.03,40.43
montana,-119.14,38
montana,-109.3,29.85
montana,-111.29,33.92
montana,-109.74,29.97
montana,-122.26,37.87
montana,-117.02,46.83
montana,-100.2,37.41
montana,-110.68,43.68
montana,-111.17,43.32
montana,-120.74,41.9
montana,-111.91,42.72
montana,-112.33,30.7
montana,-123.49,40.62
montana,-109.27,31.33
montana,-106.02,38.93
montana,-108.21,39.81
montana,-108.48,45.21
montana,-112.86,45.42
montana,-112.66,45.21
montana,-119.63,39.94
montana,-116.15,34.03
montana,-122.02,36.99
montana,-119.8,39.52
montana,-119.34,38.38
montana,-116.84,38.94
montana,-116.56,38.81
montana,-111.86,43.8
montana,-113.22,34.3
montana,-123.14,40.55
montana,-104.83,31.4
montana,-102.71,36.18
montana,-115.5,43.35
montana,-118.43,37.13
montana,-118.32,37.15
montana,-120.03,38.81
montana,-120.39,40.38
montana,-118.73,39.39
montana,-110.93,31.34
montana,-111.46,39.59
montana,-111.98,41.75
montana,-111.68,41.77
montana,-119.24,39.29
montana,-118.85,39.47
montana,-111.03,40.14
montana,-121.52,41.1
montana,-120,41.91
montana,-117.88,45.32
montana,-116.9,46.62
montana,-122,42.72
montana,-117.18,46.73
montana,-104.52,39.83
montana,-115.75,33.15
montana,-115.55,33.24
montana,-118.07,36.68
montana,-111.72,39.72
montana,-114.65,33.53
montana,-104.99,39.87
montana,-109.84,43.3
montana,-111.11,44.13
montana,-118.1,37.53
montana,-110.38,41.32
montana,-118.62,39.47
montana,-111.94,41.62
montana,-120.32,37.29
montana,-121.05,40.26
montana,-118.41,44.29
montana,-121.17,39.87
montana,-116.08,33.57
montana,-118.55,42.68
montana,-118.84,43.04
montana,-111.76,34.78
montana,-119.9,42.05
montana,-109.96,33.84
montana,-119.9,42.41
montana,-117.01,42.98
montana,-114.26,43.46
montana,-112.43,40.09
montana,-116.12,40.5
montana,-116.93,43.62
montana,-119.97,39.27
montana,-111.4,43.46
montana,-113.7,44.16
montana,-118.74,42.92
montana,-116.08,40.71
montana,-120.15,39.33
montana,-117.53,41.57
montana,-114.75,42.22
montana,-114.9,42.78
montana,-116.45,43.15
