assigned,longitude,latitude
morphna,-122.51,47.31
morphna,-123.26,48.07
morphna,-117.42,47.66
morphna,-123.27,48.45
morphna,-124.07,44.83
morphna,-123.63,48.61
morphna,-122.09,47.78
morphna,-122.06,47.67
morphna,-122.19,47.71
morphna,-123.95,46.97
morphna,-122.16,47.59
morphna,-122.27,47.01
morphna,-122.17,47.99
morphna,-121.91,47.32
morphna,-123.01,47
morphna,-122.66,47.33
morphna,-124.08,44.68
morphna,-123.7,48.17
morphna,-122.56,48.34
morphna,-122.28,46.29
morphna,-122.2,47.84
morphna,-121.84,47.55
morphna,-122.11,48.17
morphna,-122.28,47.64
morphna,-122.65,47.75
morphna,-122.29,46.86
morphna,-124.01,49.2
morphna,-122.68,49.1
morphna,-125.15,50.02
morphna,-124.07,44.52
morphna,-123.42,48.46
morphna,-124.32,49.32
morphna,-123.58,48.35
morphna,-122.38,47.7
morphna,-120.8,46.9
morphna,-122.8,49.24
morphna,-123.02,48.47
morphna,-122.12,47.16
morphna,-123.29,48.63
morphna,-129.08,50.86
morphna,-122.57,48.1
morphna,-122.83,47.02
morphna,-123.98,48.16
morphna,-124.28,48.16
morphna,-122.74,48.9
morphna,-122.31,46.49
morphna,-122.14,45.84
morphna,-124.75,48.42
morphna,-123.07,49.32
morphna,-122.9,44.53
morphna,-123.11,49.16
morphna,-121.97,44.6
morphna,-122.06,48.92
morphna,-127.5,50.68
morphna,-123.2,49.26
morphna,-122.9,47.14
morphna,-122.46,37.76
morphna,-120.51,46.6
morphna,-123.49,40.62
morphna,-124.4,42.43
morphna,-122.26,49.01
morphna,-116.09,33.9
morphna,-122.95,49.25
morphna,-123.62,40.92
morphna,-122.23,38.03
morphna,-123.96,45.78
morphna,-122.88,46.01
morphna,-122.36,44.76
morphna,-121.65,44.36
morphna,-122.61,48.51
morphna,-123.09,44.14
morphna,-123.91,46.25
morphna,-123.88,46.13
morphna,-122.06,38
morphna,-123.09,38.53
morphna,-122.58,37.87
morphna,-122.28,38.32
morphna,-122.37,38.25
morphna,-118.85,39.47
morphna,-121.89,36.98
morphna,-127.67,55.25
morphna,-121.58,51.08
morphna,-124.02,54.02
morphna,-123.95,45.43
morphna,-122.9,38.1
morphna,-122.63,38.03
morphna,-122.4,37.53
morphna,-124.4,43.26
morphna,-122.23,47.38
morphna,-121.69,45.3
morphna,-123.1,43.85
morphna,-124.1,43.88
morphna,-122.62,44.05
morphna,-121.96,45.33
morphna,-127.65,50.53
morphna,-123.31,49.34
morphna,-122.8,45.72
morphna,-124.93,49.67
morphna,-125.9,49.15
morphna,-126.09,49.17
morphna,-119.35,50.23
morphna,-122.61,45.39
morphna,-105.24,38.44
morphna,-122.47,49.05
morphna,-120.35,44.47
morphna,-121.27,53.27
morphna,-123.92,45.99
morphna,-123.19,45.86
morphna,-119.75,49.75
morphna,-122.49,48.76
morphna,-121.53,41.91
morphna,-122.13,40.17
morphna,-118.88,50.27
morphna,-122.91,46.15
morphna,-122.48,47.21
morphna,-122.8,42.47
morphna,-105.02,39.61
morphna,-122.91,44.94
morphna,-122.54,47.6
morphna,-123.98,46.7
morphna,-124.63,47.92
morphna,-120.61,40.8
morphna,-114.5,32.84
morphna,-124.19,40.82
morphna,-122.27,37.87
morphna,-122.07,40.31
morphna,-119.48,46.25
morphna,-120.44,37.52
morphna,-122.01,39.21
morphna,-122.04,38.24
morphna,-121.97,38.15
morphna,-122.95,49.06
morphna,-123.37,46.27
morphna,-123.7,45.28
morphna,-122.22,37.47
morphna,-121.92,36.55
morphna,-122.22,47.48
morphna,-130.6,54.02
morphna,-123.25,47.47
morphna,-121.88,46.88
morphna,-123.21,39.49
morphna,-123.49,39.69
morphna,-124,44.17
morphna,-124.07,44.07
morphna,-120.11,37.76
morphna,-123.12,48.15
morphna,-124.1,46.88
morphna,-120.64,38.75
morphna,-122.3,47.2
morphna,-123.73,45.45
morphna,-122.2,41.97
morphna,-123.97,41.83
morphna,-123.14,45.44
morphna,-119.77,46.2
morphna,-123.87,45.23
morphna,-122.69,45.26
morphna,-123.13,40.77
morphna,-122.64,40.66
morphna,-121.83,39.72
morphna,-120.5,44
morphna,-124.54,49.32
morphna,-124.8,49.25
morphna,-124.8,48.99
morphna,-126.62,49.72
morphna,-126.62,49.6
morphna,-121.06,39.32
morphna,-122.4,45.59
morphna,-122.62,45.53
morphna,-123.46,39.53
morphna,-122.71,47.1
morphna,-123.26,44.56
morphna,-120.5,47.5
morphna,-122.96,38.43
morphna,-122.26,45.17
morphna,-122.27,37.77
morphna,-122.14,47.04
morphna,-124.07,43.22
morphna,-122.42,45.34
morphna,-123.19,41.84
morphna,-122.06,37.75
morphna,-124.11,43.73
morphna,-121.28,36.73
morphna,-121.94,49.17
morphna,-122.22,37.25
morphna,-122.09,37.63
morphna,-122.77,38.5
morphna,-122.47,38.51
morphna,-122.48,47.43
morphna,-122.01,37.02
morphna,-123.22,45.04
morphna,-121.36,39.54
morphna,-120.85,38.44
morphna,-123.04,44.94
morphna,-123.38,44.9
morphna,-122.53,44.5
morphna,-122.8,45.49
morphna,-122.82,45.17
morphna,-120.52,43.88
morphna,-123.7,48.78
morphna,-117.41,33.95
morphna,-122.83,38.4
morphna,-121.52,38.59
morphna,-121.98,38.63
morphna,-121.56,45.72
morphna,-124.2,41.75
morphna,-122.36,47.48
morphna,-122.01,47.57
morphna,-122.38,47.81
morphna,-122.71,42.19
morphna,-120,46.22
morphna,-122.69,39
morphna,-122.23,40.09
morphna,-122.87,42.24
morphna,-122.8,48.56
morphna,-122.57,44.15
