assigned,longitude,latitude
pusillula,-122.1,37.46
pusillula,-122.14,38.02
pusillula,-122.19,37.82
pusillula,-122.48,37.77
pusillula,-122.18,37.67
pusillula,-121.9,37.68
pusillula,-122.3,37.27
pusillula,-122.06,37.6
pusillula,-122.18,37.38
pusillula,-119.75,37.25
pusillula,-122.3,37.89
pusillula,-122.36,37.44
pusillula,-122.72,38.07
pusillula,-122.41,37.63
pusillula,-121.97,37.43
pusillula,-122.31,37.78
pusillula,-122.32,37.56
pusillula,-121.97,37.23
pusillula,-122.02,39.02
pusillula,-78.67,35.78
pusillula,-122.23,37.5
pusillula,-122.31,47.67
