assigned,longitude,latitude
rufina,-149.43,60.1
rufina,-124.8,49.94
rufina,-122.8,49.02
rufina,-135.72,57
rufina,-134.6,58.37
rufina,-122.38,47.71
rufina,-132.8,55.55
rufina,-131.62,55.33
rufina,-132.3,53.37
rufina,-133.15,55.83
rufina,-132.77,55.93
rufina,-132.65,55.48
rufina,-123.1,49.22
rufina,-123.25,49.26
rufina,-128.44,51.95
rufina,-133.03,54.23
rufina,-132.15,54.02
rufina,-131.82,53.25
rufina,-132.32,56.18
rufina,-131.83,56.14
rufina,-132.74,55.72
rufina,-133.94,56.97
rufina,-136.05,58.64
rufina,-135.87,58.6
rufina,-135.94,59.42
rufina,-122.23,47.38
rufina,-122.26,49.01
rufina,-123.95,45.43
rufina,-122.23,40.18
rufina,-132,53
rufina,-133.14,55.48
rufina,-118.38,34.2
rufina,-132.38,56.47
rufina,-122.8,45.52
rufina,-122.43,47.23
rufina,-122.6,45.2
rufina,-130.32,54.32
rufina,-122.21,47.68
rufina,-112.55,39.38
rufina,-123.12,48.15
rufina,-132.8,54.87
rufina,-122.29,47.19
rufina,-133.53,54.8
rufina,-119.35,50.05
rufina,-122.62,45.53
rufina,-122.64,40.66
rufina,-132.5,53.67
rufina,-133.84,56.59
rufina,-133.86,55.9
rufina,-131.35,54.93
rufina,-135.27,57.53
rufina,-123.62,42.05
rufina,-122.38,45.57
rufina,-122.42,45.34
rufina,-123.33,49
rufina,-135.35,57.05
rufina,-122.49,37.71
rufina,-122.67,47.57
rufina,-123.09,44.06
rufina,-135.44,58.11
rufina,-122.33,47.61
rufina,-122.33,47.85
rufina,-124.93,49.68
rufina,-120.04,46.22
rufina,-133,55.63
rufina,-119.75,37.25
