assigned,longitude,latitude
saltonis,-114.73,33.43
saltonis,-111.2,31.2
saltonis,-112.32,33.24
saltonis,-112.42,33.45
saltonis,-114.48,32.8
saltonis,-110.95,30.63
saltonis,-114.66,33.57
saltonis,-114.3,34.17
saltonis,-114.59,32.78
saltonis,-111.13,33.67
saltonis,-115.52,35.98
saltonis,-110.19,31.72
saltonis,-110.22,31.88
saltonis,-112.07,33.45
saltonis,-112.08,33.59
saltonis,-106.21,28.69
saltonis,-110.28,31.55
saltonis,-111.74,33.36
saltonis,-115,36.08
saltonis,-115.95,33.52
saltonis,-110.85,31.5
saltonis,-111.16,33.28
saltonis,-111.89,34.76
saltonis,-111.02,32.28
saltonis,-110.14,31.55
saltonis,-110.73,32.24
saltonis,-110.81,32.31
saltonis,-112.32,33.38
saltonis,-114.37,34.52
saltonis,-111.23,32.57
saltonis,-112.69,33.93
saltonis,-109.72,31.56
saltonis,-109.7,32.75
saltonis,-110.1,31.41
saltonis,-110.98,27.96
saltonis,-111.05,31.56
saltonis,-110.91,32.23
saltonis,-111.13,32.39
saltonis,-110.85,31.38
saltonis,-115.71,33.08
saltonis,-114.44,34.68
saltonis,-115.97,33.69
saltonis,-114.7,33.33
saltonis,-114.68,33.23
saltonis,-114.5,33.01
saltonis,-114.47,32.89
saltonis,-114.72,32.72
saltonis,-115.53,33.05
saltonis,-114.63,35.03
saltonis,-114.67,35.47
saltonis,-114.64,34.92
saltonis,-115.57,33.17
saltonis,-115.67,32.85
saltonis,-114.55,34.77
saltonis,-116.88,36.46
saltonis,-117.33,34.6
saltonis,-114.52,33.6
saltonis,-116.07,33.56
saltonis,-114.05,34.27
saltonis,-114.8,32.58
saltonis,-114.6,33.48
saltonis,-115.15,32.63
saltonis,-115.27,30.19
