assigned,longitude,latitude
samuelis,-122.49,38
samuelis,-118.23,34.16
samuelis,-122.37,38.14
samuelis,-122.34,37.97
samuelis,-122.23,38.07
samuelis,-122.52,37.88
samuelis,-122.18,37.38
samuelis,-122.51,38.11
samuelis,-122.02,36.97
samuelis,-122.31,37.86
samuelis,-122.65,38.23
samuelis,-122.3,37.27
samuelis,-122.03,37.98
samuelis,-121.83,39.72
samuelis,-118.25,34.05
samuelis,-122.24,38.16
samuelis,-121.94,36.58
samuelis,-122.23,37.79
samuelis,-119.72,34.01
samuelis,-122.43,37.75
samuelis,-122.46,38.29
samuelis,-122.02,39.02
samuelis,-116.77,32.62
samuelis,-122.75,38.06
samuelis,-119.75,37.25
samuelis,-90.15,38.62
samuelis,-122.28,38.26
samuelis,-124.16,40.8
