assigned,longitude,latitude
kenaiensis,-121.68,38
kenaiensis,-122.51,37.53
kenaiensis,-122.52,38.21
kenaiensis,-122.22,37.03
kenaiensis,-121.18,38.65
kenaiensis,-121.8,36.92
kenaiensis,-121.53,37.08
kenaiensis,-121.94,36.52
kenaiensis,-122.35,37.66
kenaiensis,-122.06,37.31
kenaiensis,-122.27,37.56
kenaiensis,-122.19,38.12
kenaiensis,-122.57,38.58
kenaiensis,-121.89,37.24
kenaiensis,-120.78,37.05
kenaiensis,-120.8,37.18
kenaiensis,-120.61,37.17
kenaiensis,-122.04,37.92
kenaiensis,-121.28,38.84
kenaiensis,-122.04,38.51
kenaiensis,-121.76,38.52
kenaiensis,-122.47,38.32
kenaiensis,-122.97,37.99
kenaiensis,-121.83,36.59
kenaiensis,-122.52,38.03
kenaiensis,-123.24,38.51
kenaiensis,-123.68,38.88
kenaiensis,-122.16,37.94
kenaiensis,-122.56,38.12
kenaiensis,-121.91,36.42
kenaiensis,-123.11,38.43
kenaiensis,-122.62,38.92
kenaiensis,-121.73,36.82
kenaiensis,-122.42,37.83
kenaiensis,-119.85,37.84
kenaiensis,-119.78,36.3
kenaiensis,-122.39,37.18
kenaiensis,-121.8,36.74
kenaiensis,-122.09,37.56
kenaiensis,-122.81,38
kenaiensis,-121.85,36.29
kenaiensis,-121.55,38.48
kenaiensis,-120.02,38.8
kenaiensis,-121.18,36.49
kenaiensis,-122.28,38.18
kenaiensis,-121.72,36.66
kenaiensis,-122.05,37.22
kenaiensis,-121.76,36.51
kenaiensis,-121.94,36.98
kenaiensis,-121.9,37.35
kenaiensis,-121.44,38.27
kenaiensis,-122.54,37.84
kenaiensis,-122.43,37.42
kenaiensis,-121.64,38.56
kenaiensis,-122.18,37.38
kenaiensis,-119.84,38.7
kenaiensis,-122.86,38.26
kenaiensis,-119.89,38.54
kenaiensis,-121.77,37.19
kenaiensis,-122.41,37.27
kenaiensis,-121.94,36.62
kenaiensis,-122.81,38.41
kenaiensis,-119.74,38.3
kenaiensis,-122.5,37.62
kenaiensis,-121.72,37.34
kenaiensis,-121.77,36.41
kenaiensis,-123.33,38.57
kenaiensis,-123.05,38.33
kenaiensis,-122.08,36.95
kenaiensis,-121.2,37.68
kenaiensis,-121.52,38.59
kenaiensis,-121.46,36.98
kenaiensis,-122.87,38.61
kenaiensis,-122.27,37.14
kenaiensis,-120.93,37.1
kenaiensis,-121,37.65
kenaiensis,-122.45,38.49
kenaiensis,-120.85,38.44
kenaiensis,-122.67,38.01
kenaiensis,-121.28,36.73
kenaiensis,-122,38.14
kenaiensis,-122.27,37.77
kenaiensis,-122.01,37.06
kenaiensis,-119.76,38.98
kenaiensis,-122.22,37.47
kenaiensis,-122.36,38.25
kenaiensis,-122.1,37.45
kenaiensis,-122.53,37.94
kenaiensis,-121.82,38
kenaiensis,-121.56,36.9
kenaiensis,-122.94,38.5
kenaiensis,-119.99,36.49
kenaiensis,-121.99,38.24
kenaiensis,-122.06,38.41
kenaiensis,-121.9,37.68
kenaiensis,-121.29,37.97
kenaiensis,-122.62,38.75
kenaiensis,-120.93,36.06
kenaiensis,-120.77,38.6
kenaiensis,-122.09,37.65
kenaiensis,-122.01,37.75
kenaiensis,-121.97,37.53
kenaiensis,-121.07,36.21
kenaiensis,-120.44,37.52
kenaiensis,-120.32,37.29
kenaiensis,-122.69,39
kenaiensis,-122.13,37.83
kenaiensis,-120.64,37.05
kenaiensis,-121.78,37.9
kenaiensis,-121.6,36.08
kenaiensis,-121.48,36.05
kenaiensis,-121.28,37.82
kenaiensis,-121.33,38.21
kenaiensis,-123.52,38.76
kenaiensis,-122.71,38.33
kenaiensis,-119.78,37.67
kenaiensis,-119.88,37.59
kenaiensis,-120.32,37.7
kenaiensis,-120.47,37.67
kenaiensis,-120.84,36.91
kenaiensis,-120.38,36.78
kenaiensis,-120.11,37.75
kenaiensis,-121.32,36.41
kenaiensis,-121.84,37.48
kenaiensis,-121.68,38.17
kenaiensis,-122.64,38.23
kenaiensis,-121.51,38.39
kenaiensis,-121.6,38.74
kenaiensis,-121.98,37.44
kenaiensis,-122.95,38.1
kenaiensis,-122.25,38.02
kenaiensis,-122.07,38.02
kenaiensis,-122.13,38.21
kenaiensis,-123.09,38.53
kenaiensis,-122.82,38.12
kenaiensis,-121.59,36.77
kenaiensis,-122.96,38.21
kenaiensis,-121.86,37.77
kenaiensis,-121.94,38.02
kenaiensis,-122.48,37.71
kenaiensis,-122.41,38.15
kenaiensis,-122.65,37.9
kenaiensis,-120.48,37.3
kenaiensis,-121,37.26
kenaiensis,-122.72,38.82
kenaiensis,-122.31,37.41
kenaiensis,-121.43,36.77
kenaiensis,-121.4,36.86
kenaiensis,-120.99,39
kenaiensis,-122.77,38.5
kenaiensis,-120.76,38.5
kenaiensis,-121.98,38.63
kenaiensis,-121.7,36.18
kenaiensis,-119.99,38.93
kenaiensis,-122.28,38.32
kenaiensis,-121.53,38.07
kenaiensis,-122.38,37.97
kenaiensis,-121.93,38.35
kenaiensis,-122.26,37.88
kenaiensis,-119.77,36.75
kenaiensis,-122.27,37.32
kenaiensis,-119.72,36.99
kenaiensis,-122.24,38.89
kenaiensis,-122.92,38.37
kenaiensis,-120.64,38.75
kenaiensis,-121.01,36.13
kenaiensis,-122.16,37.74
kenaiensis,-121.37,37.75
