assigned,longitude,latitude
atlantica,-75.77,38.68
atlantica,-77.44,37.53
atlantica,-75.23,39.29
atlantica,-72.99,41.45
atlantica,-78.36,37.32
atlantica,-75.07,40.33
atlantica,-73.44,41.42
atlantica,-77.47,36.78
atlantica,-72.1,41.39
atlantica,-76.85,38.87
atlantica,-75.84,38.89
atlantica,-75.75,38.15
atlantica,-73.93,40.79
atlantica,-77.66,38.79
atlantica,-75.31,38.95
atlantica,-73.89,41.18
atlantica,-76.62,38.83
atlantica,-72.18,41.76
atlantica,-75.94,38.68
atlantica,-74.92,40.67
atlantica,-77.8,38.72
atlantica,-73.25,41.13
atlantica,-75.16,39.52
atlantica,-78.27,36.61
atlantica,-73.89,40.89
atlantica,-73.42,40.61
atlantica,-76.01,36.76
atlantica,-77.42,39
atlantica,-74.26,41.09
atlantica,-75.01,40.03
atlantica,-76.86,37.92
atlantica,-74.81,40.49
atlantica,-75.5,40.54
atlantica,-74.94,40.21
atlantica,-73.35,40.88
atlantica,-75.1,38.5
atlantica,-75,39.28
atlantica,-71.43,41.54
atlantica,-75.22,38.34
atlantica,-77.38,37.37
atlantica,-76.5,37.23
atlantica,-76.68,37.17
atlantica,-73.51,40.75
atlantica,-76.13,36.84
atlantica,-77.11,38.75
atlantica,-75.96,36.54
atlantica,-72.18,40.96
atlantica,-75.49,39.28
atlantica,-75.49,39.75
atlantica,-75.83,36.37
atlantica,-75.03,39.91
atlantica,-75.14,39.73
atlantica,-75.14,39.87
atlantica,-72.36,41.65
atlantica,-72.37,41.83
atlantica,-77.56,38.97
atlantica,-77.33,37.59
atlantica,-71,41.63
atlantica,-76.23,38.95
atlantica,-74.17,40.74
atlantica,-72.46,41.45
atlantica,-77.39,37.01
atlantica,-74.23,40.86
atlantica,-76.33,38.06
atlantica,-73.04,40.8
atlantica,-74.8,40.38
atlantica,-76.72,37.27
atlantica,-74.12,41.04
atlantica,-77.63,38.45
atlantica,-76.12,38.86
atlantica,-74.27,39.98
atlantica,-75.24,40.46
atlantica,-75.04,39.81
atlantica,-73.57,40.87
atlantica,-74.96,38.97
atlantica,-72.28,41.48
atlantica,-75.37,40.7
atlantica,-75.25,40.72
atlantica,-77.06,38.63
atlantica,-74.81,40.17
atlantica,-74.2,39.66
atlantica,-74.56,39.55
atlantica,-72.85,41.5
atlantica,-73.2,40.73
atlantica,-72.62,41.71
atlantica,-75.3,39.87
atlantica,-74.68,40.1
atlantica,-75.57,38.35
atlantica,-74.56,40.59
atlantica,-74.09,41.76
atlantica,-74.38,41.15
atlantica,-77.19,38.62
atlantica,-74.52,40.7
atlantica,-77.89,37.67
atlantica,-76.51,38.93
atlantica,-73.05,41.35
atlantica,-74.81,40.63
atlantica,-74.95,40.8
atlantica,-76.43,38.39
atlantica,-73.78,41.79
atlantica,-75.42,40.31
atlantica,-75.52,40.39
atlantica,-75.91,36.65
atlantica,-72.26,41.6
atlantica,-74.37,40.84
atlantica,-76.83,38.97
atlantica,-76.1,38.44
atlantica,-75.09,38.32
atlantica,-76.69,38.68
atlantica,-77.69,38.88
atlantica,-76.21,36.58
atlantica,-78.17,38.22
atlantica,-71.14,41.98
atlantica,-70.85,41.64
atlantica,-76.57,37.12
atlantica,-73.2,40.86
atlantica,-71.43,41.69
atlantica,-71.28,41.81
atlantica,-76.53,38.7
atlantica,-73.87,41
atlantica,-73.74,40.74
atlantica,-70.77,41.87
atlantica,-74.66,41.75
atlantica,-75.19,40.32
atlantica,-74.55,40.83
atlantica,-71.45,41.82
atlantica,-71.18,41.57
atlantica,-73.99,41.86
atlantica,-73.65,41.66
atlantica,-71.29,41.71
atlantica,-73.05,40.63
