assigned,longitude,latitude
cleonensis,-124.27,40.57
cleonensis,-124.54,42.85
cleonensis,-122.7,42.2
cleonensis,-124.23,43.34
cleonensis,-124.14,41.7
cleonensis,-124.4,43.31
cleonensis,-124.38,43.16
cleonensis,-124,41.21
cleonensis,-124.13,40.94
cleonensis,-124.07,41.38
cleonensis,-122.57,42.36
cleonensis,-124.22,40.68
cleonensis,-122.99,42.93
cleonensis,-123.06,42.56
cleonensis,-123.2,42.42
cleonensis,-123.89,40.78
cleonensis,-124.04,40.54
cleonensis,-124.25,41.76
cleonensis,-124.28,42.05
cleonensis,-124.06,41.29
cleonensis,-124.07,42
cleonensis,-124.15,40.6
cleonensis,-124.39,42.28
cleonensis,-122.58,42.67
cleonensis,-124.38,42.56
cleonensis,-123.97,41.83
cleonensis,-122.38,41.41
cleonensis,-124.05,41.55
cleonensis,-122.41,41.6
cleonensis,-122.63,41.73
cleonensis,-123.38,41.79
cleonensis,-124.16,40.79
cleonensis,-122.3,40.77
cleonensis,-124.11,41.84
cleonensis,-124.05,40.85
cleonensis,-122.27,41.16
cleonensis,-124.14,41.06
cleonensis,-122.64,40.66
cleonensis,-122.83,41.38
cleonensis,-122.38,41.23
cleonensis,-122.8,42.47
cleonensis,-122.32,41.31
cleonensis,-123.62,40.92
cleonensis,-124.13,41.16
cleonensis,-123.14,40.55
cleonensis,-123.49,40.62
cleonensis,-124.42,42.41
cleonensis,-124.15,42.15
cleonensis,-124.37,43.07
cleonensis,-123.5,42.19
cleonensis,-122.59,41.89
cleonensis,-123.1,40.76
cleonensis,-123.19,41.84
cleonensis,-122.87,42.24
cleonensis,-122.47,41.47
