assigned,longitude,latitude
juddi,-94.18,38.47
juddi,-94.31,38.93
juddi,-96.52,39.23
juddi,-95.14,37.51
juddi,-95.25,40.09
juddi,-94.41,38.56
juddi,-94.34,39.02
juddi,-94.95,38.88
juddi,-94,38.71
juddi,-94.83,38.9
juddi,-94.57,39.04
juddi,-100.34,38.64
juddi,-100.4,38.83
juddi,-99.88,38.85
juddi,-100.09,38.84
juddi,-99.73,38.99
juddi,-97.65,39.48
juddi,-99.1,38.18
juddi,-97.61,39.57
juddi,-97.8,39.79
juddi,-95.1,39.81
juddi,-95.7,39.05
juddi,-94.98,39.19
juddi,-100.02,37.75
juddi,-95.16,38.8
juddi,-94.73,39.94
juddi,-94.85,39.04
juddi,-94.51,38.92
juddi,-94.9,38.65
juddi,-95.34,38.89
juddi,-95.02,39.74
juddi,-96.24,37.89
juddi,-95.16,38.97
juddi,-94.85,37.51
juddi,-101.2,37.99
juddi,-101.36,38.91
juddi,-101.6,37.93
juddi,-95.8,38.25
juddi,-95.29,38.14
juddi,-96.6,39.61
juddi,-96.81,39.11
juddi,-99.88,38.94
juddi,-95.22,38.88
juddi,-99.42,37.88
juddi,-95.56,38.01
juddi,-96.05,37.72
juddi,-96.01,39.78
juddi,-95.29,38.98
juddi,-95.91,39.03
juddi,-99.29,38.72
