assigned,longitude,latitude
merrilli,-123.54,46.97
merrilli,-122.64,47.35
merrilli,-124.04,46.61
merrilli,-122.12,47.91
merrilli,-122.71,47.08
merrilli,-122.04,49.1
merrilli,-122.04,47.38
merrilli,-122.26,49.07
merrilli,-121.75,49.2
merrilli,-121.99,47.71
merrilli,-123,47
merrilli,-122.76,47.6
merrilli,-121.51,45.7
merrilli,-121.77,49.3
merrilli,-121.88,49.08
merrilli,-117.21,45.28
merrilli,-120.88,45.53
merrilli,-122.89,47.37
merrilli,-123.62,46.56
merrilli,-120.18,45.24
merrilli,-122.67,47.92
merrilli,-118.94,46.03
merrilli,-122.05,45.6
merrilli,-123.95,46.97
merrilli,-117.32,47.86
merrilli,-122.37,47.1
merrilli,-120.49,49.48
merrilli,-120.96,45.65
merrilli,-122.88,47.89
merrilli,-122.87,47.8
merrilli,-122.6,47.16
merrilli,-122.27,47.39
merrilli,-122.27,46.92
merrilli,-117.31,45.42
merrilli,-117.87,47.67
merrilli,-120.83,45.68
merrilli,-122.52,47.3
merrilli,-122.24,47.75
merrilli,-122.15,48.84
merrilli,-122.93,47.49
merrilli,-122.29,47.94
merrilli,-122.5,47.8
merrilli,-122.4,47.7
merrilli,-119.77,49.33
merrilli,-122.15,48.52
merrilli,-122.46,47.42
merrilli,-124.59,47.88
merrilli,-121.9,45.67
merrilli,-121.08,49.21
merrilli,-123.82,47.5
merrilli,-123.93,47.86
merrilli,-120.76,49.06
merrilli,-122.2,47.31
merrilli,-122.53,47.91
merrilli,-118.16,47.13
merrilli,-117.53,47.44
merrilli,-117.42,47.54
merrilli,-121.94,49.27
merrilli,-121.88,47.57
merrilli,-120.64,46.9
merrilli,-121.84,47.69
merrilli,-122.92,47.61
merrilli,-122.22,45.62
merrilli,-117.14,47.64
merrilli,-122.75,47.23
merrilli,-119.31,45.93
merrilli,-121.73,45.71
merrilli,-122.03,47.05
merrilli,-122.57,47.53
merrilli,-120.91,49.11
merrilli,-122.06,47.56
merrilli,-117.22,47.78
merrilli,-118.38,46.04
merrilli,-122.39,47.33
merrilli,-121.73,48.27
merrilli,-121.42,49.38
merrilli,-122.33,47.61
merrilli,-122,45.37
merrilli,-122.36,47.81
merrilli,-117.74,46.87
merrilli,-122.6,46.87
merrilli,-122.13,47.67
merrilli,-118.32,46.75
merrilli,-121.21,45.63
merrilli,-122.21,48.02
merrilli,-117.4,47.66
merrilli,-122.26,45.17
merrilli,-122.9,47.14
merrilli,-118.2,46.06
merrilli,-118.29,47.3
merrilli,-119.01,47.94
merrilli,-118.02,47.1
merrilli,-119.29,46.98
merrilli,-117.41,46.93
merrilli,-117.24,46.34
merrilli,-117.68,46.25
merrilli,-117.14,46.43
merrilli,-117.36,46.77
merrilli,-117.18,46.53
merrilli,-120.83,47.28
merrilli,-122.84,47.03
merrilli,-121.94,49.17
merrilli,-120.15,46.27
merrilli,-120.46,46.21
merrilli,-117.58,46.47
merrilli,-120.34,46.6
merrilli,-117.52,45.89
merrilli,-123.64,46.85
merrilli,-121.81,46.75
merrilli,-123.1,47.36
merrilli,-122.35,47.52
merrilli,-120.4,46.48
merrilli,-122.2,47.58
merrilli,-119.69,48.07
merrilli,-122.13,48.2
merrilli,-123.25,47.47
merrilli,-120.56,47.54
merrilli,-122,47.81
merrilli,-120.01,46.19
merrilli,-119.7,46.97
merrilli,-123.41,47
merrilli,-122.43,46.93
merrilli,-124.49,47.67
merrilli,-120.5,47.42
merrilli,-120.44,47.88
merrilli,-119.71,48.2
merrilli,-122.08,46.78
merrilli,-119.17,47.92
merrilli,-121.66,48.91
merrilli,-121.32,47.23
merrilli,-119.91,47.49
merrilli,-121.73,46.38
merrilli,-120.67,46.54
merrilli,-121.6,46.66
merrilli,-117.37,46
merrilli,-124.09,46.79
merrilli,-121.3,46.65
merrilli,-122.22,47.48
merrilli,-120.11,46.99
merrilli,-119.7,47.91
merrilli,-119.55,47.04
merrilli,-120.3,47.78
merrilli,-122.54,47.64
merrilli,-122.03,47.25
merrilli,-122.29,47.19
merrilli,-122.65,47.74
merrilli,-121.76,48.67
merrilli,-117.97,46.32
merrilli,-118.47,46.24
merrilli,-118.15,46.76
merrilli,-117.15,46
merrilli,-117.21,46.87
merrilli,-117.16,46.64
merrilli,-117.29,46.61
merrilli,-117.45,46.68
merrilli,-119.35,47.14
merrilli,-120.31,47.42
merrilli,-123.76,47.16
merrilli,-117.93,45.01
merrilli,-117.87,45.2
merrilli,-121.27,45.25
merrilli,-121.08,45.22
merrilli,-117.9,45.41
merrilli,-120.67,47.25
merrilli,-120.63,46.14
merrilli,-121.39,46.09
merrilli,-121.02,46.52
merrilli,-121.14,46.23
merrilli,-121.01,46.67
merrilli,-119.04,46.21
merrilli,-119.18,46.24
merrilli,-120,49.42
merrilli,-120.93,47.2
merrilli,-119.48,46.77
merrilli,-120.67,47.67
merrilli,-120.52,46.6
merrilli,-119,45.67
merrilli,-122.43,47.23
merrilli,-119.77,46.21
merrilli,-117.18,46.73
merrilli,-117.52,47.78
merrilli,-119.14,45.92
merrilli,-118.51,45.68
merrilli,-119.31,46.27
merrilli,-117.95,45.27
merrilli,-118.08,45.3
merrilli,-120.51,46.93
merrilli,-119.75,48.59
merrilli,-124.1,46.89
merrilli,-117.53,45.57
merrilli,-119.48,46.25
merrilli,-118.78,45.67
merrilli,-118.32,46.3
merrilli,-121.07,47.12
merrilli,-120.6,46.68
merrilli,-118.52,47.64
merrilli,-120.54,46.45
