assigned,longitude,latitude
pectoralis,-108.08,38.75
pectoralis,-111.22,36.14
pectoralis,-106.76,34.55
pectoralis,-111.92,34.76
pectoralis,-111.55,35.23
pectoralis,-108.84,35.51
pectoralis,-106.07,35.67
pectoralis,-107.82,37.43
pectoralis,-107.89,38.47
pectoralis,-106.88,33.8
pectoralis,-108.24,33.22
pectoralis,-106.04,36.12
pectoralis,-106.15,37.49
pectoralis,-106.11,35.57
pectoralis,-109.57,38.57
pectoralis,-107.02,38.51
pectoralis,-109.2,38.8
pectoralis,-105.55,36.44
pectoralis,-107.75,38.19
pectoralis,-107.95,34.98
pectoralis,-107.23,37.51
pectoralis,-105.72,36.5
pectoralis,-105.59,36.23
pectoralis,-105.18,36.53
pectoralis,-106.53,37.35
pectoralis,-107.87,37.27
pectoralis,-105.38,35.69
pectoralis,-105.12,36.24
pectoralis,-108.23,36.93
pectoralis,-107.01,37.26
pectoralis,-108.09,36.73
pectoralis,-104.47,37.22
pectoralis,-105.9,37.26
pectoralis,-108.92,38.37
pectoralis,-105.68,35.49
pectoralis,-107.09,33.08
pectoralis,-106.62,36.95
pectoralis,-108.65,33.82
pectoralis,-106.87,34.34
pectoralis,-111.85,34.51
pectoralis,-106.13,35.9
pectoralis,-106.93,35.72
pectoralis,-106.62,35.25
pectoralis,-108.46,36.7
pectoralis,-106.73,34.77
pectoralis,-106.67,35.04
pectoralis,-106.82,34.42
pectoralis,-108.76,33.71
pectoralis,-105.68,35.59
pectoralis,-108.88,33.25
pectoralis,-108.34,36.74
pectoralis,-109.29,33.73
pectoralis,-105.25,35.94
pectoralis,-111.74,34.93
pectoralis,-106.32,36.21
pectoralis,-108.42,37.3
pectoralis,-106.31,36.52
pectoralis,-106.68,35.13
pectoralis,-108.5,33.08
pectoralis,-107.08,35.65
pectoralis,-109.34,34.11
pectoralis,-104.65,36.6
pectoralis,-108.29,36.64
