assigned,longitude,latitude
saltonis,-116.92,32.77
saltonis,-116.97,32.96
saltonis,-116.57,34.05
saltonis,-117.09,32.82
saltonis,-117.05,34.05
saltonis,-109.85,32.91
saltonis,-117.1,32.91
saltonis,-117.03,33.72
saltonis,-116.61,31.82
saltonis,-111.32,31.57
saltonis,-117.1,33.9
saltonis,-116.94,32.54
saltonis,-117.05,33.16
saltonis,-116.94,34.04
saltonis,-116.87,32.67
saltonis,-111.16,33.28
saltonis,-111.02,31.79
saltonis,-116.66,33.99
saltonis,-117.08,32.55
saltonis,-111.14,32.39
saltonis,-110.13,31.54
saltonis,-111.03,32.28
saltonis,-110.89,31.74
saltonis,-109.48,32.88
saltonis,-111.99,33.27
saltonis,-116.97,32.85
saltonis,-117.07,33.48
saltonis,-111.67,33.52
saltonis,-116.88,32.09
saltonis,-110.96,32.87
saltonis,-110.28,31.55
saltonis,-110.92,33.62
saltonis,-115.71,33.09
saltonis,-116.99,33.96
saltonis,-117.08,33.05
saltonis,-110.76,31.54
saltonis,-116.79,33.5
saltonis,-116.6,33.15
saltonis,-116.54,33.79
saltonis,-116.96,33.79
saltonis,-116.4,33.36
saltonis,-110.81,32.32
saltonis,-110.04,33.09
saltonis,-110.45,33.23
saltonis,-110.72,32.86
saltonis,-114.14,34.3
saltonis,-114.39,34.07
saltonis,-112.07,33.45
saltonis,-111.9,33.51
saltonis,-114.66,33.57
saltonis,-110.88,33.82
saltonis,-112.21,33.34
saltonis,-115.72,33.23
saltonis,-110.78,32.97
saltonis,-112.97,32.95
saltonis,-112.78,33
saltonis,-110.59,31.81
saltonis,-111.74,33.08
saltonis,-117,34.13
saltonis,-114.7,33.33
saltonis,-114.68,33.23
saltonis,-114.47,32.89
saltonis,-116.68,33.79
saltonis,-116.97,34.22
saltonis,-116.47,32.61
saltonis,-116.6,32.95
saltonis,-115.91,32.05
saltonis,-116.74,32.39
saltonis,-115.67,32.85
saltonis,-116.36,32.97
saltonis,-116.09,33.9
saltonis,-117.09,32.67
saltonis,-116.84,33.02
saltonis,-116.95,33.09
saltonis,-110.19,31.72
saltonis,-111.91,33.41
saltonis,-109.54,33.79
saltonis,-111.44,32.82
saltonis,-114.4,34.48
saltonis,-109.38,33.76
saltonis,-110.64,32.69
saltonis,-111.13,33.67
saltonis,-115.83,33.33
saltonis,-115.97,33.69
saltonis,-116.81,34.2
saltonis,-116.35,32.6
saltonis,-114.52,33.6
saltonis,-116.07,33.56
saltonis,-114.73,33.43
saltonis,-112.42,33.45
saltonis,-114.48,32.8
saltonis,-110.22,31.88
saltonis,-112.08,33.59
saltonis,-115.95,33.52
saltonis,-112.7,33.93
saltonis,-111.73,33.36
saltonis,-110.74,32.24
saltonis,-112.32,33.38
saltonis,-111.04,31.62
saltonis,-111.23,32.57
saltonis,-109.72,31.56
saltonis,-109.7,32.75
saltonis,-115.62,33.18
saltonis,-112.32,33.24
saltonis,-110.86,32.18
saltonis,-114.5,33.01
saltonis,-114.75,32.73
saltonis,-115.53,33.05
saltonis,-114.6,32.72
saltonis,-114.8,32.58
saltonis,-114.3,34.17
saltonis,-114.6,33.48
saltonis,-115.15,32.63
