"name"	"longitude"	"latitude"	"subspecies"	"amaka"	"numSubsppGroups"	"assigned"
"Melospiza melodia (A.Wilson, 1810)"	-90.675582	38.664764	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-74.007815	40.727936	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-70.672403	41.967677	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.832266	45.382351	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-94.175835	38.46812	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-90.732184	38.725021	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-71.2152	42.032607	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-88.080241	41.857675	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.989889	45.500393	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-90.711724	38.713998	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-111.916854	40.954303	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-78.989602	35.179841	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-86.123951	39.91736	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-70.647479	42.056107	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-73.39397	40.659388	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-88.295516	42.131471	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-73.404399	40.669768	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.651017	37.622678	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.650612	37.623537	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.65103	37.622662	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-75.555337	39.778437	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-98.043844	32.820866	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-84.384408	34.4692	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-118.42925	33.968125	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-73.536058	40.877658	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-70.986753	42.371011	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.449767	45.940362	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-118.293007	33.788866	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-73.995955	40.649453	"unknown"	0	0	"none"
"Melospiza melodia melodia"	-80.060868	39.239863	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.841239	44.6115	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-81.026742	34.926308	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-86.658019	36.195936	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-79.417859	41.562607	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.477496	44.665618	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.477738	44.665769	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-82.649834	39.639564	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.482813	37.509403	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.562599	44.663249	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.522209	44.667865	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.52224	44.66789	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-116.143903	43.567589	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-75.772653	38.682617	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.703225	44.771838	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.356542	38.934999	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.343663	38.937186	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.562643	44.674321	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.106254	37.448056	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-97.033714	36.429354	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-96.998698	33.068809	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-96.998778	33.06924	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-96.774405	33.726975	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-63.476807	44.664386	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-123.099491	38.43496	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-99.094377	19.29626	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-119.387353	49.932474	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-118.376682	34.014	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-84.57957	39.370484	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-84.585995	39.374761	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-118.44288	34.07095	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.717757	47.081202	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-76.480964	38.960911	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.443383	37.534713	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-98.03652	32.820003	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-76.449814	44.123705	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-87.529227	41.684065	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-60.307058	46.16988	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-80.645966	35.364957	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-70.229056	41.634439	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-71.080954	42.396482	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-80.902535	34.965077	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-75.234618	39.286361	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-87.529174	41.684014	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.061292	38.89134	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-83.969373	35.762267	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-123.113261	44.148251	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-60.257107	46.20513	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-105.041356	39.571218	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-74.790809	40.476738	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-77.202687	39.205455	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.349508	34.541879	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-82.76181	39.648525	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-97.126968	32.784904	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-75.0355	40.301371	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-75.035257	40.301802	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-105.68263	36.532445	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-116.916439	32.772624	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.920926	49.247289	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.417987	45.593299	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-75.455081	39.258367	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-75.435565	39.287015	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-87.025556	30.333083	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.845903	45.751255	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-82.006571	40.466652	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.087442	47.755478	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-74.740029	40.313408	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-94.311967	38.925126	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-97.130003	32.78615	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-118.21148	34.201508	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.924918	49.246518	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-123.401543	48.477814	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-123.400513	48.477524	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-73.971551	40.654619	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.234613	47.176578	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.949391	49.264589	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-117.270657	32.84956	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.058868	36.974635	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.186296	47.836138	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.330647	47.789645	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.330729	47.789693	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-122.327821	47.787055	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-89.810177	33.852706	"unknown"	0	0	"none"
"Melospiza melodia (A.Wilson, 1810)"	-81.278869	31.642461	"unknown"	0	0	"none"
