"name"	"longitude"	"latitude"	"subspecies"	"campoi"	"mesata"	"mesoleuca"	"texana"	"numSubsppGroups"	"assigned"
"Melozone fusca (Swainson, 1827)"	-103.45	36.87	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.96	36.9	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.62	36.75	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-103.54	37.51	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-103.98	36.78	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-103.02	37.14	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.87	36.85	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.98	36.91	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.95	36.92	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.95	36.94	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.94	36.94	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.97	36.97	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.88	36.85	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.82	36.93	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.85	37.01	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.94	36.86	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.95	36.9	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.96	36.93	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.71	36.97	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.73	36.96	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.89	36.71	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-103.3	36.57	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.96	36.94	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.97	37	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.9	36.9	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.92	36.91	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-103.19	37.39	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-103.02	37.43	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.88	36.84	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-103.09	37.14	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-103.06	37.1	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-103.13	37.21	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-103.02	37.13	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-104.64	35.91	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-103.42	37.49	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-103.07	37.5	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.98	36.95	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-102.95	36.89	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-104.77	37.55	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca (Swainson, 1827)"	-104.88	35.87	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-102.93	36.91	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-102.87	36.85	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-103.45	36.87	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-102.88	36.84	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-103.02	37.14	"unknown"	0	1	0	0	1	"mesata"
"Melozone fusca"	-103.98	36.78	"unknown"	0	1	0	0	1	"mesata"
