"spp1" "spp2" "SchoenersD" "modifiedHellingersI"
"1" "campoi" "fusca" "0.221707231282493" "0.425873205070935"
"2" "campoi" "intermedia" "-2.66453525910038e-15" "-2.66453525910038e-15"
"3" "campoi" "mesata" "-3.33066907387547e-15" "-3.33066907387547e-15"
"4" "campoi" "mesoleuca" "0.118398241797453" "0.198005555279165"
"5" "campoi" "perpallida" "0.166422600763115" "0.312224880892593"
"6" "campoi" "potosina" "0.110717679139454" "0.296637894588553"
"7" "campoi" "texana" "0.0141964481963488" "0.0380479886315379"
"8" "fusca" "intermedia" "0" "-2.22044604925031e-16"
"9" "fusca" "mesata" "1.11022302462516e-16" "2.22044604925031e-16"
"10" "fusca" "mesoleuca" "-2.22044604925031e-16" "-4.44089209850063e-16"
"11" "fusca" "perpallida" "0.00225163867047884" "0.00919028230612784"
"12" "fusca" "potosina" "0.0763114986368644" "0.14748649490443"
"13" "fusca" "texana" "-2.22044604925031e-16" "-4.44089209850063e-16"
"14" "intermedia" "mesata" "-6.66133814775094e-16" "-6.66133814775094e-16"
"15" "intermedia" "mesoleuca" "0.0160498166019862" "0.0266191211396327"
"16" "intermedia" "perpallida" "-1.33226762955019e-15" "-1.33226762955019e-15"
"17" "intermedia" "potosina" "-6.66133814775094e-16" "-4.44089209850063e-16"
"18" "intermedia" "texana" "-1.11022302462516e-15" "-1.11022302462516e-15"
"19" "mesata" "mesoleuca" "-4.44089209850063e-16" "-4.44089209850063e-16"
"20" "mesata" "perpallida" "-4.44089209850063e-16" "-6.66133814775094e-16"
"21" "mesata" "potosina" "0" "-2.22044604925031e-16"
"22" "mesata" "texana" "-6.66133814775094e-16" "-6.66133814775094e-16"
"23" "mesoleuca" "perpallida" "0.309157823820179" "0.43201033868191"
"24" "mesoleuca" "potosina" "0.0764078223639298" "0.0941717219797997"
"25" "mesoleuca" "texana" "0.201257307187558" "0.383167881173546"
"26" "perpallida" "potosina" "0.191814426807963" "0.220239433696132"
"27" "perpallida" "texana" "0.188456789913863" "0.356049729138055"
"28" "potosina" "texana" "0" "-2.22044604925031e-16"
