"name"	"longitude"	"latitude"	"subspecies"	"campoi"	"fusca"	"intermedia"	"mesata"	"mesoleuca"	"perpallida"	"potosina"	"texana"	"numSubsppGroups"	"assigned"
"Melozone fusca (Swainson, 1827)"	-103.44	20.67	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-112.31	34.6	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.34	29.86	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-109.14	31.91	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.64	24.55	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.3	20.65	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-106.48	35.14	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.56	25.39	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.81	20.39	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.22	19.7	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-104.67	38.27	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.13	19.64	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-105.87	34.42	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.7	25.71	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-106.28	35.11	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-98.82	30.5	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-104.63	24.21	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-104.62	24.21	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-106.31	35.9	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-102.9	21.19	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.41	20.72	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-112.51	34.52	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-104.64	38.38	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.3	29.27	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-106.46	31.87	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.38	20.76	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-98.81	30.51	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-105.97	35.63	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.72	24.94	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.32	20.73	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.28	19.32	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-106.34	35.64	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.31	20.73	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.32	20.72	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.58	28.92	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-102.9	21.18	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.02	19.25	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.72	24.93	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.31	20.74	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-99.68	19.28	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.99	25.34	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.59	20.7	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-105.9	36.2	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-105.91	35.49	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-105.96	35.62	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-105.93	35.55	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-105.96	35.61	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-105.94	35.58	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-105.93	35.57	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.44	20.68	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-112.35	34.59	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-104.29	38.44	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.8	33.69	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.8	34.87	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.79	33.68	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-107.15	35.55	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.6	26.54	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.34	20.7	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-103.36	20.71	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.18	19.68	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-112.5	34.54	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-100.72	25.24	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-101.79	19.82	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca (Swainson, 1827)"	-111.87	34.85	"unknown"	0	0	0	0	0	0	0	0	0	"none"
"Melozone fusca mesoleuca (S.F.Baird, 1854)"	-111.87	34.85	"unknown"	0	0	0	0	0	0	0	0	0	"none"
