assigned,longitude,latitude
campoi,-99.2,19.31
campoi,-99.08,19.46
campoi,-99.14,19.78
campoi,-98.02,19.48
campoi,-98.31,19.04
campoi,-99.2,19.41
campoi,-98.38,19.12
campoi,-98.24,19.32
campoi,-98.29,19.19
campoi,-97.5,19.55
campoi,-99.09,19.9
campoi,-97.64,19.01
campoi,-99.18,19.13
campoi,-99.11,20.03
campoi,-99.27,19.75
campoi,-97.37,18.71
campoi,-97.4,19.41
campoi,-98.53,19.25
campoi,-99.08,18.99
campoi,-98.4,19.86
campoi,-97.16,19.5
campoi,-97.89,19.12
campoi,-98.86,19.5
campoi,-98.13,19.03
campoi,-98.75,19.34
campoi,-99.21,19.53
campoi,-98.42,18.9
campoi,-97.29,18.81
campoi,-98.18,18.87
campoi,-98.23,18.98
campoi,-97.57,19.82
campoi,-98.37,20.09
campoi,-98.11,19.44
campoi,-98.93,19.13
campoi,-98.7,18.89
campoi,-99.25,19.62
campoi,-98.82,20.15
campoi,-98.55,19.59
campoi,-98.86,19.36
campoi,-98.92,19.87
campoi,-98.66,19.27
campoi,-98.31,18.93
campoi,-98.63,19.36
campoi,-98.2,20.21
campoi,-98.53,19.36
campoi,-98.98,19.56
campoi,-99.19,19.69
campoi,-97.78,19.23
campoi,-97.83,19.89
campoi,-98.99,19.3
campoi,-98.87,19.61
campoi,-97.92,19.29
campoi,-97.65,19.89
campoi,-98.98,19.21
campoi,-98.95,19.46
campoi,-98.52,19.97
campoi,-99.22,20
campoi,-98.88,18.95
campoi,-99.09,19.26
campoi,-99.2,19.9
campoi,-98.61,20.08
campoi,-99.26,18.94
campoi,-99.01,18.92
campoi,-98.85,19.98
campoi,-98.88,19.72
campoi,-98.52,20.28
campoi,-99.06,19.12
campoi,-98.74,20.07
campoi,-98.79,18.78
campoi,-98.48,19.11
campoi,-99.21,20.32
campoi,-98.96,20.28
campoi,-98.2,20.4
campoi,-98.23,19.12
campoi,-99.09,19.58
campoi,-97.97,19.83
campoi,-98.45,20.14
campoi,-98.44,20.44
campoi,-98.15,19.25
campoi,-97.08,19.61
campoi,-98.01,19.39
campoi,-97.92,18.82
campoi,-99.08,19.37
campoi,-98.04,19.97
campoi,-99.03,18.82
campoi,-97.91,19.01
campoi,-98.63,19.93
campoi,-98.79,19.04
campoi,-98.93,20.16
campoi,-98.05,18.98
campoi,-98.18,19.58
campoi,-99.09,19.68
campoi,-97.39,18.85
campoi,-98.78,19.16
campoi,-98.75,19.69
campoi,-98.41,19.28
campoi,-98.98,19.75
campoi,-99.23,19.21
campoi,-98.85,19.25
campoi,-98.58,20.2
campoi,-98.03,19.23
campoi,-97.42,19.63
campoi,-98.58,19.47
campoi,-96.99,19.64
campoi,-98.71,19.79
campoi,-99.24,19.06
campoi,-98.68,20.15
campoi,-99.07,20.39
campoi,-98.03,20.21
campoi,-98.67,20.46
campoi,-97.24,19.62
campoi,-99.15,20.17
campoi,-99.15,18.92
campoi,-97.45,18.98
