assigned,longitude,latitude
fusca,-103.19,20.45
fusca,-103.59,20.01
fusca,-103.85,20.08
fusca,-103.71,19.85
fusca,-103.62,19.4
fusca,-103.26,20.31
fusca,-102.69,20.17
fusca,-102.29,19.94
fusca,-103.51,19.53
fusca,-103.17,20.09
fusca,-103.69,19.48
fusca,-102.55,20.28
fusca,-103.16,20
fusca,-102.82,20.35
fusca,-103.07,19.89
fusca,-103.12,20.34
fusca,-103.5,20.4
fusca,-102.71,20.29
fusca,-103.75,20.14
fusca,-103.95,20.49
fusca,-102.48,20.02
fusca,-102.2,19.49
fusca,-103.72,20.05
fusca,-102.97,19.9
fusca,-103.71,19.37
fusca,-102.35,19.37
fusca,-103.42,20.28
fusca,-103.37,20.42
fusca,-102.46,19.46
fusca,-104.01,20.35
fusca,-103.76,19.96
fusca,-103.82,20.37
fusca,-103.82,19.88
fusca,-103.6,19.88
fusca,-103.52,20.16
fusca,-103.46,19.7
fusca,-102.96,18.81
fusca,-103.66,19.58
fusca,-104.36,19.8
fusca,-103.56,20.25
fusca,-102.23,19.61
fusca,-103.6,19.67
fusca,-103.38,19.55
