assigned,longitude,latitude
mesata,-105.17,38.44
mesata,-102.62,36.75
mesata,-103.54,37.51
mesata,-103.98,36.78
mesata,-104.88,38.85
mesata,-104.75,37.82
mesata,-102.85,37.01
mesata,-102.71,36.97
mesata,-102.89,36.71
mesata,-102.97,37
mesata,-103.19,37.39
mesata,-105.05,38.46
mesata,-104.74,38.66
mesata,-104.85,38.29
mesata,-103.13,37.21
mesata,-103.02,37.13
mesata,-104.46,37.7
mesata,-104.64,35.91
mesata,-104.26,37.66
mesata,-104.95,38.51
mesata,-104.79,38.94
mesata,-103.42,37.49
mesata,-103.07,37.5
mesata,-104.53,38.58
mesata,-104.44,38.51
mesata,-104.77,37.55
mesata,-104.88,35.87
mesata,-103.47,37.76
mesata,-103.45,36.87
mesata,-104.67,38.01
mesata,-104.64,38.38
mesata,-104.29,38.44
mesata,-104.67,38.27
mesata,-104.27,39.03
mesata,-103.56,37.66
mesata,-104.52,37.18
mesata,-103.31,36.58
mesata,-104.93,38.22
mesata,-104.35,38.36
mesata,-103.54,37.99
mesata,-104.69,38.56
mesata,-103.76,37.46
mesata,-104.61,38.87
mesata,-104.86,37.95
mesata,-104.91,37.59
mesata,-103.5,36.37
mesata,-105.4,38.48
mesata,-102.96,36.83
mesata,-102.82,36.9
mesata,-103.9,37.56
mesata,-102.51,36.92
mesata,-104.59,37.43
mesata,-104.49,36.83
mesata,-104.9,35.98
mesata,-103.22,36.42
mesata,-103.13,36.95
