assigned,longitude,latitude
mesoleuca,-110.91,32.43
mesoleuca,-110.74,32.58
mesoleuca,-110.85,31.5
mesoleuca,-109.97,32.62
mesoleuca,-111.05,31.59
mesoleuca,-111.09,31.4
mesoleuca,-109.79,32.02
mesoleuca,-111.21,32.26
mesoleuca,-110.35,31.96
mesoleuca,-111.49,32.46
mesoleuca,-110.23,31.38
mesoleuca,-110.85,31.38
mesoleuca,-110.36,31.59
mesoleuca,-110.94,31.57
mesoleuca,-110.61,32.32
mesoleuca,-111.13,32.33
mesoleuca,-111.02,31.88
mesoleuca,-110.73,32.16
mesoleuca,-111.27,32.5
mesoleuca,-111.18,31.89
mesoleuca,-110.24,32.5
mesoleuca,-110.89,31.76
mesoleuca,-109.61,32.17
mesoleuca,-109.76,32.14
mesoleuca,-110.35,31.69
mesoleuca,-111.19,31.43
mesoleuca,-110.74,32.67
mesoleuca,-110.59,31.36
mesoleuca,-110.48,32.14
mesoleuca,-109.76,32.68
mesoleuca,-111.43,31.66
mesoleuca,-111.48,31.76
mesoleuca,-110.88,32.87
mesoleuca,-111.19,32.79
mesoleuca,-111.53,31.96
mesoleuca,-111.09,32.64
mesoleuca,-110.86,32.52
mesoleuca,-110.41,32.91
mesoleuca,-110.58,32.08
mesoleuca,-109.83,31.73
mesoleuca,-110.67,31.91
mesoleuca,-111.36,32.01
mesoleuca,-109.71,31.45
mesoleuca,-109.94,31.34
mesoleuca,-109.5,32.88
mesoleuca,-109.76,32.56
mesoleuca,-110.87,32.02
mesoleuca,-110.8,31.94
mesoleuca,-111.51,31.57
mesoleuca,-109.83,32.9
mesoleuca,-111.08,32.2
mesoleuca,-110.68,32.5
mesoleuca,-110.17,32.17
mesoleuca,-110.5,31.7
mesoleuca,-110.59,31.82
mesoleuca,-110.78,31.8
mesoleuca,-110.94,31.67
mesoleuca,-110.8,31.69
mesoleuca,-110.42,32.03
mesoleuca,-111.23,33.1
mesoleuca,-111.39,31.85
mesoleuca,-111.36,31.59
mesoleuca,-111.12,31.68
mesoleuca,-110.08,32.06
mesoleuca,-110.79,32.44
mesoleuca,-111.14,31.79
mesoleuca,-110.69,31.41
mesoleuca,-110.06,31.74
mesoleuca,-109.92,31.97
mesoleuca,-109.62,31.6
mesoleuca,-110.02,31.87
mesoleuca,-110.98,33.1
mesoleuca,-110.92,32.32
mesoleuca,-111.07,32.81
mesoleuca,-109.73,31.76
mesoleuca,-109.73,31.56
mesoleuca,-109.47,32.38
mesoleuca,-109.53,32.23
mesoleuca,-109.45,32.15
mesoleuca,-111.03,32.39
mesoleuca,-110.44,31.35
mesoleuca,-110.49,31.44
mesoleuca,-110.61,31.67
mesoleuca,-110.13,31.54
mesoleuca,-110.23,31.72
mesoleuca,-109.58,32.59
mesoleuca,-111.39,32.17
mesoleuca,-111.29,31.46
mesoleuca,-110.31,31.45
mesoleuca,-109.52,31.88
mesoleuca,-110.56,31.91
mesoleuca,-111.64,31.83
mesoleuca,-111.88,31.91
mesoleuca,-110.72,31.51
mesoleuca,-110.04,31.59
mesoleuca,-110.76,31.6
mesoleuca,-111.54,31.47
mesoleuca,-110.25,31.55
mesoleuca,-112.29,32.95
mesoleuca,-110.9,31.85
mesoleuca,-109.51,31.59
mesoleuca,-110.98,31.47
mesoleuca,-111.6,32.04
mesoleuca,-110.87,32.61
mesoleuca,-110.72,32.05
mesoleuca,-111.28,32.08
mesoleuca,-111.79,32.02
mesoleuca,-109.99,31.5
mesoleuca,-109.87,31.42
mesoleuca,-110.94,31.32
mesoleuca,-110.82,32.22
mesoleuca,-109.48,32.54
mesoleuca,-110.33,32.65
mesoleuca,-110.33,32.84
mesoleuca,-110.18,31.63
mesoleuca,-111.02,31.78
mesoleuca,-110.51,31.54
mesoleuca,-110.97,32.52
mesoleuca,-110.42,31.81
mesoleuca,-110.49,32.43
mesoleuca,-110.96,31.97
mesoleuca,-109.75,31.88
mesoleuca,-110.25,31.91
mesoleuca,-112.14,32.13
mesoleuca,-111.74,33.08
mesoleuca,-111.09,32.47
mesoleuca,-110.1,31.44
mesoleuca,-110.93,32.22
mesoleuca,-110.81,32.32
mesoleuca,-110.68,32.24
mesoleuca,-110.83,32.73
