assigned,longitude,latitude
potosina,-101.79,21.26
potosina,-102.14,21.6
potosina,-99.66,21.08
potosina,-101.41,20.7
potosina,-101.71,21.38
potosina,-101.57,21.16
potosina,-101.32,20.66
potosina,-101.33,20.75
potosina,-100.79,20.5
potosina,-100.77,20.9
potosina,-100.18,20.92
potosina,-100.44,20.7
potosina,-101.73,21.88
potosina,-100.81,21.03
potosina,-100.46,20.8
potosina,-101.84,21.76
potosina,-101.24,21.48
potosina,-100.16,21.32
potosina,-100.94,20.83
potosina,-101.27,20.9
potosina,-100.47,20.56
potosina,-100.39,20.62
potosina,-100.46,21.47
potosina,-99.56,20.92
potosina,-99.46,21.14
potosina,-101.37,21.01
potosina,-99.81,20.67
potosina,-101.67,21.04
potosina,-100.1,21.2
potosina,-100.64,22.1
potosina,-101.7,21.16
potosina,-101.99,21.24
potosina,-100.99,22.18
potosina,-100.49,21.18
potosina,-101.95,21.95
potosina,-101.25,20.51
potosina,-100.87,21.13
potosina,-101.23,22
potosina,-100.5,22.14
potosina,-100.41,21
potosina,-100.35,20.53
potosina,-101.9,21.39
potosina,-100.74,21.61
potosina,-100.66,20.92
potosina,-100.12,21.47
potosina,-100.62,20.82
potosina,-100.29,22.2
potosina,-99.36,20.98
potosina,-101.86,21.89
potosina,-100.27,20.61
potosina,-101.86,22.22
potosina,-100.64,21.99
potosina,-100.97,22.09
potosina,-100.79,20.72
potosina,-100.96,20.51
potosina,-101.27,21.02
potosina,-101.24,20.61
potosina,-100.56,20.74
potosina,-101,21.47
potosina,-102.1,21.16
potosina,-100.11,20.66
potosina,-101.51,20.7
potosina,-100.75,22.21
potosina,-99.88,21.28
potosina,-102.01,20.96
potosina,-99.79,21.37
potosina,-101.33,21.26
potosina,-100.52,21.27
potosina,-100.42,21.63
potosina,-101.55,21.32
potosina,-100.48,22.02
potosina,-101.13,22.22
potosina,-101.78,21.08
potosina,-101.01,21.78
potosina,-100.6,22.22
potosina,-100.83,22.11
potosina,-101.26,22.1
potosina,-101.54,21.07
potosina,-101.59,21.87
potosina,-100.61,20.66
potosina,-102.08,22.1
potosina,-101.13,21.85
potosina,-100.29,20.87
potosina,-100.37,21.52
potosina,-100.01,21.38
potosina,-101.17,21.07
potosina,-100.17,21.75
potosina,-101.65,21.27
potosina,-100.06,21.29
potosina,-101.12,22.13
potosina,-101.5,21.91
potosina,-101.61,20.6
potosina,-99.93,21.79
potosina,-101.48,20.5
potosina,-99.38,20.74
potosina,-99.9,20.52
potosina,-100.37,21.27
potosina,-99.31,20.55
potosina,-101.68,21.61
potosina,-102.12,22.23
potosina,-99.79,20.86
potosina,-100.07,20.91
potosina,-100.04,21.97
potosina,-99.7,20.8
potosina,-99.97,20.7
potosina,-99.6,20.81
potosina,-99.57,21.14
potosina,-101.04,21.14
potosina,-99.93,20.91
potosina,-100.07,21.8
potosina,-99.63,20.53
potosina,-101.76,21.53
