"Longitude" "Latitude" "wc2.1_10m_bio_1" "wc2.1_10m_bio_2" "wc2.1_10m_bio_3" "wc2.1_10m_bio_4" "wc2.1_10m_bio_5" "wc2.1_10m_bio_6" "wc2.1_10m_bio_7" "wc2.1_10m_bio_8" "wc2.1_10m_bio_9" "wc2.1_10m_bio_10" "wc2.1_10m_bio_11" "wc2.1_10m_bio_12" "wc2.1_10m_bio_13" "wc2.1_10m_bio_14" "wc2.1_10m_bio_15" "wc2.1_10m_bio_16" "wc2.1_10m_bio_17" "wc2.1_10m_bio_18" "wc2.1_10m_bio_19" "occ"
-104.25 29.9166666666667 17.1793651580811 17.6786460876465 49.8812026977539 672.409118652344 34.3144989013672 -1.12699997425079 35.4414978027344 24.0875415802002 10.4119167327881 25.1866664886475 8.73404121398926 377 73 7 82.0658111572266 211 26 189 30 0
-104.916666666667 29.4166666666667 19.8557300567627 17.8530406951904 48.2795181274414 726.365173339844 37.5294990539551 0.550999999046326 36.9785003662109 27.3064575195312 12.5611667633057 28.3779582977295 10.6124582290649 282 64 3 94.4886169433594 177 15 146 19 0
-103.75 29.4166666666667 18.4331245422363 15.8614587783813 47.4659461975098 665.450622558594 34.398250579834 0.981750011444092 33.4165000915527 25.2272090911865 11.5862922668457 26.2467079162598 9.93420886993408 369 69 7 77.64013671875 199 26 176 30 0
-101.583333333333 27.25 21.6062297821045 15.4892082214355 49.354621887207 611.347900390625 35.6800003051758 4.29650020599365 31.3834991455078 27.5480003356934 15.5427494049072 28.4084167480469 13.5071668624878 339 65 7 62.8053131103516 151 31 131 41 0
-101.416666666667 27.25 21.7216453552246 15.1812496185303 48.6134452819824 621.078857421875 35.7509994506836 4.52250003814697 31.2285003662109 27.8370418548584 15.529541015625 28.6533756256104 13.5037078857422 345 64 7 60.6250381469727 147 33 132 42 0
-100.583333333333 28.0833333333333 20.3568344116211 15.0769166946411 49.5788154602051 608.510437011719 35.0052490234375 4.59525012969971 30.4099998474121 24.271167755127 14.2952919006348 27.3258743286133 12.4428329467773 446 95 9 66.8258514404297 185 39 132 43 0
-104.75 29.75 18.5549793243408 17.2317924499512 48.4239692687988 700.336791992188 35.8617515563965 0.27649998664856 35.5852508544922 25.7910423278809 11.4606666564941 26.8623752593994 9.73250007629395 328 71 4 89.9239501953125 197 19 167 24 0
-104.916666666667 30.25 17.3816261291504 17.5677928924561 48.3684730529785 712.273193359375 35.0017509460449 -1.31900000572205 36.3207511901855 24.8800411224365 13.300666809082 25.9355010986328 8.49816703796387 334 69 6 85.8857727050781 194 21 168 28 0
-100.583333333333 27.25 22.4401035308838 14.6357078552246 45.7931137084961 659.542785644531 37.2980003356934 5.33750009536743 31.9605007171631 29.0937080383301 15.7767915725708 29.9269580841064 13.7565832138062 411 88 10 63.0542488098145 177 44 137 49 0
-103.25 28.9166666666667 21.4322280883789 17.2533340454102 49.3255386352539 693.084777832031 37.9562492370605 2.9777500629425 34.9785003662109 29.3234176635742 14.4355421066284 29.3234176635742 12.3646249771118 266 41 6 62.4940071105957 118 22 118 26 0
-103.916666666667 29.4166666666667 18.6897506713867 16.4336242675781 48.3605041503906 662.798522949219 34.9407501220703 0.959249973297119 33.9814987182617 25.3951263427734 11.8939580917358 26.4459590911865 10.2218332290649 360 70 7 81.4679412841797 202 25 178 28 0
-101.416666666667 28.25 20.7902603149414 15.2094793319702 48.7932929992676 621.020263671875 35.3507499694824 4.17950010299683 31.1712493896484 27.1927490234375 13.3316669464111 27.8522491455078 12.6597919464111 471 105 10 73.1213760375977 212 34 172 34 0
-104.583333333333 29.5833333333333 21.1576881408691 18.3637504577637 48.2291984558105 754.353088378906 39.1577491760254 1.08175003528595 38.076000213623 28.9517078399658 13.6472501754761 30.011791229248 11.5729999542236 271 58 3 82.864875793457 154 17 126 22 0
-104.083333333333 30.4166666666667 15.5744895935059 17.6283950805664 50.6788787841797 655.163269042969 32.5767517089844 -2.20775008201599 34.7845001220703 22.4004993438721 8.91545867919922 23.4712924957275 7.4151668548584 423 80 9 78.2038116455078 229 31 206 35 0
-103.416666666667 30.4166666666667 16.355541229248 16.4150829315186 49.4914703369141 647.046936035156 32.0690002441406 -1.09850001335144 33.1674995422363 23.2907085418701 9.47500038146973 24.1235008239746 8.20812511444092 420 82 9 72.9662551879883 215 33 185 38 0
-101.75 27.25 20.2139472961426 14.5016040802002 49.0565414428711 574.944274902344 33.7942504882812 4.2332501411438 29.5610008239746 25.7492504119873 17.744083404541 26.6225833892822 12.5987920761108 341 65 7 63.3071441650391 156 29 135 43 0
-103.416666666667 28.75 20.2978019714355 17.1851863861084 50.8230743408203 642.79052734375 36.4785003662109 2.66475009918213 33.8137512207031 26.695291519165 13.7620420455933 27.617208480835 11.9283332824707 269 46 7 62.0576591491699 124 24 122 27 0
-100.25 27.75 21.7122077941895 14.4615411758423 46.7194557189941 638.750671386719 36.2950019836426 5.34100008010864 30.9540023803711 25.857458114624 14.0369577407837 28.9343757629395 13.3217496871948 457 84 15 57.1030616760254 181 52 134 54 0
-102.583333333333 29.5833333333333 19.2973861694336 15.1017284393311 46.7321548461914 668.548034667969 34.1279983520508 1.8125 32.3154983520508 26.2113742828369 12.3102912902832 26.9223747253418 10.5659580230713 293 48 5 60.2659568786621 128 24 119 31 0
-102.916666666667 30.25 16.4837093353271 15.7033748626709 48.0946197509766 652.955505371094 31.6860008239746 -0.964999973773956 32.6510009765625 23.503833770752 9.49916648864746 24.1611251831055 8.17537498474121 413 79 9 66.8327178955078 195 33 167 39 0
-103.083333333333 29.5833333333333 19.3250102996826 16.230354309082 47.269889831543 703.8681640625 35.3375015258789 1.00199997425079 34.3355026245117 26.6529579162598 12.0966663360596 27.4991664886475 10.2390003204346 326 55 6 65.2684707641602 148 26 138 31 0
-101.916666666667 27.4166666666667 18.0365829467773 14.7749996185303 52.5258636474609 507.139282226562 31.2447490692139 3.1157500743866 28.128999710083 22.8896675109863 15.6826667785645 23.6690826416016 11.2922086715698 340 60 7 66.2696762084961 164 28 149 40 0
-102.083333333333 27.75 18.3717803955078 15.7038545608521 53.5958595275879 521.395935058594 32.1597480773926 2.85925006866455 29.3004989624023 23.4148750305176 15.9526672363281 24.1649570465088 11.4336671829224 353 62 7 65.790153503418 168 30 154 39 0
-102.25 27.75 18.1785411834717 16.2275428771973 54.0571212768555 530.749084472656 32.3362503051758 2.31699991226196 30.019250869751 23.2797908782959 15.7522087097168 24.0109157562256 11.085750579834 338 58 7 66.9443283081055 164 28 153 38 0
