"Longitude" "Latitude" "wc2.1_10m_bio_1" "wc2.1_10m_bio_2" "wc2.1_10m_bio_3" "wc2.1_10m_bio_4" "wc2.1_10m_bio_5" "wc2.1_10m_bio_6" "wc2.1_10m_bio_7" "wc2.1_10m_bio_8" "wc2.1_10m_bio_9" "wc2.1_10m_bio_10" "wc2.1_10m_bio_11" "wc2.1_10m_bio_12" "wc2.1_10m_bio_13" "wc2.1_10m_bio_14" "wc2.1_10m_bio_15" "wc2.1_10m_bio_16" "wc2.1_10m_bio_17" "wc2.1_10m_bio_18" "wc2.1_10m_bio_19" "occ"
-101.29 27.96 21.4050941467285 15.0285625457764 47.6077041625977 641.2392578125 36.0307502746582 4.46325016021729 31.5675010681152 25.6673755645752 15.0255002975464 28.6890411376953 12.9905834197998 435 78 10 60.0518608093262 174 37 152 41 1
-103.51 29.85 17.236478805542 17.6526260375977 50.3393478393555 665.673583984375 33.755500793457 -1.31174993515015 35.0672492980957 24.2456665039062 10.3526248931885 25.1215839385986 8.81291675567627 396 75 7 75.1427307128906 206 28 182 34 1
-104.02 29.67 18.8133640289307 17.8244380950928 49.1647605895996 698.617431640625 36.1632499694824 -0.0912500023841858 36.2545013427734 25.9736671447754 11.8050413131714 27.0757503509521 9.97325038909912 339 65 6 79.5276870727539 186 24 165 28 1
-105.36 31.17 15.6808128356934 17.3578338623047 47.4504089355469 752.359985351562 33.6237487792969 -2.95724987983704 36.580997467041 23.8015823364258 11.385666847229 24.7698745727539 6.30033302307129 297 61 6 80.9056777954102 170 22 142 31 1
-104.82 32 14.756781578064 14.0291042327881 42.8916397094727 714.501708984375 31.1084995269775 -1.59975004196167 32.7082481384277 22.2622909545898 10.6222915649414 23.4546661376953 5.89249992370605 409 82 10 75.8767166137695 221 35 186 41 1
-101.083333333333 28.4166666666667 20.7740516662598 15.5994367599487 48.9547653198242 636.006774902344 36.1332511901855 4.26824998855591 31.8650016784668 25.2009162902832 13.2604999542236 28.1307506561279 12.5068330764771 424 100 8 71.6109390258789 198 34 121 37 0
-101.416666666667 27.4166666666667 21.1212196350098 14.5115623474121 47.8937377929688 608.990966796875 35.054500579834 4.75500011444092 30.2994995117188 27.196834564209 15.0010004043579 27.9808750152588 13.0927505493164 359 67 8 61.717414855957 151 32 136 40 0
-101.916666666667 27.9166666666667 17.7612915039062 14.1107082366943 52.3355407714844 495.562072753906 30.4739990234375 3.51200008392334 26.9619979858398 22.655834197998 12.5372495651245 23.2956237792969 11.2017917633057 375 68 8 66.9251098632812 180 31 162 39 0
-104.583333333333 32.4166666666667 15.9300203323364 16.1432075500488 45.2314262390137 765.20166015625 33.5309982299805 -2.15925002098083 35.6902465820312 24.1136665344238 8.18866634368896 25.3082504272461 6.42733335494995 363 76 8 73.9611663818359 189 31 156 36 0
-105.083333333333 32.75 14.4392395019531 15.7263126373291 45.056224822998 748.201782226562 31.8092498779297 -3.09450006484985 34.903751373291 22.6042499542236 6.90633344650269 23.664249420166 5.24245834350586 386 81 8 75.1939315795898 208 34 183 42 0
