"Longitude" "Latitude" "wc2.1_10m_bio_1" "wc2.1_10m_bio_2" "wc2.1_10m_bio_3" "wc2.1_10m_bio_4" "wc2.1_10m_bio_5" "wc2.1_10m_bio_6" "wc2.1_10m_bio_7" "wc2.1_10m_bio_8" "wc2.1_10m_bio_9" "wc2.1_10m_bio_10" "wc2.1_10m_bio_11" "wc2.1_10m_bio_12" "wc2.1_10m_bio_13" "wc2.1_10m_bio_14" "wc2.1_10m_bio_15" "wc2.1_10m_bio_16" "wc2.1_10m_bio_17" "wc2.1_10m_bio_18" "wc2.1_10m_bio_19" "occ"
-99.055368 19.591946 15.984354019165 16.1909999847412 69.2389144897461 189.609771728516 26.9212493896484 3.53699994087219 23.3842487335205 17.3356666564941 13.3926248550415 18.058874130249 13.3926248550415 627 128 7 92.3687057495117 363 23 187 23 1
-105.502618 28.258387 18.7464580535889 17.0030002593994 50.166332244873 601.509765625 34.9297485351562 1.03649997711182 33.8932495117188 24.5197505950928 15.8248338699341 25.7720832824707 11.0853338241577 339 80 3 101.827186584473 226 16 190 23 1
-99.156013 19.775275 15.6897392272949 17.3391876220703 69.1003875732422 201.934875488281 27.2487506866455 2.15599989891052 25.0927505493164 17.2285423278809 12.9213752746582 17.8432083129883 12.9213752746582 582 112 6 86.9626007080078 319 22 172 22 1
-99.903336 26.253721 21.4105529785156 13.1978120803833 47.4861068725586 546.290100097656 34.6592483520508 6.86625003814697 27.7929992675781 24.9486675262451 15.8481245040894 27.6650428771973 14.2164163589478 566 119 20 61.6948127746582 254 67 190 68 1
-101.15859 25.285942 16.2394580841064 16.0164585113525 62.4435501098633 350.835174560547 28.5284996032715 2.87899994850159 25.6494998931885 19.2884998321533 14.6730003356934 20.0259990692139 11.5580835342407 457 78 10 64.9167556762695 219 42 179 59 1
-102.410116 20.989221 17.4826145172119 17.7955207824707 62.5655555725098 280.229034423828 31.2442493438721 2.80124998092651 28.4429988861084 19.8727493286133 16.8653755187988 20.5955410003662 13.7723751068115 774 211 3 117.335334777832 532 14 388 24 1
-100.814187 23.639368 16.6272392272949 16.5802707672119 66.219108581543 305.649108886719 28.7637500762939 3.72525000572205 25.0384998321533 19.0913753509521 13.6275835037231 19.8304176330566 12.5009164810181 416 67 10 62.009635925293 185 39 165 43 1
-100.835827 19.979237 17.5027084350586 15.1690826416016 64.6008377075195 225.039352416992 28.9667491912842 5.4854998588562 23.4812488555908 18.6868343353271 17.2162075042725 20.0157508850098 14.4666662216187 732 177 7 107.576477050781 468 24 170 31 1
-103.8376 30.540559 15.4279899597168 16.4574794769287 49.4315071105957 642.789123535156 31.7450008392334 -1.54849994182587 33.2934989929199 22.1464176177979 8.85112476348877 23.2388343811035 7.43387508392334 438 84 10 78.255729675293 239 32 213 36 1
-101.894248 22.679137 16.7930202484131 17.2640838623047 64.9899139404297 288.390747070312 29.5825004577637 3.01824998855591 26.5642509460449 18.832332611084 16.0448741912842 19.9066257476807 12.9222497940063 373 66 6 76.9292144775391 194 23 153 36 1
-101.110158 25.154733 15.9021768569946 16.5313949584961 63.0891075134277 353.940246582031 28.4804992675781 2.27725005149841 26.2032489776611 18.9955005645752 14.3662080764771 19.6709175109863 11.1692504882812 479 79 11 59.6423072814941 217 48 216 70 1
-99.675929 20.337299 16.7394161224365 16.1941242218018 65.3324737548828 237.535659790039 28.7487506866455 3.9614999294281 24.7872505187988 18.5723743438721 13.6054582595825 19.4113330841064 13.6054582595825 508 100 6 86.3253784179688 282 25 164 25 1
-100.00765 20.760255 17.2985935211182 15.5446462631226 63.4093627929688 246.496780395508 29.2447490692139 4.73000001907349 24.5147495269775 19.2347507476807 14.0211668014526 20.0575828552246 14.0211668014526 432 99 5 90.7209701538086 255 22 133 22 1
-103.652567 22.366683 16.0775928497314 17.8365211486816 63.2119636535645 317.594970703125 29.7140007019043 1.49699997901917 28.2170009613037 19.2752075195312 14.6531248092651 19.6119575500488 11.8810415267944 657 169 3 107.781173706055 424 19 285 60 1
-103.84852 30.638908 15.4279899597168 16.4574794769287 49.4315071105957 642.789123535156 31.7450008392334 -1.54849994182587 33.2934989929199 22.1464176177979 8.85112476348877 23.2388343811035 7.43387508392334 438 84 10 78.255729675293 239 32 213 36 1
-106.88127 34.062557 13.4421253204346 19.0420837402344 47.7673187255859 801.055053710938 33.8935012817383 -5.9707498550415 39.8642501831055 22.6030826568604 8.93454170227051 23.3595428466797 3.62700009346008 251 53 8 71.0983200073242 134 26 110 32 1
