assigned,longitude,latitude
none,-115.31,32.47
none,-100.56,25.39
none,-106.88,33.89
none,-114.37,32.62
none,-99.6,33.07
none,-119.41,36.79
none,-114.49,33
none,-111.45,32.37
none,-118.86,35.44
none,-106.59,32.38
none,-115.46,32.59
none,-121.88,37.23
none,-102.03,24.91
none,-120.28,34.73
none,-112.06,26.99
none,-122.16,37.93
none,-114.75,32.52
none,-115.11,36.07
none,-110.16,32
none,-100.69,20.16
none,-111.16,33.28
none,-115.07,31.04
none,-111.48,33.46
none,-104.4,33.46
none,-111.45,31.79
none,-111.54,25.82
none,-112.49,26.99
none,-109.82,23.55
none,-99.9,26.25
none,-109.78,23.36
none,-104.27,23.95
none,-112.58,28.7
none,-115.6,34.79
none,-102.59,27.22
none,-101.16,25.29
none,-110.3,31.47
none,-102.41,20.99
none,-116.11,31.89
none,-120.42,37.38
none,-116.27,35.98
none,-101.79,30.47
none,-101.82,21.73
none,-97.74,18.4
none,-113.95,33.66
none,-106.82,32.26
none,-117.97,35.37
none,-122.61,38.92
none,-115.36,36.52
none,-115.86,35.78
none,-113.43,34.49
none,-110.94,31.67
none,-111.05,31.59
none,-105.85,32.96
none,-118.97,36.59
none,-110.17,30.33
none,-110.24,29.82
none,-108.95,31.26
none,-110.23,31.39
none,-110.74,32.43
none,-118.42,35.9
none,-110.91,32.43
none,-110.78,31.8
none,-99.68,20.34
none,-121.87,38.69
none,-120.97,38.51
none,-114.02,36.69
none,-121.6,36.9
none,-121.1,36.66
none,-111.15,32.18
none,-111.92,33.8
none,-111.35,25.92
none,-121.35,38.58
none,-106.88,34.06
none,-120.91,38.21
none,-118.29,35.69
none,-118.92,36.06
none,-112.93,32.03
none,-115.19,36.17
none,-121.97,38.52
none,-119.95,34.72
none,-121.01,38.05
none,-122.92,39.06
none,-120.67,35.46
none,-121.01,38.69
none,-121.19,38.65
none,-119.72,36.98
none,-114.72,36.72
none,-111.56,31.49
none,-121.96,40.52
none,-121.07,38.61
none,-114.7,32.74
none,-110.35,31.84
none,-118.94,36.27
none,-111.73,33.36
none,-107.14,29.21
none,-120.6,38.1
none,-110.64,31.79
none,-120.52,37.99
none,-112.78,33.27
none,-114.26,35.58
none,-110.74,32.93
none,-114.5,36.62
none,-120.42,37.52
none,-106.89,34.16
none,-112.89,32.45
none,-97.68,18.19
none,-109.36,32.01
none,-112.95,32.31
none,-103.14,29.27
none,-112.85,32.22
none,-121.27,37.69
none,-109.82,22.99
none,-121.08,39.29
none,-110.99,31.96
none,-113.37,34.71
none,-97.85,30.79
none,-109.4,31.35
none,-111.66,33.55
none,-110.37,31.54
none,-110.25,31.56
none,-112.04,33.54
none,-120.72,35.56
none,-121.14,36.53
none,-112.15,33.82
none,-120.87,35.46
none,-111.29,32.61
none,-110.5,31.35
none,-122.42,38.63
none,-110.45,31.43
none,-113.18,34.38
none,-115.46,36.07
none,-120.99,38.83
none,-109.76,32.7
none,-121.15,36.21
none,-119.57,37.06
none,-110.29,32.15
none,-119.89,34.98
none,-112.23,32.74
none,-112.35,34.57
none,-121.33,36.43
none,-109.13,31.78
none,-121.23,36.81
none,-111.43,31.66
none,-110.92,32.59
none,-119.79,36.88
none,-111.05,32.13
none,-111.4,32.58
none,-112.61,32.89
none,-113.34,28.82
none,-115.19,36.31
none,-108.51,32.84
none,-121.86,38.55
none,-119.69,34.95
none,-114.69,36.39
none,-119.91,36.85
none,-111.51,31.59
none,-113.56,28.94
none,-121.98,39.74
none,-117.69,35.64
none,-121.57,39.68
none,-119.89,37.1
none,-114.66,35.87
none,-120.28,35.42
none,-119.72,37.09
none,-110.14,31.55
none,-122.19,40.46
none,-111.12,27.99
none,-104.27,30.62
none,-103.8,30.29
none,-112.22,32.17
none,-120.43,37.71
none,-112.78,32.38
none,-111.33,34.23
none,-121.08,38.45
none,-111.44,25.98
none,-121.19,38.16
none,-113.35,32.8
none,-111.74,32.49
none,-109.74,31.46
none,-109.97,33.01
none,-121.42,39.51
none,-110.94,31.56
none,-120.09,36.95
none,-111.2,33.72
none,-107.92,32.59
none,-121.41,39.23
none,-110,31.57
none,-119.33,36.67
none,-114.1,32.51
none,-112.89,32.92
none,-111.59,32.68
none,-114.19,33.38
none,-108.98,31.73
none,-108.38,32.5
none,-120.66,36.07
none,-120.74,37.94
none,-106.65,31.98
none,-109.97,31.92
none,-110.22,23.44
none,-114.27,35.22
none,-109.73,23.8
none,-110.93,31.88
none,-120.88,35.72
none,-114.53,33.67
none,-120.87,38.72
none,-108,32.88
none,-113.98,35.17
none,-111.34,32.23
none,-121.2,39.13
none,-112.3,33.47
none,-121.23,39.24
none,-107.18,32.68
none,-122.13,40.1
none,-114.86,35.47
none,-108.61,32.94
none,-109.72,31.56
none,-109.53,28.46
none,-114.74,35.97
none,-102.15,21.57
none,-107.31,32.85
none,-107.38,32.98
none,-110.45,33.18
none,-109.88,33.06
none,-121.3,38.94
none,-120.79,38.35
none,-120.5,35.47
none,-114.32,34.09
none,-121.3,36.69
none,-113.35,33.58
none,-118.73,36.2
none,-111.5,32.62
none,-111.47,33.87
none,-115.97,36.09
none,-121.7,39.74
none,-104.85,31.89
none,-99.3,19.81
none,-120.82,38.15
none,-109.68,23.05
none,-110.97,31.34
none,-119.92,34.56
none,-121.49,39.3
none,-118.11,35.75
none,-104.67,29.95
none,-114.18,34.61
none,-120.74,35.9
none,-120.76,36.15
none,-119.84,34.45
none,-122.27,38.91
none,-118.76,35.86
none,-121.4,37.7
none,-103.83,30.65
none,-114.02,33.42
none,-114.08,33.51
none,-107.61,32.18
none,-111.68,33.73
none,-120.69,35.27
none,-102.91,24.85
none,-110.36,31.38
none,-111.05,33.42
none,-121.36,38.45
none,-110.11,31.44
none,-110.61,32.32
none,-114.07,32.31
none,-111.02,31.73
none,-110,33.21
none,-121.99,39.96
none,-120.96,37.61
none,-110.61,32.85
none,-121.95,37.78
none,-120.6,37.89
none,-110.49,32.12
none,-109.35,31.48
none,-118.43,35.76
none,-114.53,33.57
none,-110.79,31.99
none,-112.37,33.38
none,-111.67,32.58
none,-120.72,37.81
none,-121.18,37.59
none,-112.97,32.98
none,-100.94,25.48
none,-120.98,39.14
none,-109.1,32.72
none,-120.3,37.79
none,-97.65,18.99
none,-110.98,32.32
none,-109.24,26.4
none,-110.89,31.77
none,-104.3,29.53
none,-108.3,32.71
none,-118.65,35.04
none,-103.58,26.61
none,-122.39,39.74
none,-106.99,32.54
none,-119.84,35.13
none,-114.6,35.68
none,-111.9,33.54
none,-116.65,31.97
none,-100.95,25.28
none,-109.92,23.65
none,-114.98,36.09
none,-106.85,32.38
none,-113.08,33.62
none,-121.76,36.98
none,-122.61,39.01
none,-112.8,33.39
none,-121.75,38.52
none,-121.15,38.76
none,-121.8,39.32
none,-112.41,33.66
none,-113.33,33.39
none,-120.09,35.53
none,-111,33.6
none,-111.38,34.04
none,-120.67,38.33
none,-121.9,40.32
none,-114.9,36.27
none,-110.2,32.85
none,-100.13,20.33
none,-119.55,37.31
none,-110,24.1
none,-108.17,32.8
none,-110.21,33.4
none,-110.32,33.36
none,-120.93,36.3
none,-110.56,31.48
none,-111.46,34.39
none,-111,33.34
none,-103.84,30.54
none,-106.31,31.64
none,-110.95,32.05
none,-116.57,32.85
none,-109.49,31.89
none,-110.81,29.59
none,-111.82,33.9
none,-111.74,34.93
none,-109.51,31.59
none,-110.72,32.24
none,-110.18,23.86
none,-110.67,30.86
none,-118.55,35.82
none,-121.54,39.52
none,-116.16,32.21
none,-105.91,22.78
none,-110.1,24.01
none,-114.55,36.42
none,-110.66,31.68
none,-120.94,37.74
none,-116.05,31.73
none,-100.61,20.25
none,-110.9,27.89
none,-121.37,37.42
none,-104.19,30.75
none,-121.34,37.79
none,-100.55,19.69
none,-122.54,39.6
none,-98.81,20.15
none,-110,23.07
none,-116.93,36.53
none,-116.24,32.87
none,-111.93,34.17
none,-116.14,31.4
none,-116.86,32.19
none,-115.85,36.02
none,-114.74,35.29
none,-107.21,33.15
none,-112.7,33.93
none,-97.92,18.8
none,-105.01,24.05
none,-104.51,23.97
none,-116.69,37.07
none,-112.24,27.06
none,-100.99,25.38
none,-115.72,36.57
none,-103.18,29.4
none,-101.56,29.81
none,-111.24,33.48
none,-116.1,35.14
none,-109.25,26.64
none,-97.31,17.43
none,-121.6,37.64
none,-111.23,32.25
none,-110.85,31.49
none,-110.19,24.09
none,-111.34,26.02
none,-121.69,38.32
none,-100.84,19.98
none,-111.46,26.36
none,-121.02,38.93
none,-98.89,20.28
none,-111.09,32.46
none,-99.28,20.26
none,-112.03,33.83
none,-99.49,20.23
none,-98.51,19.63
none,-102.85,29.43
none,-110.77,31.42
none,-110.33,24.16
none,-113.92,37.1
none,-114.39,35.05
none,-111.95,33.46
none,-113.16,31.39
none,-112.84,31.98
none,-106.68,35.13
none,-109.62,23.62
none,-111.81,33.6
none,-115.81,32.15
none,-100.4,25.56
none,-99.53,20.02
none,-112.8,26.82
none,-111.9,25.98
none,-120.89,38.59
none,-122.03,38.28
none,-119.66,36.86
none,-112.16,29.04
none,-110.84,32.29
none,-113.25,32.51
none,-113.93,36.89
none,-99.39,20.21
none,-116.19,32.62
none,-120.94,35.81
none,-105.44,28.45
none,-122.63,38.01
none,-103.74,25.29
none,-109.61,29.7
none,-111.48,33.34
none,-116.17,32.75
none,-99,19.78
none,-105.42,28.32
none,-106.81,33.99
none,-112.87,37.25
none,-106.66,31.84
none,-116.2,35.79
none,-111.23,32.42
none,-121.22,37.04
none,-112.14,33.91
none,-98.93,19.85
none,-113.32,31.34
none,-111.15,32.54
none,-97.02,17.96
none,-104.75,24.01
none,-112.24,33.17
none,-105.25,23.84
none,-113.74,32.21
none,-111.77,33.51
none,-120.83,36.58
none,-111.8,33.79
none,-109.59,30.72
none,-111.53,30.4
none,-118.67,35.16
none,-110.39,29.43
none,-104.65,24.09
none,-111.18,33.81
none,-109.78,23.14
none,-121.57,37.1
none,-110.49,32.9
none,-111.36,31.99
none,-91.92,46.88
none,-110.41,24.03
none,-111.77,34.67
none,-103.9,24.7
none,-101.21,30.7
none,-121.82,37.52
none,-109.44,32.15
none,-106.52,31.85
none,-116,32.86
none,-111.15,30.33
none,-120.93,38.34
none,-110.72,32.34
none,-115.42,31.29
none,-111.12,30.17
none,-98.83,19.75
none,-97.89,18.9
none,-121.67,37.32
none,-121.83,39.75
none,-103.46,22.42
none,-102.61,20.81
none,-116.74,35.51
none,-114.03,32.7
none,-113.49,34.04
none,-119.94,37.52
none,-121.54,37.19
none,-121.64,39.44
none,-103.66,22.36
none,-112.79,33.88
none,-102.35,20.71
none,-103.29,30.15
none,-110.58,28.8
none,-123.09,39.02
none,-110.32,27.56
none,-121.27,39.34
none,-103.96,26.57
none,-103.28,24.73
none,-110.95,30.67
none,-122.43,37.81
none,-121.76,36.66
none,-114.03,35.27
none,-108.82,31.72
none,-105.93,33.68
none,-114.19,37.06
none,-114.06,37.03
none,-114.09,37.2
none,-116.37,32.45
none,-111.16,31.75
none,-98.85,19.61
none,-118.11,35.64
none,-111.17,28.88
none,-118.09,37.33
none,-109.05,31.85
none,-106.45,35.31
none,-109.7,23.69
none,-106.34,35.64
none,-106.14,27.88
none,-106.16,35.84
none,-112.03,34.76
none,-119.9,38.52
none,-102.59,21.49
none,-104.85,32.12
none,-109.74,23.24
none,-115.19,36.79
none,-97.49,18.28
none,-106.47,28.56
none,-110.48,31.55
none,-115.75,30.98
none,-103.27,25.06
none,-110.98,27.96
none,-115.9,32.45
none,-109.12,31.99
none,-113.05,26.92
none,-109.99,23.99
none,-116.55,31.85
none,-115.22,36.44
none,-104.68,23.94
none,-104.42,23.43
none,-110.44,24.12
none,-109.52,31.34
none,-119.73,37.39
none,-115.67,34.71
none,-111.95,33.9
none,-112.57,30.73
none,-110.95,29.02
none,-116.48,36.41
none,-111.6,33.44
none,-114.31,36.25
none,-114.15,35.96
none,-116.32,31.89
none,-111.11,33.64
none,-104.86,25.45
none,-114.54,36.51
none,-104.46,32.11
none,-109.07,30.76
none,-102.42,27.33
none,-99.62,20.24
