assigned,longitude,latitude
lepida,-120.83,36.58
lepida,-115.31,32.47
lepida,-111.65,33.55
lepida,-112.24,33.17
lepida,-114.37,32.62
lepida,-118.67,34.45
lepida,-114.49,33
lepida,-116.3,32.95
lepida,-118.11,34.34
lepida,-111.15,32.54
lepida,-117.28,34.51
lepida,-118.86,35.44
lepida,-111.23,32.42
lepida,-117.6,33.65
lepida,-120.28,34.73
lepida,-117.85,33.66
lepida,-112.06,26.99
lepida,-118.6,34.02
lepida,-115.77,34
lepida,-113.25,32.51
lepida,-116.23,32.87
lepida,-116.27,36.4
lepida,-118.28,33.74
lepida,-117.09,33.51
lepida,-118.8,34.18
lepida,-121.18,37.7
lepida,-111.24,33.48
lepida,-111.63,33.83
lepida,-121.33,38.68
lepida,-111.09,32.46
lepida,-118.31,34.21
lepida,-117.91,34.5
lepida,-116.46,34.15
lepida,-118.72,34.1
lepida,-116.27,35.98
lepida,-121.69,38.32
lepida,-113.95,33.66
lepida,-117.69,33.87
lepida,-115.86,35.78
lepida,-113.43,34.49
lepida,-110.94,31.67
lepida,-112.71,32.07
lepida,-116.67,32.75
lepida,-118.61,34.27
lepida,-116.84,33.74
lepida,-117.28,33.44
lepida,-111.74,34.93
lepida,-116.93,33.22
lepida,-116.05,31.73
lepida,-110.67,30.86
lepida,-116.72,32.67
lepida,-118.57,35.9
lepida,-118.42,35.9
lepida,-116.44,33.6
lepida,-110.78,31.8
lepida,-109.49,31.89
lepida,-117.81,34.09
lepida,-117.06,33.08
lepida,-118.31,35.67
lepida,-121.6,36.9
lepida,-111.89,34.77
lepida,-113.93,33.47
lepida,-112.09,33.74
lepida,-110.91,32.42
lepida,-120.54,35.64
lepida,-111.15,32.18
lepida,-111.92,33.8
lepida,-119.81,34.43
lepida,-121.35,38.58
lepida,-110.76,31.96
lepida,-115.27,36.32
lepida,-121.05,38.19
lepida,-120.43,37.37
lepida,-121.97,38.52
lepida,-118.42,35.75
lepida,-121.01,38.05
lepida,-115.68,32.78
lepida,-120.24,37.5
lepida,-113.01,32.06
lepida,-119.72,36.98
lepida,-121.14,38.76
lepida,-114.72,36.72
lepida,-110.35,31.84
lepida,-119.34,36.83
lepida,-118.94,36.27
lepida,-111.73,33.36
lepida,-120.6,38.1
lepida,-120.52,37.99
lepida,-112.78,33.27
lepida,-112.83,31.98
lepida,-116.31,33.21
lepida,-114.26,35.58
lepida,-110.72,32.34
lepida,-110.74,32.93
lepida,-114.5,36.62
lepida,-120.42,37.52
lepida,-119.83,35.36
lepida,-109.36,32.01
lepida,-112.95,32.31
lepida,-110.27,31.5
lepida,-110.87,31.49
lepida,-112.85,32.22
lepida,-117.52,34.17
lepida,-110.85,31.38
lepida,-117.23,33.65
lepida,-120.64,35.48
lepida,-116.02,34.02
lepida,-121.18,39.05
lepida,-116.98,33.56
lepida,-113.37,34.71
lepida,-110.37,31.54
lepida,-112.32,33.85
lepida,-117.76,34
lepida,-121.02,38.75
lepida,-116.1,33.72
lepida,-116.69,33.67
lepida,-116.86,33.43
lepida,-112.04,33.54
lepida,-121.11,36.55
lepida,-112.15,33.82
lepida,-120.87,35.46
lepida,-111.78,33.62
lepida,-110.94,31.57
lepida,-122.42,38.63
lepida,-119,34.8
lepida,-116.96,33.86
lepida,-113.18,34.38
lepida,-115.46,36.07
lepida,-120.72,38.03
lepida,-120.36,37.94
lepida,-120.59,37.88
lepida,-119.67,36.86
lepida,-109.76,32.7
lepida,-119.89,34.98
lepida,-112.23,32.74
lepida,-121.33,36.43
lepida,-111.43,31.66
