assigned,longitude,latitude
nitens,-102.6,22.7
nitens,-105.25,23.84
nitens,-102.03,24.91
nitens,-101.76,21.3
nitens,-101.72,22.64
nitens,-101.3,21.11
nitens,-99.9,26.25
nitens,-104.27,23.95
nitens,-101.16,25.29
nitens,-102.41,20.99
nitens,-101.51,20.7
nitens,-100.99,25.38
nitens,-101.89,22.68
nitens,-101.11,25.15
nitens,-97.64,18.99
nitens,-100.01,20.76
nitens,-99.05,19.59
nitens,-103.86,30.63
nitens,-103.37,29.28
nitens,-99.36,20.03
nitens,-100.95,25.06
nitens,-101.06,25.07
nitens,-97.68,18.19
nitens,-103.14,29.27
nitens,-100.86,20.9
nitens,-103.74,25.43
nitens,-102.08,22.11
nitens,-104.27,30.62
nitens,-103.8,30.29
nitens,-103.3,29.38
nitens,-100.08,20.41
nitens,-104.67,29.95
nitens,-99.21,19.77
nitens,-102.91,24.85
nitens,-101.24,22.02
nitens,-102.37,21.95
nitens,-100.79,25.39
nitens,-100.79,21
nitens,-104.3,29.53
nitens,-103.58,26.61
nitens,-105.41,28.33
nitens,-100.95,25.28
nitens,-101.75,21.93
nitens,-103.84,30.54
nitens,-101.2,20.69
nitens,-103.65,22.37
nitens,-101.69,22.53
nitens,-105.91,22.78
nitens,-100.28,20.59
nitens,-104.19,30.75
nitens,-100.55,19.69
nitens,-97.74,18.4
nitens,-98.81,20.15
nitens,-101.82,21.73
nitens,-101.15,22.36
nitens,-104.75,24.02
nitens,-105.02,24.05
nitens,-104.51,23.97
nitens,-102.35,22.18
nitens,-100.62,20.25
nitens,-103.18,29.4
nitens,-101.56,29.81
nitens,-100.81,23.64
nitens,-100.84,19.98
nitens,-98.96,20.39
nitens,-99.7,20.54
nitens,-103.11,22.41
nitens,-103.25,29.25
nitens,-102.59,27.22
nitens,-98.89,20.28
nitens,-99.28,20.26
nitens,-99.49,20.23
nitens,-98.51,19.63
nitens,-102.85,29.43
nitens,-100.44,20.7
nitens,-100.4,25.56
nitens,-99.53,20.02
nitens,-100.56,25.4
nitens,-100.81,25.13
nitens,-100.69,20.16
nitens,-99.39,20.21
nitens,-105.44,28.46
nitens,-98.93,19.85
nitens,-97.02,17.96
nitens,-102.68,22.9
nitens,-100.94,21.8
nitens,-97.58,18.33
nitens,-104.65,24.09
nitens,-102.4,27.36
nitens,-103.9,24.7
nitens,-101.21,30.7
nitens,-101.28,22.17
nitens,-102.89,22.65
nitens,-101.71,23.86
nitens,-98.83,19.75
nitens,-97.89,18.9
nitens,-104.82,31.9
nitens,-103.56,22.29
nitens,-99.87,20.69
nitens,-103.46,22.42
nitens,-102.61,20.81
nitens,-97.4,18.47
nitens,-102.35,20.71
nitens,-103.29,30.15
nitens,-103.96,26.57
nitens,-100.72,20.86
nitens,-103.28,24.73
nitens,-101.69,21.19
nitens,-100.27,24.11
nitens,-98.85,19.61
nitens,-106.14,27.88
nitens,-102.59,21.49
nitens,-100.96,22.05
nitens,-104.85,32.12
nitens,-101.01,21.08
nitens,-104.68,23.94
nitens,-100.51,21.18
nitens,-104.42,23.43
nitens,-104.75,31.98
nitens,-97.49,18.3
nitens,-104.47,32.11
nitens,-104.86,25.45
nitens,-100.26,20.47
nitens,-99.62,20.24
nitens,-98.09,19.02
nitens,-105.93,28.84
nitens,-103.28,22.28
nitens,-99.75,23.57
nitens,-100.74,21.61
nitens,-102.17,25.48
nitens,-99.55,20.53
nitens,-103.59,21.72
nitens,-98.88,20.01
nitens,-100.6,26.54
nitens,-100.11,20.67
nitens,-99.25,19.55
nitens,-101.93,21.95
nitens,-99.18,20.54
nitens,-101.5,24.15
nitens,-103.77,26.64
nitens,-104.95,25.7
nitens,-100.46,21.56
nitens,-101.16,21.09
nitens,-100.79,22.42
nitens,-105,25.47
nitens,-105.54,28.19
nitens,-99.09,19.89
nitens,-99.68,20.34
nitens,-103.76,24.39
nitens,-97.37,17.96
nitens,-103.04,23.83
nitens,-102.37,30.11
nitens,-102.72,25.24
nitens,-99.89,20.23
nitens,-103.73,25.07
nitens,-104.04,24.79
nitens,-102.12,23.88
nitens,-99.37,20.44
nitens,-100.62,20.82
nitens,-100.72,24.96
nitens,-100.95,25.47
nitens,-101.62,21.77
nitens,-101.54,30.61
nitens,-104.08,30.75
nitens,-97.43,18.37
nitens,-102.55,22.8
nitens,-104.95,25.39
nitens,-102.16,23.51
nitens,-100.81,23.02
nitens,-99.3,19.8
nitens,-102.29,20.92
nitens,-104.85,26
nitens,-102.17,21.73
nitens,-99.19,20.32
nitens,-102.42,22.79
nitens,-102.64,21.09
nitens,-98.99,19.78
nitens,-102.65,21.85
nitens,-104.21,29.8
nitens,-100.9,21.48
nitens,-101.86,24.63
nitens,-100.56,20.74
nitens,-101.84,21.88
nitens,-100.56,23.46
nitens,-100.84,25.24
nitens,-101.06,25.25
nitens,-102.96,29.18
nitens,-100.55,20.16
nitens,-100.85,23.73
nitens,-101.23,20.79
nitens,-103.1,22.61
nitens,-104.1,30.56
nitens,-97.97,18.85
nitens,-102.49,22.6
nitens,-101.08,22.22
nitens,-99.98,20.91
nitens,-103.64,23.51
nitens,-106.05,31.41
nitens,-102.52,21.78
nitens,-102.25,21.88
nitens,-103.27,25.05
nitens,-101.39,24.63
nitens,-103.67,30.36
nitens,-101.18,22.26
nitens,-101.65,24.62
nitens,-100.57,25.59
nitens,-100.71,20.4
nitens,-102.39,22.05
nitens,-98.68,19.92
nitens,-100.35,25.35
nitens,-99.85,23.5
nitens,-103.38,22.34
nitens,-99.36,19.92
nitens,-98.97,20.16
nitens,-100.76,23.83
nitens,-101.35,30.27
nitens,-99.05,19.98
nitens,-101.08,28.76
nitens,-100.86,21.89
nitens,-102.16,21.55
nitens,-97.34,18.32
nitens,-103.84,23.74
