assigned,longitude,latitude
lepida,-103.950611,30.394112
lepida,-103.81722,30.248466
lepida,-103.267218,30.036278
lepida,-116.837578,33.017864
lepida,-118.26424,33.75974
lepida,-118.1763283333,34.19157
lepida,-110.8089686939,32.6065917242
lepida,-109.4900694814,31.887426797
lepida,-110.8090383333,29.5898483333
lepida,-108.9513889,31.2602777
lepida,-111.735912,34.928081
lepida,-116.66246,32.753639
lepida,-109.5073783333,31.5921266667
lepida,-119.6851598344,34.9483922917
lepida,-110.6656753,30.8560862
lepida,-120.0342781068,34.7257207028
lepida,-115.9481666667,31.7169916667
lepida,-118.4620442434,35.8841886763
lepida,-118.5487520837,35.8244930453
lepida,-109.6801147222,29.8120765556
lepida,-110.9906433906,27.9372746003
lepida,-110.7383466667,32.4289566667
lepida,-122.2033388387,40.1562316621
lepida,-121.5441412183,39.5268992514
lepida,-116.1639339438,32.2103298817
lepida,-114.551567,36.4176075
lepida,-110.6553594,31.6795337
lepida,-110.8956774088,27.8918822314
lepida,-121.3396165683,37.7944231861
lepida,-120.9383226649,37.7445796115
lepida,-122.53693813,39.6048237312
lepida,-116.933438445,33.2216544717
lepida,-113.4937230492,35.1786009147
lepida,-111.1145898652,33.6512004654
lepida,-109.9972683191,23.0710747871
lepida,-116.9325408,36.5322649
lepida,-118.9740121508,36.5892764215
lepida,-111.9307469,34.1683017
lepida,-116.1355978366,31.4005192735
lepida,-117.579441822,33.751107269
lepida,-117.9171903948,33.895627038
lepida,-115.6170116667,33.1766383333
lepida,-111.1054685227,32.4568356197
lepida,-116.6921163088,37.07363065
lepida,-113.4295168239,34.4920730095
lepida,-115.8629909674,35.7781505611
lepida,-121.1915916667,38.66965
lepida,-118.8118966667,34.0307666667
lepida,-116.8052270035,34.9172481787
lepida,-115.0709513076,31.0378267462
lepida,-115.7242117078,36.5749401693
lepida,-107.6190580598,32.1473099431
lepida,-117.6890743477,33.8695003776
lepida,-103.1794873701,29.4001287934
lepida,-117.2443302343,32.7145107912
lepida,-111.2392871,33.4782016
lepida,-117.9747833333,35.3654866667
lepida,-121.5965588385,37.6393181624
lepida,-110.8221466667,32.30987
lepida,-118.0429466667,34.0335433333
lepida,-121.1826907239,37.7008353511
lepida,-116.6754185452,32.979162036
lepida,-113.9501151,33.6628092
lepida,-117.9125101416,34.5018458078
lepida,-118.4737061585,34.1776261132
lepida,-121.6927160474,38.319195225
lepida,-120.4226027778,37.3759888889
lepida,-116.1110316667,31.8853116667
lepida,-121.0244767398,38.9283124759
lepida,-110.649909326,32.7419649414
lepida,-113.0204075266,31.9433993532
lepida,-112.5772,28.70123
lepida,-111.7880621177,33.6544691023
lepida,-110.0974199722,24.007339
lepida,-109.8223310057,23.5495255551
lepida,-109.7762925478,23.363451174
lepida,-118.8028333333,34.1800466667
lepida,-116.0841666667,33.9397666667
lepida,-102.8476667449,29.4327107821
lepida,-110.3662430556,29.1115261111
lepida,-110.7692561387,31.4154339274
lepida,-122.158162,37.927425
lepida,-116.5682800675,34.0519246011
lepida,-117.2015216667,33.88725
lepida,-113.1629253995,31.3891855554
lepida,-114.6993452117,35.8988451346
lepida,-112.4925421815,26.9918114858
lepida,-112.7988166518,26.8249298259
lepida,-112.323294665,27.0065831468
lepida,-111.89929757,25.97925469
lepida,-111.5424993,25.82162288
lepida,-115.4134755475,31.2921436
lepida,-122.0287349448,38.2827692647
lepida,-112.1611152962,29.0439815599
lepida,-117.006951396,32.7408966581
lepida,-117.079107795,34.1965290837
lepida,-120.3205533333,37.522635
lepida,-117.2322277352,33.2018750951
lepida,-118.8653092407,35.4400398199
lepida,-119.3481998566,34.4252461197
lepida,-113.252601255,32.510727021
lepida,-110.6830317853,32.2456800806
lepida,-115.7719448104,33.9983217586
lepida,-115.901231945,33.5796702783
lepida,-110.1624,32.0028638833
lepida,-118.5975945737,34.0226879878
lepida,-110.103062987,23.8021207007
lepida,-113.9262852972,36.8899071726
lepida,-115.7249338997,33.6875461997
lepida,-110.213165,31.879661
lepida,-116.1932901032,32.6182957534
lepida,-117.3597168873,33.3558106666
lepida,-120.9410301223,35.8098915782
lepida,-122.6348166249,38.0080639867
lepida,-109.6118790096,29.6975282886
lepida,-113.3236680056,31.3498070716
lepida,-122.0857510755,38.5142592914
lepida,-111.4770666667,33.3417033333
lepida,-112.7726666667,32.0902333333
lepida,-116.430130046,33.2451001738
lepida,-112.0606916667,26.9878283333
lepida,-116.201188,35.79207
lepida,-111.2325546942,32.4162153408
lepida,-121.2128661598,37.0494591504
lepida,-110.6944316264,32.0636060799
lepida,-120.2804392576,34.7310111523
lepida,-115.435395418,35.1316100113
lepida,-118.4700758593,34.7055769823
lepida,-119.9614416667,34.608555
lepida,-114.3485683,34.474961
lepida,-111.1467872436,32.540676573
lepida,-117.1595,34.089775
lepida,-116.2135959722,33.0002539722
lepida,-118.4708333333,32.905475
lepida,-111.1647687415,32.3186135868
lepida,-115.7953654397,33.8393146798
lepida,-114.37293,32.61848
lepida,-117.2667383333,33.67403
lepida,-109.9980555556,24.0852083333
lepida,-112.2390615513,33.1723761965
lepida,-117.8417193362,33.6625352362
lepida,-117.481052,34.234303
lepida,-115.3066987172,32.4669939024
lepida,-111.7744605,33.5091
lepida,-113.6939665,32.2783044
lepida,-114.7619431779,32.4987716841
lepida,-120.8162116667,36.58812
lepida,-111.022594,32.279784
lepida,-109.5860079,30.7212142
lepida,-111.5279219,30.3968172
lepida,-110.3859913,29.4260093
lepida,-120.9737343717,38.6928596114
lepida,-107.6213411998,32.9189538847
lepida,-109.7842764426,23.1370452341
lepida,-116.27989351,34.08636499
lepida,-118.671237,35.044792
lepida,-109.7021456916,32.8478719263
lepida,-111.3565063477,31.9927800165
lepida,-114.768326949,31.9701634026
lepida,-117.2793893461,34.5144537335
lepida,-119.8158225113,34.4444802589
lepida,-110.4116143645,24.029169728
lepida,-111.77174,34.6741433333
lepida,-121.8233506149,37.520770442
lepida,-116.468055,34.24297
lepida,-111.1462678523,30.3295953659
lepida,-110.7189427441,32.3376806425
lepida,-119.096183,36.41341
lepida,-111.1175063347,30.1714352444
lepida,-117.4449069218,33.646106176
lepida,-120.4939507603,37.6463209301
lepida,-113.9403031186,37.1526035143
lepida,-115.1900834,36.1700176
lepida,-111.1773744691,31.6694075671
lepida,-117.9855549133,34.3511311161
lepida,-121.8349813255,39.7524192361
lepida,-111.9553828381,33.8842427674
lepida,-116.738367,35.5135783
lepida,-111.1132919,28.9177365
lepida,-114.0254371235,32.7010280813
lepida,-113.4859777778,34.0393416667
lepida,-119.8293395713,37.4217389979
lepida,-120.7940388915,35.6665306749
lepida,-121.5418951111,37.1861239203
lepida,-121.3081282487,38.6154069484
lepida,-121.6386553581,39.4355962825
lepida,-116.8430555556,33.7408333333
lepida,-117.7079383454,34.1439765523
lepida,-103.2863151923,30.1519397391
lepida,-110.582283439,28.8002168136
lepida,-123.0852910263,39.0220911434
lepida,-121.266729725,39.3391981142
lepida,-112.2386939867,27.0630179713
lepida,-122.4286881848,37.8057646424
lepida,-117.1638186614,34.2678966196
lepida,-121.962978274,38.5222161842
lepida,-115.4006528109,34.0886159404
lepida,-121.7550326905,36.6591531077
lepida,-114.030317,35.2706305
lepida,-110.9613283333,32.4511216667
lepida,-108.82196,31.71978
lepida,-115.4853119722,33.2469699722
lepida,-114.1922493505,37.0595150949
lepida,-114.0595221991,37.0319679859
lepida,-114.0912861785,37.1987574792
lepida,-116.3668004363,32.449289365
lepida,-118.1128293136,35.6358000274
lepida,-115.8100753426,32.0892312874
lepida,-118.9328769,34.5286023
lepida,-119.506195,34.4891866667
lepida,-118.0901948001,37.3307328315
lepida,-109.049263546,31.8454344983
lepida,-111.0161969294,31.7951999647
lepida,-109.6971934972,23.6903275122
lepida,-110.2021879109,23.8776085179
lepida,-119.9024043605,38.5174131768
lepida,-117.8136578539,33.5658153376
lepida,-109.735221535,23.2366132594
lepida,-115.188916,36.788653
lepida,-112.3070722222,34.6034277778
lepida,-110.4403086978,32.8984301667
lepida,-110.4804436723,31.5458638841
lepida,-103.1371879578,29.2712850825
lepida,-115.9020521182,32.4488982389
lepida,-117.0432182992,32.8401553941
lepida,-113.0483923949,26.9213843657
lepida,-109.9943262711,23.9856035004
lepida,-115.2232750455,36.4370121747
lepida,-111.2663105343,31.5266340228
lepida,-111.7657886663,34.8063235244
lepida,-116.6329902295,32.8414394398
lepida,-110.4383153468,24.1185945584
lepida,-109.5212783333,31.3430216667
lepida,-117.2538716526,33.5627139003
lepida,-120.6884383333,35.613595
lepida,-116.9536471625,33.0355248123
lepida,-117.8665635435,34.155853367
lepida,-115.6318369288,34.8098230027
lepida,-121.3728406467,37.42034991
lepida,-118.3067235098,34.2149088255
lepida,-117.5732193366,34.1833728887
lepida,-117.6833040546,33.6958416293
lepida,-103.2501636,29.2498194
lepida,-116.860072312,32.6802633415
lepida,-115.6743696426,34.705288061
lepida,-115.8214677778,33.7467641667
lepida,-122.3964705946,39.0250160858
lepida,-112.5687001091,30.7323037199
lepida,-118.0562327432,34.1743347082
lepida,-116.3492087716,33.9697733847
lepida,-116.4788818359,36.4056816093
lepida,-118.4349214363,34.3776375864
lepida,-117.3210127305,34.1865733521
lepida,-111.5979,33.4443666667
lepida,-114.30913,36.24587
lepida,-114.1532991079,35.9627795494
lepida,-116.3217429091,31.8882845017
lepida,-111.4545724913,31.7895219587
lepida,-116.9828294095,33.4721262843
lepida,-109.2939032,26.7148445419
lepida,-111.8945251016,34.765045503
lepida,-109.0733842896,30.7605611645
lepida,-110.2435416667,23.4589333333
lepida,-121.4196921005,37.1508470809
lepida,-116.455139,34.149248
lepida,-119.92275278,34.46341667
lepida,-110.3489093572,31.9625775504
lepida,-114.7107125206,36.7125670158
lepida,-111.4830889016,33.4640273903
lepida,-111.1590358099,33.2800525205
lepida,-114.9979657307,36.0912208857
lepida,-116.9538076,33.9801175997
lepida,-109.8707317561,27.5109221489
lepida,-112.4552035608,33.5158678361
lepida,-112.0031194444,33.56135
lepida,-121.0590538361,36.4522234479
lepida,-112.1897329577,33.6893281387
lepida,-116.0636771446,32.524199317
lepida,-111.9458717617,33.4620760483
lepida,-119.1326616667,35.3111983333
lepida,-116.1155252668,33.0688951343
lepida,-113.1574525334,27.8903537594
lepida,-121.866889775,37.9578126661
lepida,-116.4725308562,33.7842302104
lepida,-122.2042383333,39.0016866667
lepida,-116.810155,32.1070316667
lepida,-120.0206916667,37.401725
lepida,-120.8049086854,36.1857272137
lepida,-114.1952583333,33.0305111111
lepida,-120.6158925,37.1711162
lepida,-116.7024803162,34.0211281999
lepida,-110.1551656917,23.5166973438
lepida,-107.213419552,33.1470332267
lepida,-120.544374069,35.6362627527
lepida,-117.4216208607,34.4191466188
lepida,-114.5365905762,36.5074285418
lepida,-110.9704536539,33.8570838215
lepida,-111.8955677215,33.5418266545
lepida,-114.6011,35.67674
lepida,-112.2707883333,33.3887333333
lepida,-115.5249685049,32.6718329761
lepida,-119.8556715623,35.1167500985
lepida,-115.8997937642,33.971561735
lepida,-114.4288382065,36.3901315884
lepida,-110.3218304506,27.5569263106
lepida,-111.0448131,31.6898106
lepida,-116.4203883333,33.6097416667
lepida,-112.5321824891,32.8400127057
lepida,-121.100085,36.663625
lepida,-111.1538303258,31.3391263755
lepida,-112.0919557979,33.8680756549
lepida,-112.0920569031,33.7438516024
