assigned,longitude,latitude
lepida,-112.24,33.17
lepida,-117.27,33.67
lepida,-117.04,32.84
lepida,-118.67,34.45
lepida,-114.49,33
lepida,-118.11,34.34
lepida,-118.86,35.44
lepida,-119.96,34.61
lepida,-111.23,32.42
lepida,-120.28,34.73
lepida,-116.17,32.75
lepida,-115.93,33.59
lepida,-110.16,32
lepida,-116.31,33.84
lepida,-116.44,33.24
lepida,-111.16,33.28
lepida,-115.77,34
lepida,-113.25,32.51
lepida,-118.75,34.62
lepida,-117.08,34.2
lepida,-111.45,31.79
lepida,-116.22,32.86
lepida,-111.54,33.6
lepida,-116.08,33.94
lepida,-115.6,34.79
lepida,-121.02,38.93
lepida,-121.69,38.32
lepida,-118.96,34.15
lepida,-117.21,33.11
lepida,-110.94,31.67
lepida,-117.77,33.8
lepida,-115.62,33.18
lepida,-112.7,33.93
lepida,-116.77,32.6
lepida,-116.14,31.4
lepida,-117.28,33.44
lepida,-118.97,36.59
lepida,-118.43,34.38
lepida,-111.74,34.93
lepida,-118.55,35.82
lepida,-110.72,32.24
lepida,-109.51,31.59
lepida,-109.49,31.89
lepida,-116.95,33.04
lepida,-110.81,32.61
lepida,-121.87,38.69
lepida,-115.4,35.04
lepida,-113.93,33.47
lepida,-110.81,31.6
lepida,-111.15,32.18
lepida,-119.81,34.43
lepida,-110.86,31.5
lepida,-112.93,32.03
lepida,-117.17,34.26
lepida,-121.97,38.52
lepida,-118.42,35.75
lepida,-119.95,34.72
lepida,-112.86,32.45
lepida,-111.11,32.38
lepida,-119.34,36.83
lepida,-118.94,36.27
lepida,-111.73,33.36
lepida,-120.73,35.56
lepida,-117.84,34.47
lepida,-112.78,33.27
lepida,-110.75,32.96
lepida,-112.95,32.31
lepida,-110.3,32.19
lepida,-112.85,32.22
lepida,-110.64,31.78
lepida,-110.85,31.38
lepida,-116.02,34.02
lepida,-111.4,32.57
lepida,-116.18,34.04
lepida,-110.99,31.96
lepida,-113.37,34.71
lepida,-112.32,33.93
lepida,-111.66,33.55
lepida,-110.37,31.54
lepida,-110.25,31.56
lepida,-108.6,32.81
lepida,-117.76,34
lepida,-121.02,38.75
lepida,-116.99,33.61
lepida,-112.49,34.53
lepida,-116.69,33.67
lepida,-116.86,33.43
lepida,-112.04,33.54
lepida,-112.15,33.82
lepida,-120.87,35.46
lepida,-110.81,32.19
lepida,-111.29,32.61
lepida,-122.42,38.63
lepida,-119,34.8
lepida,-115.79,32.15
lepida,-116.96,33.86
lepida,-111.33,31.82
lepida,-109.76,32.7
lepida,-119.89,34.98
lepida,-112.23,32.74
lepida,-117.27,34.51
lepida,-111.43,31.66
lepida,-110.92,32.59
lepida,-111.78,34.78
lepida,-114.3,32.69
lepida,-117.38,33.93
lepida,-121.86,38.55
lepida,-116.59,33.52
lepida,-116.94,32.5
lepida,-111.67,33.73
lepida,-111.51,31.59
lepida,-117.69,35.64
lepida,-117.17,33.37
lepida,-117.78,34.39
lepida,-120.28,35.42
lepida,-116.98,34.67
lepida,-116.44,32.98
lepida,-111.45,33.36
lepida,-112.22,32.17
lepida,-112.78,32.38
lepida,-119.8,35.34
lepida,-111.02,31.83
lepida,-121.19,38.16
lepida,-113.35,32.8
lepida,-114.16,33.24
lepida,-109.97,33.01
lepida,-111.29,33.86
lepida,-114.65,34.44
lepida,-110.94,31.56
lepida,-110.13,31.54
lepida,-110.44,33.16
lepida,-110.89,31.76
lepida,-120.49,35.33
lepida,-112.61,33.86
lepida,-111.2,33.72
lepida,-107.92,32.59
lepida,-116.81,32.1
lepida,-117.25,33.56
lepida,-110,31.57
lepida,-119.33,36.67
lepida,-114.1,32.51
lepida,-112.89,32.92
lepida,-111.59,32.68
lepida,-114.19,33.38
lepida,-116.93,34.18
lepida,-121.13,38.46
lepida,-108.38,32.5
lepida,-121.16,38.75
lepida,-116.45,33.93
lepida,-118.11,34.47
lepida,-119.26,34.87
lepida,-114.53,33.67
lepida,-115.78,33.84
lepida,-108,32.88
lepida,-111.34,32.23
lepida,-109.7,31.55
lepida,-121.2,39.13
lepida,-109.86,32.81
lepida,-112.3,33.47
lepida,-115.81,35.16
lepida,-119.79,34.55
lepida,-112.82,31.89
lepida,-110.72,31.43
lepida,-116.46,33.77
lepida,-109.88,33.06
lepida,-111.82,33.88
lepida,-121.3,38.94
lepida,-120.5,35.47
lepida,-114.32,34.09
lepida,-113.35,33.58
lepida,-111.5,32.62
lepida,-111.47,33.87
lepida,-118.9,35.99
lepida,-110.92,32.42
lepida,-111.85,34.91
lepida,-111.63,32.02
lepida,-118.11,35.75
lepida,-114.18,34.61
lepida,-111.93,33.79
lepida,-111.74,32.5
lepida,-122.27,38.91
lepida,-111.34,34.23
lepida,-118.76,35.86
lepida,-116.28,33.31
lepida,-114.02,33.42
lepida,-114.08,33.51
lepida,-111.72,33.96
lepida,-120.69,35.27
lepida,-112.02,34.74
lepida,-111.05,33.42
lepida,-109.32,31.97
lepida,-121.36,38.45
lepida,-116.56,33.84
lepida,-111.02,31.73
lepida,-110,33.21
lepida,-113.12,34.31
lepida,-110.61,32.85
lepida,-121.95,37.78
lepida,-118.86,36.47
lepida,-110.49,32.12
lepida,-114.22,34.21
lepida,-114.53,33.57
lepida,-117.83,34.31
lepida,-110.79,31.99
lepida,-117.68,33.52
lepida,-111.67,32.58
lepida,-112.97,32.98
lepida,-109.1,32.72
lepida,-115.55,32.97
lepida,-108.3,32.71
lepida,-118.65,35.04
lepida,-112.53,32.84
lepida,-115.9,33.97
lepida,-118.44,34.28
lepida,-117.42,34.42
lepida,-113.08,33.62
lepida,-117.91,33.86
lepida,-121.75,38.52
lepida,-112.41,33.66
lepida,-113.33,33.39
lepida,-120.09,35.53
lepida,-111,33.6
lepida,-110.22,32.86
lepida,-118.69,34.75
lepida,-121.8,37.82
lepida,-110.21,33.4
lepida,-110.32,33.36
lepida,-109.19,32.01
lepida,-111.95,33.9
lepida,-108.15,32.79
lepida,-111.46,34.39
lepida,-111,33.34
lepida,-118.47,34.18
lepida,-122.16,37.93
lepida,-116.44,33.6
lepida,-110.78,31.8
lepida,-110.67,30.86
lepida,-115.95,31.72
lepida,-118.42,35.9
lepida,-110.74,32.43
lepida,-120.66,35.46
lepida,-116.16,32.21
lepida,-117.27,33.98
lepida,-115.51,33.53
lepida,-110.66,31.68
lepida,-117.6,33.84
lepida,-117.7,33.7
lepida,-121.34,37.79
lepida,-116.93,33.22
lepida,-111.11,33.65
lepida,-118.62,34.26
lepida,-116.93,36.53
lepida,-118.72,34.1
lepida,-111.93,34.17
lepida,-117.58,33.75
lepida,-116.84,33.74
lepida,-116.67,32.75
lepida,-112.71,32.07
lepida,-117.18,33.25
lepida,-111.05,31.59
lepida,-111.09,32.28
lepida,-116.71,37.03
lepida,-113.43,34.49
lepida,-118.81,34.03
lepida,-116.81,34.92
lepida,-115.07,31.04
lepida,-111.24,33.48
lepida,-117.97,35.37
lepida,-112.77,33.38
lepida,-116.68,32.98
lepida,-116.46,34.15
lepida,-116.61,31.9
lepida,-116.11,31.89
lepida,-118.31,34.21
lepida,-116.3,32.95
lepida,-110.65,32.74
lepida,-113.02,31.94
lepida,-112.03,33.83
lepida,-118.8,34.18
lepida,-117.07,33.09
lepida,-116.28,34.11
lepida,-111.95,33.46
lepida,-113.16,31.39
lepida,-121.87,37.96
lepida,-117.09,33.51
lepida,-118.28,33.74
lepida,-111.81,33.6
lepida,-116.3,33.1
lepida,-115.41,31.29
lepida,-122.03,38.28
lepida,-112.52,33.6
lepida,-116.92,32.86
lepida,-111.21,32.26
lepida,-115.46,32.59
lepida,-114.76,32.5
lepida,-118.6,34.02
lepida,-110.21,31.87
lepida,-117.36,33.36
lepida,-117.8,34.09
lepida,-113.32,31.35
lepida,-119.28,34.35
lepida,-112.14,33.91
lepida,-118.47,34.71
lepida,-117.38,33.27
lepida,-117.3,33.2
lepida,-118.95,34.24
lepida,-121.35,38.57
lepida,-116.21,33
lepida,-118.37,34.01
lepida,-118.47,32.91
lepida,-114.37,32.62
lepida,-115.31,32.47
lepida,-111.77,33.51
lepida,-113.69,32.28
lepida,-111.8,33.79
lepida,-111.18,33.81
lepida,-110.49,32.9
lepida,-111.36,31.99
lepida,-111.77,34.67
lepida,-111.92,33.7
lepida,-119.1,36.41
lepida,-116.47,33.1
lepida,-116.74,35.51
lepida,-110.62,32.3
lepida,-114.03,32.7
lepida,-113.49,34.04
lepida,-121.57,38.47
lepida,-117.67,34.08
lepida,-111.04,32.15
lepida,-110.97,32.34
lepida,-122.43,37.81
lepida,-115.4,34.09
lepida,-115.93,33.86
lepida,-115.49,33.25
lepida,-116.56,33.27
lepida,-116.37,32.45
lepida,-111.16,31.75
lepida,-118.11,35.64
lepida,-118.93,34.53
lepida,-119.51,34.49
lepida,-116.55,33.16
lepida,-117.81,33.57
lepida,-112.31,34.6
lepida,-118.55,34.34
lepida,-118.06,36.56
lepida,-115.9,32.45
lepida,-117.25,32.71
lepida,-119,35.41
lepida,-116.85,32.68
lepida,-119.29,34.46
lepida,-115.67,34.71
lepida,-115.82,33.74
lepida,-122.4,39.03
lepida,-116.35,33.97
lepida,-111.6,33.45
lepida,-116.32,31.89
lepida,-116.23,33.96
lepida,-116.11,35.14
lepida,-116.98,33.47
lepida,-111.35,33.4
lepida,-119.92,34.46
lepida,-116.55,34.22
lepida,-116.95,33.98
lepida,-112.88,33.71
lepida,-112.46,33.52
lepida,-112.37,33.38
lepida,-112.19,33.69
lepida,-116.06,32.52
lepida,-110.38,32.87
lepida,-116.3,32.67
lepida,-119.13,35.31
lepida,-116.12,33.07
lepida,-122.2,39
lepida,-115.83,33.33
lepida,-122.19,38.51
lepida,-120.54,35.64
lepida,-110.97,33.86
lepida,-111.9,33.54
lepida,-116.55,33.97
lepida,-119.86,35.12
lepida,-118.39,33.74
lepida,-110.74,32.34
lepida,-117.18,33.87
lepida,-121.92,37.87
lepida,-112.33,32.78
lepida,-116.56,32.72
lepida,-111.15,31.34
lepida,-112.09,33.74
lepida,-115.63,33.86
lepida,-118.11,34.25
lepida,-118.31,35.67
lepida,-116.52,34.07
lepida,-114.05,33.64
lepida,-114.47,32.48
lepida,-110.93,31.88
lepida,-111.63,33.86
lepida,-117.18,32.91
lepida,-115.62,33.97
lepida,-115.45,35.27
lepida,-112.36,33.07
lepida,-118.55,33
lepida,-108.73,32.7
lepida,-121.52,38.6
lepida,-110.74,31.53
lepida,-116.45,33.38
lepida,-111.48,33.47
lepida,-120.08,34.62
lepida,-115.65,32.88
lepida,-116.85,36.45
lepida,-119.17,36.33
lepida,-121.03,38.23
lepida,-118.25,34.08
lepida,-118.53,35.72
lepida,-118.18,33.9
lepida,-118.58,35.12
lepida,-118.46,35.03
lepida,-112.33,33.75
lepida,-116.64,32.44
lepida,-116.64,32.6
lepida,-118.09,33.83
lepida,-118.32,34.59
lepida,-109.97,31.93
