"name"	"longitude"	"latitude"	"subspecies"	"lepida"	"nitens"	"numSubsppGroups"	"assigned"
"Phainopepla nitens (Swainson, 1838)"	-122.64	38.94	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-97.31	17.43	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-122.61	38.92	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-122.66	39.02	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-122.92	39.06	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-122.65	38.96	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-122.54	39.38	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-122.62	38.92	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-122.54	39.36	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-122.64	38.95	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-122.61	39.01	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-122.68	39.04	"unknown"	0	0	0	"none"
"Phainopepla nitens"	-122.54	39.6	"unknown"	0	0	0	"none"
"Phainopepla nitens"	-122.61	38.92	"unknown"	0	0	0	"none"
"Phainopepla nitens"	-97.31	17.43	"unknown"	0	0	0	"none"
"Phainopepla nitens"	-122.54	38.04	"unknown"	0	0	0	"none"
"Phainopepla nitens"	-122.63	38.01	"unknown"	0	0	0	"none"
"Phainopepla nitens"	-122.64	38.94	"unknown"	0	0	0	"none"
"Phainopepla nitens"	-91.92	46.88	"unknown"	0	0	0	"none"
"Phainopepla nitens"	-91.88	46.83	"unknown"	0	0	0	"none"
"Phainopepla nitens"	-123.09	39.02	"unknown"	0	0	0	"none"
"Phainopepla nitens"	-79.71	43.71	"unknown"	0	0	0	"none"
"Phainopepla nitens"	-107.78	51.64	"unknown"	0	0	0	"none"
"Phainopepla nitens"	-122.62	38.92	"unknown"	0	0	0	"none"
"Phainopepla nitens"	-107.75	51.62	"unknown"	0	0	0	"none"
"Phainopepla nitens"	-107.85	51.62	"unknown"	0	0	0	"none"
"Phainopepla nitens"	-122.8	42.47	"unknown"	0	0	0	"none"
"Phainopepla nitens"	-97.34	17.29	"unknown"	0	0	0	"none"
"Phainopepla nitens"	-122.66	39.02	"unknown"	0	0	0	"none"
"Phainopepla nitens"	-123.16	48.09	"unknown"	0	0	0	"none"
"Phainopepla nitens"	-123.19	39.15	"unknown"	0	0	0	"none"
"Phainopepla nitens"	-96.3	16.91	"unknown"	0	0	0	"none"
"Phainopepla nitens lepida"	-123.97	40.86	"unknown"	0	0	0	"none"
"Phainopepla nitens"	-71.52	41.17	"unknown"	0	0	0	"none"
"Phainopepla nitens lepida Van Tyne, 1925"	-122.95	40.95	"lepida"	0	0	0	"none"
"Phainopepla nitens lepida Van Tyne, 1925"	-123.97	40.86	"lepida"	0	0	0	"none"
