"name"	"longitude"	"latitude"	"subspecies"	"lepida"	"nitens"	"numSubsppGroups"	"assigned"
"Phainopepla nitens (Swainson, 1838)"	-118.381561	34.01569	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-102.6	22.7	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-115.449929	36.164172	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-115.419534	36.146686	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-110.919268	32.270026	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-116.06145	33.996958	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-114.664957	33.316421	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-118.21097	34.201712	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-105.488373	28.257472	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-111.799042	34.873593	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-110.870387	32.260141	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-116.567494	34.052632	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-116.567883	34.050535	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-120.816212	36.58812	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-116.37542	33.698037	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-116.437692	33.678805	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-118.212243	34.20175	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-120.829372	36.575919	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-111.19718	32.253792	"unknown"	0	0	0	"none"
"Phainopepla nitens (Swainson, 1838)"	-114.761943	32.498772	"unknown"	0	0	0	"none"
