"name"	"longitude"	"latitude"	"subspecies"	"curtata"	"melanura"	"numSubsppGroups"	"assigned"
"Polioptila melanura Lawrence, 1857"	-110.95	29.15	"unknown"	1	0	1	"curtata"
"Polioptila melanura Lawrence, 1857"	-111.06	29.04	"unknown"	1	0	1	"curtata"
"Polioptila melanura Lawrence, 1857"	-110.88	29.18	"unknown"	1	0	1	"curtata"
"Polioptila melanura Lawrence, 1857"	-111.07	29.04	"unknown"	1	0	1	"curtata"
"Polioptila melanura Lawrence, 1857"	-110.91	29.07	"unknown"	1	0	1	"curtata"
"Polioptila melanura Lawrence, 1857"	-110.95	29.01	"unknown"	1	0	1	"curtata"
"Polioptila melanura Lawrence, 1857"	-111.02	29.06	"unknown"	1	0	1	"curtata"
"Polioptila melanura Lawrence, 1857"	-111.07	29.06	"unknown"	1	0	1	"curtata"
"Polioptila melanura Lawrence, 1857"	-112.17	29.03	"unknown"	1	0	1	"curtata"
"Polioptila melanura Lawrence, 1857"	-109.87	29.41	"unknown"	1	0	1	"curtata"
"Polioptila melanura Lawrence, 1857"	-110.75	28.88	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.81	29.59	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.91	29.06	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.54	28.4	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-111.06	29.06	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-111.07	29.04	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.95	29.15	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-111.07	29.02	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.97	28.98	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.58	28.8	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-111.2	28.99	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.95	29.02	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-111.17	28.88	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-111.06	29.04	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.96	29.16	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.88	29.18	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.96	29.15	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-111.06	29.08	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.93	29.13	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.94	29.13	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-111.04	29	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.92	29.06	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-111.05	28.46	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.85	29.13	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.93	29.07	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-111.15	29.03	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.93	29.06	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.94	29.05	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.99	29.02	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-111.08	29.01	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-111.03	29.06	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.93	29.05	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.95	29.01	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-111.01	28.99	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.92	29.05	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.94	29.15	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.97	29.06	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.62	29.3	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.95	29.09	"unknown"	1	0	1	"curtata"
"Polioptila melanura curtata"	-112.15	28.99	"unknown"	1	0	1	"curtata"
"Polioptila melanura lucida"	-111.79	29.1	"unknown"	1	0	1	"curtata"
"Polioptila melanura lucida"	-111.94	28.83	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-111.94	28.83	"unknown"	1	0	1	"curtata"
"Polioptila melanura lucida"	-110.58	28.62	"unknown"	1	0	1	"curtata"
"Polioptila melanura lucida"	-109.72	28.58	"unknown"	1	0	1	"curtata"
"Polioptila melanura lucida"	-110.9	29.38	"unknown"	1	0	1	"curtata"
"Polioptila melanura lucida"	-110.97	29.07	"unknown"	1	0	1	"curtata"
"Polioptila melanura"	-110.98	29.4	"unknown"	1	0	1	"curtata"
"Polioptila melanura curtata van Rossem, 1932"	-112.29	29.02	"curtata"	1	0	1	"curtata"
"Polioptila melanura curtata van Rossem, 1932"	-112.21	28.97	"curtata"	1	0	1	"curtata"
"Polioptila melanura curtata van Rossem, 1932"	-112.15	28.99	"curtata"	1	0	1	"curtata"
"Polioptila melanura curtata"	-112.15	28.99	"curtata"	1	0	1	"curtata"
