"name"	"longitude"	"latitude"	"subspecies"	"curtata"	"melanura"	"lucida"	"numSubsppGroups"	"assigned"
"Polioptila melanura Lawrence, 1857"	-115.01	36.08	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115	36.08	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.77	32.09	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.01	36.09	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.1	36.28	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.81	31.94	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.73	32.07	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.72	32.07	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.27	35.97	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.8	31.94	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.58	28.7	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.52	31.59	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-113.53	31.33	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.13	31.92	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.71	32.01	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.2	35.8	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.17	31.93	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.81	31.96	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.36	36.44	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.09	31.89	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.13	31.91	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.74	32.47	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.02	36.1	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-113.6	37.08	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.14	31.91	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.18	31.93	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.46	37.29	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.06	31.82	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.74	32	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.15	31.91	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-107.21	33.23	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.12	31.9	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.11	31.9	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.27	36.32	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.07	31.88	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.11	36.07	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.71	32.02	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115	36.07	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-113.03	32.02	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-113.04	32.02	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.72	36.72	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.58	36.66	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.98	36.09	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-113.02	32.04	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-107.3	32.89	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-108.82	31.72	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-107.3	32.86	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-108.89	31.78	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.99	36.09	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-107.35	32.9	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.85	31.94	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.83	31.98	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.46	36.07	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.84	36.12	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-113.02	31.94	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.48	36.63	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-108.83	31.81	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.85	32.22	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.12	36.06	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-108.6	32.81	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.79	32.15	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.74	32.32	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.07	36.04	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.42	36.51	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.84	31.93	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.27	35.98	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.05	36.04	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.49	31.78	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.26	36.32	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.98	34.67	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.07	28	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.04	32.06	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.28	31.34	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-107.08	32.65	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.32	36.16	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.57	31.69	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-107.33	32.73	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-104.44	24.24	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.45	31.94	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.08	31.87	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.8	31.95	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-113.98	37.11	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.56	32.36	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.51	31.59	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.26	31.36	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.05	27.96	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.07	27.97	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.95	36.19	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.74	32.62	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.16	31.68	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.59	32.34	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.19	35.8	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.61	32.17	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.55	32.43	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.9	36.12	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-107.57	32.92	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.03	36.12	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-105.26	20.68	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-108.41	31.86	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.06	31.81	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.02	36.09	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.46	35.6	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111	27.96	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-108.98	31.73	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.03	36.1	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.59	32.33	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.79	31.96	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.99	36.2	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-105.23	20.65	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.72	32.04	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-109.21	32.04	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.74	32.33	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-113.64	31.34	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.69	36.39	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.93	32.03	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.6	32.34	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.31	36.21	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.71	36.71	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-108.97	32.1	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-107.31	32.91	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.91	32.26	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.43	36.16	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.85	31.95	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.69	32.01	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.9	32.45	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.76	30.88	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.32	36.41	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.75	32.35	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.45	36.12	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-107.31	32.87	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-106.89	33.82	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.86	36.12	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.26	35.62	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.48	36.12	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.7	30.62	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.75	31.95	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.72	31.93	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.73	31.93	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.76	31.96	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.73	31.94	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.74	31.94	"unknown"	0	0	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.02	32.01	"unknown"	0	0	0	0	"none"
