"name"	"longitude"	"latitude"	"subspecies"	"curtata"	"numSubsppGroups"	"assigned"
"Polioptila melanura Lawrence, 1857"	-110.86	32.33	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.03	32.28	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.62	33.18	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.99	32.45	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.46	32.59	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.37	32.61	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.95	32.29	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.98	33.37	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.34	33.94	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-103.95	25.27	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.72	33.7	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.93	32.28	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.57	34.05	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.06	33.34	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.67	34.01	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.02	32.28	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.41	33.26	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.41	33.67	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.47	32.59	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-102.92	29.2	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.81	32.17	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.28	33.64	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.47	33.41	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.51	33.17	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-100.45	25.65	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.39	33.34	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.01	36.08	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.42	33.27	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.99	33.36	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-99.56	27.62	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.74	33.36	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.31	33.21	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-100.61	26.51	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.95	29.15	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-100.53	25.87	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.31	33.84	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.47	32.99	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.84	33.76	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.16	33.98	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.43	33.28	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-104.33	29.54	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.85	32.26	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115	36.08	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.98	33.66	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.77	32.09	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-105.47	28.26	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.77	33.24	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.3	33.34	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.28	33.63	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.2	32.25	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.05	32.22	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.01	36.09	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.1	36.28	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.25	33.16	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.39	33.14	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-100.52	26.51	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.93	33.24	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-105.43	28.29	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.07	33.42	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.3	32.95	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.98	32.3	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.65	33.96	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.56	33.85	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.14	32.39	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.43	33.11	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.42	33.74	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.81	31.94	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.65	33.98	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.69	32.22	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.73	32.07	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.81	33.72	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.16	33.74	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.38	33.14	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.31	33.38	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.82	33.83	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.65	33.18	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.72	32.07	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.56	33.81	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.98	32.34	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-104.03	29.33	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.35	33.77	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.48	33.46	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.61	34	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-116.27	35.97	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.06	33.42	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.4	32.64	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.86	32.52	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.48	33.45	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.8	31.94	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-111.54	33.58	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-115.81	33.73	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-110.71	32.41	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.01	33.54	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-112.58	28.7	"unknown"	0	0	"none"
"Polioptila melanura Lawrence, 1857"	-114.06	32.32	"unknown"	0	0	"none"
