assigned,longitude,latitude
lucida,-116.34,33.94
lucida,-116.28,33.64
lucida,-112.25,33.16
lucida,-116.43,33.11
lucida,-111.4,32.64
lucida,-110.86,32.52
lucida,-111.11,33.37
lucida,-111.14,32.4
lucida,-111.41,33.36
lucida,-112.41,32.79
lucida,-111.88,33.51
lucida,-111.97,33.66
lucida,-112.29,33.87
lucida,-110.7,32.84
lucida,-112.78,33.27
lucida,-112.44,33.31
lucida,-111.43,33.47
lucida,-112.03,33.24
lucida,-116.06,33.99
lucida,-116.14,34.09
lucida,-114.52,34.84
lucida,-112.14,33.84
lucida,-111.29,32.61
lucida,-112.24,32.75
lucida,-111.95,33.08
lucida,-116.23,32.86
lucida,-112.03,32.84
lucida,-110.29,32.15
lucida,-110.94,31.57
lucida,-111.79,33.77
lucida,-114.3,32.69
lucida,-112.61,32.89
lucida,-111.09,32.48
lucida,-111.13,32.2
lucida,-112.21,33.64
lucida,-111.87,34.9
lucida,-110.11,31.44
lucida,-111.25,33.76
lucida,-113.35,32.8
lucida,-112.89,32.24
lucida,-113.98,32.49
lucida,-115.66,33.4
lucida,-110,31.57
lucida,-114.66,35.87
lucida,-112.17,33.73
lucida,-112.86,32.45
lucida,-112.09,33.34
lucida,-112.97,32.98
lucida,-114.45,32.87
lucida,-114.69,35.49
lucida,-111.89,34.77
lucida,-111.2,32.28
lucida,-111.41,32.54
lucida,-110.98,32.21
lucida,-110.35,31.84
lucida,-111.82,33.88
lucida,-114.32,34.11
lucida,-112.75,32.39
lucida,-109.99,33.22
lucida,-115.04,32.28
lucida,-111.05,31.56
lucida,-112.64,32.42
lucida,-116.66,34.04
lucida,-110.61,32.17
lucida,-112.39,33.65
lucida,-110.64,32.05
lucida,-114.84,36.11
lucida,-114.02,33.42
lucida,-111.72,33.96
lucida,-114.61,33.02
lucida,-114.57,35.2
lucida,-112.37,33.53
lucida,-113.08,33.62
lucida,-111.32,31.82
lucida,-112.06,34.25
lucida,-114.51,34.73
lucida,-111.79,32.91
lucida,-113.33,33.39
lucida,-113.18,33.03
lucida,-111.26,33.58
lucida,-116.54,33.74
lucida,-111.74,32.5
lucida,-112.16,34.19
lucida,-113.74,32.69
lucida,-114.77,36.01
lucida,-112.68,33.32
lucida,-112.58,33.36
lucida,-114.02,32.63
lucida,-109.16,32.75
lucida,-116.54,33.98
lucida,-115.96,32.6
lucida,-115.66,32.65
lucida,-111.65,33.25
lucida,-113.81,34.62
lucida,-116.02,34.13
lucida,-111.53,31.96
lucida,-111.75,34.65
lucida,-115.65,33.05
lucida,-111.09,32.64
lucida,-111.65,33.81
lucida,-114.66,35.4
lucida,-114.86,35.48
lucida,-110.86,31.49
lucida,-114.2,33.21
lucida,-114.64,36
lucida,-111.54,33.44
lucida,-111.96,33.88
lucida,-110.17,31.63
lucida,-111.59,32.65
lucida,-116.39,34.05
lucida,-110.77,32.07
lucida,-113.86,32.42
lucida,-116.2,32.68
lucida,-109.97,33.01
lucida,-114.87,34.75
lucida,-110.69,32.24
lucida,-114.46,33.99
lucida,-112.89,32.92
lucida,-116.09,32.63
lucida,-115.26,33.27
lucida,-115.15,33.24
lucida,-116.42,33.37
lucida,-110.4,32.32
lucida,-111.76,34.79
lucida,-112.32,33.75
lucida,-108.98,32.35
lucida,-109.85,32.82
lucida,-115.33,33.63
lucida,-111.08,32.28
lucida,-111.18,32.56
lucida,-112.45,33.45
lucida,-112.69,33.93
lucida,-110.7,32.33
lucida,-109.93,31.39
lucida,-110.89,31.68
lucida,-114.1,32.51
lucida,-108.74,32.69
lucida,-115.26,35.04
lucida,-115.54,33.71
lucida,-110.69,31.97
lucida,-114.22,33.75
lucida,-115.16,35.08
lucida,-110.27,31.93
lucida,-114.33,34.45
lucida,-111.02,31.79
lucida,-110.76,31.54
lucida,-110.93,32.31
lucida,-111.34,32.02
lucida,-115.8,33.73
lucida,-114.85,35.7
lucida,-113.96,34.25
lucida,-111.39,31.92
lucida,-116.67,33.95
lucida,-112.04,33.73
lucida,-111.12,31.44
lucida,-115.24,33.54
lucida,-112.69,33.74
lucida,-114.73,34.5
lucida,-112.83,33.66
lucida,-111.83,33.27
lucida,-111.86,33.97
lucida,-112.27,34.01
lucida,-111.51,33.69
lucida,-115.14,34.58
lucida,-111.01,31.94
lucida,-115.91,33.67
lucida,-115.75,35.15
lucida,-111.47,33.94
lucida,-114.73,33.54
lucida,-111.49,33.8
