assigned,longitude,latitude
melanura,-102.92,29.2
melanura,-104.02,30.07
melanura,-103.58,29.91
melanura,-101.32,29.7
melanura,-104.19,30.41
melanura,-103.3,29.25
melanura,-104.68,30.09
melanura,-103.95,29.3
melanura,-103.76,29.47
melanura,-105.44,28.29
melanura,-103.14,29.62
melanura,-103.59,29.32
melanura,-100.99,29.88
melanura,-103.52,29.62
melanura,-104.06,29.34
melanura,-104.1,29.49
melanura,-104.31,29.81
melanura,-102.87,30.88
melanura,-104.02,29.87
melanura,-103.78,26.68
melanura,-103.51,29.13
melanura,-103.47,29.53
melanura,-104.68,29.98
melanura,-103.08,29.49
melanura,-104.57,29.88
melanura,-103.45,29.32
melanura,-104.53,29.99
melanura,-100.42,29.3
melanura,-103.52,29.42
melanura,-103.17,29.37
melanura,-103.64,27.28
melanura,-105.2,27.75
melanura,-105.41,28.09
melanura,-105.34,28.26
melanura,-102.41,27.34
melanura,-103.77,28.04
melanura,-105.71,28.42
melanura,-104.42,30
melanura,-105.59,28.28
melanura,-105.21,28.49
melanura,-105.44,28.39
melanura,-102.12,26.92
melanura,-104.24,29.59
melanura,-105.63,28.17
melanura,-104.81,28.95
melanura,-104.99,28.93
melanura,-101.04,29.49
melanura,-103.98,28.69
melanura,-100.45,29.61
melanura,-103.91,28.92
melanura,-102.81,28.97
melanura,-103.77,30.47
melanura,-103.56,30.05
melanura,-101.04,28.31
melanura,-103.71,30.97
melanura,-103.93,29.5
melanura,-101.56,29.81
melanura,-105.81,29.07
melanura,-103.61,28.76
melanura,-105.57,28.59
melanura,-105.97,28.76
melanura,-100.77,27.96
melanura,-103.2,30.67
melanura,-105.45,28.5
melanura,-103.87,26.88
melanura,-103.61,29.17
melanura,-104.19,29.23
melanura,-103.82,29.34
melanura,-103.87,29.09
melanura,-102.44,28.82
melanura,-102.46,28.91
melanura,-101.86,30.37
melanura,-101.83,30.47
melanura,-105.43,29.3
melanura,-102.3,28.37
melanura,-102.37,30.02
melanura,-100.76,29.3
melanura,-102.94,28.48
melanura,-102.88,28.69
melanura,-103.06,28.69
melanura,-102.57,27.89
melanura,-103.39,29.46
melanura,-100.95,29.32
melanura,-101.18,29.33
melanura,-101.18,27.53
melanura,-103.16,29.18
melanura,-102.03,27.42
melanura,-101.39,29.6
melanura,-103.06,29.82
melanura,-100.9,30.09
melanura,-102.13,26.83
melanura,-103.34,30.01
melanura,-103.71,29.29
melanura,-104.28,29.48
melanura,-104.37,29.63
melanura,-102.37,26.95
melanura,-103.24,30.21
melanura,-102.81,29.46
melanura,-105.08,28.5
melanura,-103.73,27.95
melanura,-105.01,27.51
melanura,-103.44,29.21
melanura,-103.14,29.27
melanura,-104.59,30.22
melanura,-102.94,29.57
melanura,-103.09,29.09
melanura,-101.12,27.87
