assigned,longitude,latitude
curtata,-111,27.96
curtata,-109.87,29.41
curtata,-111.04,29.69
curtata,-110.75,28.88
curtata,-112.57,29.87
curtata,-110.81,29.59
curtata,-110.54,28.4
curtata,-112.58,28.7
curtata,-110.97,28.98
curtata,-112.67,29.93
curtata,-110.58,28.8
curtata,-111.2,28.99
curtata,-111.17,28.88
curtata,-110.96,29.16
curtata,-110.6,29.94
curtata,-110.92,29.06
curtata,-111.05,28.46
curtata,-110.85,29.13
curtata,-110.51,27.89
curtata,-111.08,29.01
curtata,-110.62,29.3
curtata,-111.79,29.1
curtata,-109.3,29.85
curtata,-111.32,28.28
curtata,-110.94,28.05
curtata,-109.95,27.75
curtata,-114.19,29.36
curtata,-109.72,29.8
curtata,-113.05,27.6
curtata,-110.81,27.97
curtata,-111.94,28.83
curtata,-113.52,29.57
curtata,-110.58,28.62
curtata,-109.72,28.58
curtata,-112.85,28.42
curtata,-113.18,28.83
curtata,-113.3,28.83
curtata,-111.1,30.06
curtata,-110.92,29.67
curtata,-114.42,29.61
curtata,-112.34,29.22
curtata,-112.63,27.67
curtata,-110.98,29.4
curtata,-110.9,27.92
curtata,-112.29,29.02
curtata,-112.5,29
curtata,-112.15,28.99
