"name"	"longitude"	"latitude"	"prov"	"date"	"key"	"subspecies"
"Polioptila melanura Lawrence, 1857"	"-110.856017"	"32.330587"	"gbif"	2023-01-05	"4014971959"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.02743"	"32.27882"	"gbif"	2023-01-06	"4018274805"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.619319"	"33.176658"	"gbif"	2023-01-07	"4015266228"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.620833"	"33.176539"	"gbif"	2023-01-07	"4014843274"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.620394"	"33.17655"	"gbif"	2023-01-07	"4014942281"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.986213"	"32.454722"	"gbif"	2023-01-07	"4015254295"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-115.459605"	"32.588581"	"gbif"	2023-01-11	"4018589875"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-114.374051"	"32.612264"	"gbif"	2023-01-13	"4018533115"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.94777"	"32.287183"	"gbif"	2023-01-13	"4018265096"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.983292"	"33.370655"	"gbif"	2023-01-14	"4018196177"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.337311"	"33.935913"	"gbif"	2023-01-14	"4133858428"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-103.95236"	"25.266674"	"gbif"	2023-01-13	"4067625691"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-111.717568"	"33.695803"	"gbif"	2023-01-09	"4022071826"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-110.931162"	"32.28217"	"gbif"	2023-01-19	"4022373336"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.568896"	"34.050707"	"gbif"	2023-01-24	"4028618079"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-112.060947"	"33.340337"	"gbif"	2023-01-03	"4029051466"	"unknown"
"Polioptila melanura Lawrence, 1857"	"-116.671772"	"34.006872"	"gbif"	2023-01-28	"4029048914"	"unknown"
