"name"	"longitude"	"latitude"	"subspecies"	"coloradense"	"crissale"	"numSubsppGroups"	"assigned"
"Toxostoma crissale Henry, 1858"	-106.72	32.42	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.56	31.82	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-103.88	32.35	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.48	35.14	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.46	35.16	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.31	31.64	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-103.3	29.27	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-103.52	29.14	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-107.84	30.4	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.49	34.6	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.74	32.32	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.83	32.28	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-103.3	29.28	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-104.75	31.98	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.75	32.47	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-107.21	33.19	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-107.57	32.72	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-107.98	32.56	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-109.65	35.06	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-109.65	35.07	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.31	31.65	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.32	31.65	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-103.44	29.43	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-103.47	29.49	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-107.86	30.4	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.48	35.1	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-104.1	29.49	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.18	31.68	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-107.29	32.88	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-103.32	29.23	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.87	33.87	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.9	33.77	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.51	31.92	"unknown"	0	0	0	"none"
