"name"	"longitude"	"latitude"	"subspecies"	"coloradense"	"crissale"	"numSubsppGroups"	"assigned"
"Toxostoma crissale Henry, 1858"	-106.717133	32.416417	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.562668	31.821741	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-103.879403	32.346395	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.479153	35.137438	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.563232	31.821711	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.458015	35.164792	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-111.47281	33.458277	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.306258	31.642681	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-103.303535	29.266535	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-103.522687	29.137059	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-107.844167	30.403479	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.48192	35.135971	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.562325	31.821285	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.489463	34.602591	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.489486	34.602593	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.741231	32.324017	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.829862	32.277251	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-103.301847	29.265451	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-103.302364	29.275952	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.561371	31.822422	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-104.751857	31.978698	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.7459	32.471	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-103.302971	29.269473	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-107.20837	33.186958	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-107.56617	32.720434	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-107.983904	32.562935	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-109.654251	35.063012	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-109.648578	35.068123	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.314412	31.646499	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.316063	31.645988	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-103.442402	29.43325	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-103.467125	29.492133	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-107.856182	30.400584	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.475193	35.099114	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-104.101181	29.494779	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.179225	31.683995	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.562798	31.82127	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-107.294822	32.883755	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-103.323167	29.23138	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.48168	35.135773	"unknown"	0	0	0	"none"
