assigned,longitude,latitude
coloradense,-115.001498,36.08066
coloradense,-115.26358,36.323859
coloradense,-114.07554,36.796552
coloradense,-111.315629,31.94114
coloradense,-111.86049,33.649216
coloradense,-108.82154,31.715767
coloradense,-113.812195,35.181618
coloradense,-114.47973,36.626102
coloradense,-108.830315,31.805485
coloradense,-112.5744,33.3487
coloradense,-109.65775,31.641382
coloradense,-109.680534,32.04361
coloradense,-112.318375,33.847713
coloradense,-112.15687,33.827587
coloradense,-110.011734,32.26959
coloradense,-115.95074,36.1473
coloradense,-114.35758,32.7638
coloradense,-111.051216,32.37593
coloradense,-113.352325,32.796986
coloradense,-108.97962,31.72993
coloradense,-110.001434,31.571093
coloradense,-113.50186,37.117725
coloradense,-114.71206,36.710464
coloradense,-112.98437,36.991364
coloradense,-110.6505,32.740715
coloradense,-114.09,33.3834
coloradense,-112.010635,33.831455
coloradense,-110.31363,31.591076
coloradense,-114.32463,34.089775
coloradense,-112.75193,32.38956
coloradense,-113.76736,33.674664
coloradense,-111.252174,31.530294
coloradense,-109.756966,32.141716
coloradense,-114.53232,33.915108
coloradense,-111.94709,34.597954
coloradense,-112.05948,33.599182
coloradense,-108.92091,31.972544
coloradense,-111.090935,32.475525
coloradense,-112.023315,34.515594
coloradense,-110.17903,31.571093
coloradense,-111.02874,31.933249
coloradense,-110.926155,32.578983
coloradense,-114.02315,32.625355
coloradense,-112.60844,34.602135
coloradense,-111.80471,33.78343
coloradense,-114.52406,34.84382
coloradense,-112.79821,33.27851
coloradense,-111.05706,31.723797
coloradense,-115.72301,36.577206
coloradense,-109.75121,31.462822
coloradense,-111.90594,34.72755
coloradense,-110.05859,31.925224
coloradense,-114.03476,35.1899
coloradense,-112.51215,34.554523
coloradense,-111.74511,32.50131
coloradense,-114.84992,36.116077
coloradense,-113.81355,34.615128
coloradense,-110.38864,31.68379
coloradense,-114.609085,32.717953
coloradense,-110.4534,32.39389
coloradense,-110.86212,31.774193
coloradense,-111.96864,33.65513
coloradense,-111.17877,31.894049
coloradense,-115.30937,36.206387
coloradense,-114.74869,31.948246
coloradense,-113.03014,34.227024
coloradense,-108.94375,32.14404
coloradense,-110.39133,31.80913
coloradense,-112.5346,33.465797
coloradense,-114.46107,33.99325
coloradense,-112.81746,33.877304
coloradense,-112.50733,33.56609
coloradense,-114.22978,33.66392
coloradense,-111.436905,34.416527
coloradense,-112.97726,34.1129
coloradense,-110.66025,31.678465
coloradense,-112.406975,34.762653
coloradense,-114.178825,34.610954
coloradense,-109.03493,31.870342
coloradense,-111.17577,32.555904
coloradense,-115.25941,35.04316
coloradense,-114.57934,36.69268
coloradense,-114.6569,36.826202
coloradense,-112.85156,34.139088
coloradense,-115.15741,35.076557
coloradense,-111.4348,31.6618
coloradense,-112.979,34.3603
coloradense,-111.70899,34.538963
coloradense,-109.9562,31.46419
coloradense,-115.52303,35.454254
coloradense,-110.30305,32.193825
coloradense,-115.87726,36.27086
