assigned,longitude,latitude
coloradense,-110.339846,31.919942
coloradense,-114.07554,36.796552
coloradense,-111.86049,33.649216
coloradense,-112.78046,33.27116
coloradense,-114.716034,36.72487
coloradense,-108.82154,31.715767
coloradense,-115.359566,36.438797
coloradense,-113.812195,35.181618
coloradense,-114.47973,36.626102
coloradense,-108.830315,31.805485
coloradense,-112.5744,33.3487
coloradense,-109.680534,32.04361
coloradense,-112.318375,33.847713
coloradense,-112.15687,33.827587
coloradense,-109.4496,32.14993
coloradense,-110.011734,32.26959
coloradense,-109.12535,31.775644
coloradense,-115.95074,36.1473
coloradense,-114.35758,32.7638
coloradense,-111.051216,32.37593
coloradense,-112.50864,33.576378
coloradense,-113.352325,32.796986
coloradense,-110.10979,31.43706
coloradense,-108.97962,31.72993
coloradense,-110.001434,31.571093
coloradense,-112.98437,36.991364
coloradense,-111.81267,33.97118
coloradense,-110.6505,32.740715
coloradense,-114.09,33.3834
coloradense,-112.010635,33.831455
coloradense,-112.35209,34.574863
coloradense,-110.31363,31.591076
coloradense,-112.75193,32.38956
coloradense,-113.535805,37.088802
coloradense,-113.76736,33.674664
coloradense,-109.15616,31.904196
coloradense,-111.252174,31.530294
coloradense,-109.756966,32.141716
coloradense,-114.53232,33.915108
coloradense,-114.333,34.132
coloradense,-111.02624,31.933945
coloradense,-112.05948,33.599182
coloradense,-108.92091,31.972544
coloradense,-114.20313,33.660683
coloradense,-111.090935,32.475525
coloradense,-112.023315,34.515594
coloradense,-110.926155,32.578983
coloradense,-112.68262,33.31627
coloradense,-109.21282,32.038445
coloradense,-114.01,34.257
coloradense,-112.60844,34.602135
coloradense,-110.81818,32.319233
coloradense,-112.73933,33.98075
coloradense,-111.05706,31.723797
coloradense,-115.72301,36.577206
coloradense,-109.75121,31.462822
coloradense,-114.84992,36.116077
coloradense,-110.38864,31.68379
coloradense,-111.17869,31.894037
coloradense,-115.30937,36.206387
coloradense,-115.007416,32.305347
coloradense,-108.94375,32.14404
coloradense,-110.39133,31.80913
coloradense,-110.1736,31.6257
coloradense,-112.71641,32.066467
coloradense,-112.5346,33.465797
coloradense,-110.716606,32.537983
coloradense,-115.39556,35.042805
coloradense,-113.641205,37.212284
coloradense,-111.76803,34.516342
coloradense,-111.74649,32.491528
coloradense,-114.46107,33.99325
coloradense,-112.81746,33.877304
coloradense,-115.26304,36.3247
coloradense,-111.4804,32.8526
coloradense,-112.97726,34.1129
coloradense,-109.17563,32.162933
coloradense,-113.0627,34.476917
coloradense,-112.406975,34.762653
coloradense,-114.178825,34.610954
coloradense,-115.07867,32.21693
coloradense,-115.46619,36.170483
coloradense,-111.17577,32.555904
coloradense,-115.25941,35.04316
coloradense,-112.85156,34.139088
coloradense,-115.15741,35.076557
coloradense,-111.4348,31.6618
coloradense,-113.79357,34.593796
coloradense,-111.563446,31.495178
coloradense,-113.8541,35.088863
coloradense,-109.65437,31.641668
coloradense,-110.226746,31.722103
