"name"	"longitude"	"latitude"	"subspecies"	"coloradense"	"crissale"	"numSubsppGroups"	"assigned"
"Toxostoma crissale Henry, 1858"	-116.3	33.25	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale Henry, 1858"	-116.31	33.21	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale Henry, 1858"	-115.83	33.5	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale Henry, 1858"	-116.32	33.24	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale"	-116.31	33.21	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale"	-116.32	33.21	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale"	-116.32	33.24	"unknown"	1	0	1	"coloradense"
"Toxostoma redivivum × crissale"	-116.31	33.21	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale"	-116.3	33.25	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale"	-115.5	33.06	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale"	-116.29	33.21	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale"	-115.18	33.05	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale"	-116.17	33.58	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale"	-116.07	33.51	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale"	-115.84	33.5	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale"	-116.14	33.67	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale"	-116.26	34.05	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale"	-116.3	33.24	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale"	-116.17	33.57	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale"	-115.6	32.94	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale"	-116.3	33.22	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale coloradense"	-116.07	33.57	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale coloradense"	-115.61	32.79	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale coloradense"	-116.23	33.59	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale coloradense"	-116.54	33.83	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale coloradense"	-115.97	33.69	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale coloradense"	-116.07	33.56	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale coloradense"	-115.57	33.17	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale coloradense"	-115.67	32.85	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale"	-116.07	33.57	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale"	-115.47	32.99	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale"	-116.06	33.56	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale"	-115.67	32.83	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale"	-116.13	33.63	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale"	-116.08	33.57	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale crissale"	-116.27	33.74	"unknown"	1	0	1	"coloradense"
"Toxostoma crissale coloradense van Rossem, 1946"	-116.17	33.57	"coloradense"	1	0	1	"coloradense"
"Toxostoma crissale coloradense van Rossem, 1946"	-115.5	33.06	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-116.16	33.68	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-115.84	32.98	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-116.34	33.7	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-117.57	33.86	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-116.14	33.63	"coloradense"	1	0	1	"coloradense"
"Toxostoma crissale coloradense van Rossem, 1946"	-116.07	33.56	"coloradense"	1	0	1	"coloradense"
"Toxostoma crissale coloradense van Rossem, 1946"	-115.57	33.17	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-116.14	33.64	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-115.83	33.33	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-116.06	33.75	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-116.52	33.79	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-116.17	33.63	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-116.23	33.65	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-116.08	33.58	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-116.02	33.67	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-115.28	33.02	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-116.23	33.73	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-116.27	33.74	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-116.15	33.63	"coloradense"	1	0	1	"coloradense"
"Toxostoma crissale coloradense van Rossem, 1946"	-116.54	33.83	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-115.54	32.98	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-115.5	33.06	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-116.15	33.65	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-115.82	33.48	"coloradense"	1	0	1	"coloradense"
"Toxostoma crissale coloradense van Rossem, 1946"	-116.07	33.57	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-116.07	33.57	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-116.08	33.72	"coloradense"	1	0	1	"coloradense"
"Toxostoma crissale coloradense van Rossem, 1946"	-115.97	33.69	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-115.52	32.98	"coloradense"	1	0	1	"coloradense"
"Toxostoma crissale coloradense van Rossem, 1946"	-115.61	32.79	"coloradense"	1	0	1	"coloradense"
"Toxostoma crissale coloradense van Rossem, 1946"	-115.68	32.85	"coloradense"	1	0	1	"coloradense"
"Toxostoma crissale coloradense van Rossem, 1946"	-116.23	33.59	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-116.54	33.79	"coloradense"	1	0	1	"coloradense"
"Toxostoma dorsale coloradense van Rossem, 1946"	-117.09	32.89	"coloradense"	1	0	1	"coloradense"
"Toxostoma crissale coloradense van Rossem, 1946"	-116.09	33.46	"coloradense"	1	0	1	"coloradense"
"Toxostoma crissale coloradense"	-116.07	33.57	"coloradense"	1	0	1	"coloradense"
"Toxostoma crissale coloradense"	-115.61	32.79	"coloradense"	1	0	1	"coloradense"
"Toxostoma crissale coloradense"	-116.23	33.59	"coloradense"	1	0	1	"coloradense"
"Toxostoma crissale coloradense"	-116.54	33.83	"coloradense"	1	0	1	"coloradense"
"Toxostoma crissale coloradense"	-115.97	33.69	"coloradense"	1	0	1	"coloradense"
"Toxostoma crissale coloradense"	-116.09	33.46	"coloradense"	1	0	1	"coloradense"
"Toxostoma crissale coloradense"	-116.07	33.56	"coloradense"	1	0	1	"coloradense"
"Toxostoma crissale coloradense"	-115.57	33.17	"coloradense"	1	0	1	"coloradense"
"Toxostoma crissale coloradense"	-115.67	32.85	"coloradense"	1	0	1	"coloradense"
"Toxostoma crissale Henry, 1858"	-110.93	31.67	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-111.51	31.58	"unknown"	0	1	1	"crissale"
"Toxostoma crissale Henry, 1858"	-110.36	31.84	"unknown"	0	1	1	"crissale"
