"name"	"longitude"	"latitude"	"subspecies"	"coloradense"	"numSubsppGroups"	"assigned"
"Toxostoma crissale"	-100.68	20.15	"unknown"	0	0	"none"
"Toxostoma crissale"	-99.31	20.49	"unknown"	0	0	"none"
"Toxostoma crissale"	-99.07	20.39	"unknown"	0	0	"none"
"Toxostoma crissale dumosum R.T.Moore, 1941"	-99.3	20.48	"dumosum"	0	0	"none"
"Toxostoma crissale"	-99.31	20.49	"dumosum"	0	0	"none"
"Toxostoma crissale crissale"	-109.27	31.34	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-109.17	32	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-109.05	32.08	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-109.69	31.57	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-109.05	31.86	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-109.72	31.56	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-109.49	32.23	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-109.08	31.33	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-109.04	31.36	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-109.76	32.56	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-109.51	31.59	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-109.19	31.93	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-109.05	31.87	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-111.45	31.53	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-109.15	31.91	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-109.17	31.96	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-109.03	31.84	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-111.66	33.63	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-108.98	32.35	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-109.45	32.15	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-103.52	29.14	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-102.99	29.18	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-112.17	32.95	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-110.83	32.73	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-107.99	31.85	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-108.32	31.75	"crissale"	1	1	"coloradense"
"Toxostoma crissale crissale"	-104.59	30.22	"crissale"	1	1	"coloradense"
