"name"	"longitude"	"latitude"	"subspecies"	"coloradense"	"crissale"	"numSubsppGroups"	"assigned"
"Toxostoma crissale Henry, 1858"	-106.72	32.42	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-111.8	34.87	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-110.93	31.67	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.56	31.82	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-109.14	31.91	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-111.51	31.58	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-115	36.08	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-103.88	32.35	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-115.01	36.1	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-115.01	36.08	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.48	35.14	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-114.49	32.82	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.46	35.16	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-110.36	31.84	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-111.47	33.46	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-112.77	33.38	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-106.31	31.64	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-114.64	32.73	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-110.34	31.92	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-110.99	31.69	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-115.11	36.06	"unknown"	0	0	0	"none"
"Toxostoma crissale Henry, 1858"	-103.3	29.27	"unknown"	0	0	0	"none"
