assigned,longitude,latitude
coloradense,-110.93,31.67
coloradense,-115.26,36.32
coloradense,-114.03,32.7
coloradense,-114.53,33.69
coloradense,-115.59,36.27
coloradense,-111.32,31.94
coloradense,-111.86,33.65
coloradense,-110.73,32.21
coloradense,-114.58,36.66
coloradense,-108.81,31.72
coloradense,-108.92,31.76
coloradense,-112.78,33.27
coloradense,-109.36,32.01
coloradense,-112.57,33.35
coloradense,-109.66,31.64
coloradense,-108.6,32.81
coloradense,-111.47,33.4
coloradense,-108.33,31.92
coloradense,-111.33,31.82
coloradense,-110.01,32.27
coloradense,-112.85,32.47
coloradense,-109.69,32.06
coloradense,-113.71,37.18
coloradense,-114.36,32.76
coloradense,-111.05,32.38
coloradense,-110.26,31.34
coloradense,-111.35,33.4
coloradense,-113.35,32.8
coloradense,-110,31.57
coloradense,-112.26,33.39
coloradense,-112.98,36.99
coloradense,-112.97,32.98
coloradense,-111.81,33.97
coloradense,-114.09,33.38
coloradense,-112.01,33.83
coloradense,-110.31,31.59
coloradense,-110.41,31.82
coloradense,-113.54,37.09
coloradense,-113.77,33.67
coloradense,-111.74,32.5
coloradense,-114.69,36.7
coloradense,-109.97,33.01
coloradense,-111.36,34
coloradense,-112.79,32.33
coloradense,-109.76,32.14
coloradense,-108.52,31.76
coloradense,-114.53,33.92
coloradense,-114.33,34.13
coloradense,-111.95,34.6
coloradense,-111.03,31.93
coloradense,-111.13,33.67
coloradense,-108.18,31.46
coloradense,-108.92,31.97
coloradense,-115.47,36.07
coloradense,-114.37,34.51
coloradense,-108.2,31.82
coloradense,-111.09,32.48
coloradense,-112.02,34.52
coloradense,-110.2,32.85
coloradense,-111.36,31.59
coloradense,-109.06,32.71
coloradense,-111.7,33.96
coloradense,-110.93,32.58
coloradense,-112.68,33.32
coloradense,-109.21,32.04
coloradense,-109.63,34.44
coloradense,-114.01,34.26
coloradense,-112.61,34.6
coloradense,-112.69,34.48
coloradense,-109.16,32.75
coloradense,-112.02,33.26
coloradense,-111.06,31.72
coloradense,-115.72,36.58
coloradense,-110.06,31.93
coloradense,-108.56,32.46
coloradense,-114.48,32.99
coloradense,-111.76,32.96
coloradense,-108.34,32.78
coloradense,-108.16,32.79
coloradense,-113.81,34.62
coloradense,-111.25,33.76
coloradense,-110.39,31.68
coloradense,-109.7,31.47
coloradense,-111.18,31.89
coloradense,-111.66,33.74
coloradense,-115.31,36.21
coloradense,-113.88,35.08
coloradense,-112.31,33.89
coloradense,-110.44,33.16
coloradense,-108.94,32.14
coloradense,-111.16,35.06
coloradense,-110.17,31.63
coloradense,-114.84,36.12
coloradense,-112.53,33.47
coloradense,-110.72,32.54
coloradense,-115.4,35.04
coloradense,-111.44,33.84
coloradense,-114.46,33.99
coloradense,-112.82,33.88
coloradense,-114.07,36.8
coloradense,-108.7,32.36
coloradense,-112.98,34.11
coloradense,-110.66,31.68
coloradense,-113.06,34.48
coloradense,-112.41,34.76
coloradense,-112.38,33.38
coloradense,-114.18,34.61
coloradense,-111.18,32.56
coloradense,-111.16,33.28
coloradense,-115.26,35.04
coloradense,-115.09,35.11
coloradense,-112.13,33.87
coloradense,-111.43,31.66
coloradense,-111.33,33.26
coloradense,-114.98,32.33
coloradense,-112.98,34.36
coloradense,-111.71,34.54
coloradense,-109.55,31.36
coloradense,-109.04,31.51
coloradense,-109.96,31.46
coloradense,-116.72,37
coloradense,-115.52,35.45
coloradense,-111.16,33.4
coloradense,-111.95,33.08
coloradense,-111.99,33.72
coloradense,-108.34,32.03
coloradense,-115.88,36.27
coloradense,-109.62,31.79
coloradense,-108.81,31.92
coloradense,-108.55,33.02
coloradense,-113.68,34.21
coloradense,-110.81,32.31
coloradense,-115.55,35.74
coloradense,-111.2,32.86
coloradense,-114.53,34.77
coloradense,-113.04,34.22
coloradense,-112.89,34.46
coloradense,-113.82,37.1
coloradense,-110.67,32.76
coloradense,-108.36,32.38
coloradense,-111.92,33.31
coloradense,-113.88,37.02
coloradense,-114.16,35.44
coloradense,-110.85,33.32
coloradense,-108.79,31.82
coloradense,-112.29,33.52
coloradense,-109.97,31.85
coloradense,-109.07,31.34
coloradense,-110.35,31.47
coloradense,-111.4,32.65
coloradense,-115.13,35.65
coloradense,-110.19,31.72
coloradense,-113.8,36.94
coloradense,-113.08,37.17
coloradense,-115.89,35.77
coloradense,-115.11,36.63
coloradense,-112.23,32.74
coloradense,-113.4,37.27
coloradense,-110.94,31.58
coloradense,-113.94,37.17
coloradense,-114.22,32.68
coloradense,-111.42,35.88
coloradense,-110.97,33.11
coloradense,-112.53,34.46
coloradense,-110.25,31.44
coloradense,-114.85,35.95
coloradense,-110.28,32.67
coloradense,-110.88,31.77
coloradense,-111.03,33.3
coloradense,-111.48,33.95
coloradense,-116.03,36.46
coloradense,-115.11,37.25
coloradense,-115.7,35.39
coloradense,-112.73,37.04
coloradense,-109.48,31.62
coloradense,-112.25,35.52
coloradense,-115.94,36.14
coloradense,-110.24,32.5
coloradense,-110.82,33.58
coloradense,-110.3,31.98
coloradense,-111.8,36.05
coloradense,-114.33,36.62
coloradense,-111.98,36.48
coloradense,-109.86,32.78
coloradense,-111.08,31.47
coloradense,-113.63,37.03
coloradense,-114.1,35.2
coloradense,-110.97,33.8
coloradense,-112.93,32.31
coloradense,-111.79,33.09
coloradense,-111.37,33.71
coloradense,-108.84,32.65
coloradense,-109.76,32.68
coloradense,-109.76,32.57
coloradense,-112.06,33.54
coloradense,-115.07,32.22
coloradense,-109.27,31.34
coloradense,-110.7,33.54
coloradense,-114.91,31.11
coloradense,-111.43,31.86
coloradense,-111.52,31.75
coloradense,-111.77,34.67
coloradense,-112.36,34.55
coloradense,-115.23,32.09
coloradense,-110.42,32.03
coloradense,-110.49,32.13
coloradense,-110.57,33.72
coloradense,-113.51,33.64
coloradense,-111.48,34.37
coloradense,-111.48,36.92
coloradense,-109.05,32.08
coloradense,-109.45,32.92
coloradense,-111.42,31.44
coloradense,-110.03,33.2
coloradense,-110.94,32.76
coloradense,-110.83,31.57
coloradense,-110.7,31.51
coloradense,-109.4,31.35
coloradense,-113.24,33.58
coloradense,-112.02,33.37
coloradense,-114.69,33.24
