assigned,longitude,latitude
coloradense,-116.31,33.21
coloradense,-115.83,33.5
coloradense,-115.18,33.05
coloradense,-116.26,34.05
coloradense,-115.6,32.94
coloradense,-115.57,33.17
coloradense,-115.67,32.85
coloradense,-115.47,32.99
coloradense,-115.84,32.98
coloradense,-116.34,33.7
coloradense,-117.57,33.86
coloradense,-116.14,33.64
coloradense,-115.83,33.33
coloradense,-116.06,33.75
coloradense,-116.52,33.79
coloradense,-116.23,33.73
coloradense,-116.07,33.57
coloradense,-116.23,33.59
coloradense,-117.09,32.89
coloradense,-116.09,33.46
coloradense,-115.97,33.69
