assigned,longitude,latitude
crissale,-111.32,31.94
crissale,-109.68,32.04
crissale,-110.11,31.44
crissale,-110.01,32.27
crissale,-110.29,32.15
crissale,-111.05,32.38
crissale,-110,31.57
crissale,-110.88,31.47
crissale,-110.31,31.59
crissale,-110.29,31.35
crissale,-110.4,31.83
crissale,-109.72,31.56
crissale,-110.23,31.43
crissale,-109.7,32.72
crissale,-109.76,32.14
crissale,-111.03,31.93
crissale,-111.09,32.48
crissale,-111.36,31.59
crissale,-110.93,32.58
crissale,-111.72,32.53
crissale,-111.06,31.72
crissale,-110.39,31.68
crissale,-109.7,31.47
crissale,-111.18,31.89
crissale,-110.17,31.63
crissale,-110.72,32.54
crissale,-110.66,31.68
crissale,-111.18,32.56
crissale,-111.43,31.66
crissale,-111.56,31.5
crissale,-109.65,31.64
crissale,-110.23,31.72
crissale,-109.55,31.36
crissale,-111.12,31.63
crissale,-109.96,31.46
crissale,-109.62,31.79
crissale,-111.15,31.45
crissale,-110.81,32.31
crissale,-111.1,31.37
crissale,-110.96,31.68
crissale,-109.97,31.85
crissale,-110.35,31.47
crissale,-111.26,31.53
crissale,-110.94,31.57
crissale,-110.28,32.67
crissale,-110.99,31.49
crissale,-109.48,31.62
crissale,-110.24,32.5
crissale,-110.3,31.98
crissale,-111.3,31.76
crissale,-110.89,31.78
crissale,-110.45,32.15
crissale,-111.43,31.86
crissale,-111.52,31.75
crissale,-110.42,32.03
crissale,-109.55,31.51
crissale,-111.42,31.44
crissale,-110.83,31.57
crissale,-109.8,32.29
crissale,-110.76,31.8
crissale,-110.08,32.05
crissale,-110.73,31.61
crissale,-111.52,31.95
crissale,-110.71,31.5
crissale,-110.61,32.23
crissale,-110.74,32.63
crissale,-110.66,31.77
crissale,-110.9,32.47
crissale,-109.88,32.07
crissale,-109.92,31.97
crissale,-110.24,32.35
crissale,-110.85,31.38
crissale,-110.99,31.4
crissale,-110.1,31.9
crissale,-111.36,32.3
crissale,-110.19,31.52
crissale,-111.25,31.41
crissale,-110.13,32.51
crissale,-110.02,32.51
crissale,-111.27,32.5
crissale,-110.5,31.67
crissale,-110.62,32.07
crissale,-111.18,32.16
crissale,-111.59,32.59
crissale,-109.88,32.22
crissale,-110.98,32.21
crissale,-109.5,32.32
crissale,-109.58,32.38
crissale,-111.39,32.13
crissale,-110.23,31.91
crissale,-110.72,32.2
crissale,-111.51,31.59
crissale,-109.52,31.88
crissale,-111.28,32.24
crissale,-111.63,31.78
crissale,-111.41,32.54
crissale,-110.93,32.29
crissale,-110.56,31.91
crissale,-111.08,32.05
crissale,-111.89,31.97
crissale,-110.86,32.18
crissale,-110.07,31.71
crissale,-110.93,31.99
crissale,-110.93,32.09
crissale,-110.7,32.34
crissale,-110.97,31.85
crissale,-110.71,32.43
crissale,-111.1,31.83
crissale,-110.93,32.38
crissale,-110.83,32.73
crissale,-109.49,32.23
crissale,-109.76,32.56
crissale,-111.5,32.64
crissale,-109.6,32.24
crissale,-110.49,32.43
