assigned,longitude,latitude
coloradense,-115.26358,36.323859
coloradense,-111.86049,33.649216
coloradense,-110.167,31.61
coloradense,-108.82154,31.715767
coloradense,-114.47973,36.626102
coloradense,-108.830315,31.805485
coloradense,-109.65775,31.641382
coloradense,-109.680534,32.04361
coloradense,-110.988464,31.414017
coloradense,-112.15687,33.827587
coloradense,-110.011734,32.26959
coloradense,-114.35758,32.7638
coloradense,-111.051216,32.37593
coloradense,-110.26484,31.339602
coloradense,-109.03008,31.90858
coloradense,-113.352325,32.796986
coloradense,-110.10979,31.43706
coloradense,-108.97962,31.72993
coloradense,-110.001434,31.571093
coloradense,-112.98437,36.991364
coloradense,-114.9687,36.090786
coloradense,-110.6505,32.740715
coloradense,-114.09,33.3834
coloradense,-112.010635,33.831455
coloradense,-110.40797,31.816313
coloradense,-112.75193,32.38956
coloradense,-109.72002,31.561499
coloradense,-113.535805,37.088802
coloradense,-113.76736,33.674664
coloradense,-109.69832,31.463556
coloradense,-109.756966,32.141716
coloradense,-114.53232,33.915108
coloradense,-114.333,34.132
coloradense,-111.94709,34.597954
coloradense,-111.02624,31.933945
coloradense,-112.05948,33.599182
coloradense,-108.92091,31.972544
coloradense,-111.090935,32.475525
coloradense,-112.023315,34.515594
coloradense,-111.36373,31.593475
coloradense,-110.926155,32.578983
coloradense,-112.60844,34.602135
coloradense,-111.80471,33.78343
coloradense,-112.79821,33.27851
coloradense,-111.05706,31.723797
coloradense,-115.72301,36.577206
coloradense,-114.84992,36.116077
coloradense,-113.81355,34.615128
coloradense,-111.821495,34.89687
coloradense,-110.38864,31.68379
coloradense,-110.70765,32.19122
coloradense,-110.4534,32.39389
coloradense,-110.86212,31.774193
coloradense,-111.96864,33.65513
coloradense,-111.17877,31.894049
coloradense,-115.30937,36.206387
coloradense,-114.74869,31.948246
coloradense,-113.03014,34.227024
coloradense,-115.007416,32.305347
coloradense,-108.94375,32.14404
coloradense,-110.6921,32.3371
coloradense,-112.71641,32.066467
coloradense,-112.5346,33.465797
coloradense,-111.74429,32.499786
coloradense,-113.641205,37.212284
coloradense,-111.76803,34.516342
coloradense,-114.46107,33.99325
coloradense,-112.81746,33.877304
coloradense,-112.27682,33.84719
coloradense,-111.4804,32.8526
coloradense,-112.50733,33.56609
coloradense,-114.07404,36.7982
coloradense,-112.97726,34.1129
coloradense,-109.210365,32.003784
coloradense,-111.718094,34.678986
coloradense,-115.931984,36.14641
coloradense,-114.178825,34.610954
coloradense,-111.17577,32.555904
coloradense,-115.25941,35.04316
coloradense,-115.08928,35.10574
coloradense,-111.4348,31.6618
