assigned,longitude,latitude
dumosum,-100.5,25.62
dumosum,-100.77,20.9
dumosum,-100.34,24.83
dumosum,-100.63,25.46
dumosum,-100.73,25.32
dumosum,-100.63,25.09
dumosum,-101.07,25.34
dumosum,-100.43,25.24
dumosum,-101.84,25.26
dumosum,-101.7,23.87
dumosum,-104.69,24.02
dumosum,-99.85,23.55
dumosum,-100.81,25.44
dumosum,-101.68,24.71
dumosum,-101.66,24.62
dumosum,-100.95,25.37
dumosum,-101.02,25.21
dumosum,-101,23.61
dumosum,-100.84,25.31
dumosum,-99.95,23.57
dumosum,-99.76,23.5
dumosum,-100.92,25.05
dumosum,-103.23,25.14
dumosum,-100.3,25.44
dumosum,-101.38,23.37
dumosum,-101.2,25.44
dumosum,-100.81,22.32
dumosum,-103.77,23.76
dumosum,-101.02,25.02
dumosum,-104.38,23.55
