"name"	"longitude"	"latitude"	"subspecies"	"celsum"	"maculatum"	"oberholseri"	"numSubsppGroups"	"assigned"
"Toxostoma curvirostre (Swainson, 1827)"	-109.24	26.4	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre (Swainson, 1827)"	-108.95	27.02	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.97	27.96	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.17	26.58	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre (Swainson, 1827)"	-110	27.45	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre (Swainson, 1827)"	-108.04	26.47	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre (Swainson, 1827)"	-111.03	27.97	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.59	28.2	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.88	27.65	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.01	27.03	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.94	27.08	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre (Swainson, 1827)"	-111.09	27.97	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre (Swainson, 1827)"	-111.12	27.99	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre (Swainson, 1827)"	-111.07	28	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.92	27.06	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.53	28.46	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre (Swainson, 1827)"	-110.95	27.91	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre (Swainson, 1827)"	-111.07	27.97	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre (Swainson, 1827)"	-108.91	27.01	"unknown"	0	1	0	1	"maculatum"
"Toxostoma curvirostre (Swainson, 1827)"	-109.59	26.69	"unknown"	0	1	0	1	"maculatum"
