assigned,longitude,latitude
celsum,-110.07,31.72
celsum,-107.98,32.5
celsum,-107.97,32.59
celsum,-109.8,31.76
celsum,-109.5,31.74
celsum,-110.12,32.51
celsum,-109.92,32.42
celsum,-109.88,32.31
celsum,-110.11,31.44
celsum,-108.27,32.83
celsum,-110.06,31.93
celsum,-108.82,31.72
celsum,-109.72,31.58
celsum,-110.29,31.98
celsum,-109.76,32.7
celsum,-108.51,32.84
celsum,-110.23,31.39
celsum,-109.86,32.81
celsum,-110.31,31.59
celsum,-110.17,31.61
celsum,-109.76,32.08
celsum,-108.17,31.85
celsum,-109.83,31.97
celsum,-109.61,32.17
celsum,-109.75,31.49
celsum,-110.29,31.47
celsum,-109.06,31.81
celsum,-110.28,31.31
celsum,-107.95,30.37
celsum,-109.18,31.85
celsum,-109.59,30.72
celsum,-105.75,31.19
celsum,-107.96,32.84
celsum,-109.7,32.83
celsum,-109.85,32.14
celsum,-108.58,32.29
celsum,-109.53,31.9
celsum,-108.3,32.72
celsum,-110,31.43
celsum,-109.83,32.23
celsum,-110.06,32.62
celsum,-109.94,31.34
celsum,-109.69,31.37
celsum,-108.46,30.86
celsum,-107.77,30.54
celsum,-109.04,31.93
celsum,-108.71,32.33
celsum,-110.23,31.72
celsum,-108.98,32.1
celsum,-109.15,31.96
celsum,-110.17,30.33
celsum,-109.38,30.58
celsum,-109.24,31.59
celsum,-108.56,31.36
celsum,-108.74,32.72
celsum,-108.15,32.8
celsum,-110.25,32.77
celsum,-109.75,31.88
celsum,-109.38,31.93
celsum,-110.31,32.19
celsum,-108.71,31.51
celsum,-108.34,30.09
celsum,-108.87,31.89
celsum,-108.36,32.54
celsum,-109.95,30.63
celsum,-109.19,30.38
celsum,-109.89,31.43
celsum,-109.32,31.12
celsum,-108.93,31.42
celsum,-109.69,31.68
celsum,-109.27,31.34
celsum,-109.51,31.59
celsum,-109.4,31.48
celsum,-109.4,31.35
celsum,-109.44,32.16
celsum,-109.09,31.47
celsum,-109.12,32.36
celsum,-109,32.79
celsum,-109.51,31.34
celsum,-109.72,32.21
celsum,-108.34,31.7
celsum,-108.07,30.6
celsum,-109.05,31.38
celsum,-108.46,32.62
celsum,-109.48,32.33
celsum,-108.79,31.44
celsum,-109.29,31.85
celsum,-108.71,31.69
celsum,-109.37,32.07
celsum,-110.04,32.03
celsum,-110.21,31.9
celsum,-109.25,32
celsum,-109.25,32.1
celsum,-109.38,30.44
