assigned,longitude,latitude
curvirostre,-98.75,20.18
curvirostre,-99.06,19.37
curvirostre,-100.6,20.11
curvirostre,-97.37,17.87
curvirostre,-97.46,18.33
curvirostre,-98.29,19.19
curvirostre,-98.63,19.36
curvirostre,-99.27,20.18
curvirostre,-99.36,18.89
curvirostre,-98.88,19.41
curvirostre,-99.19,19.69
curvirostre,-99.59,19.24
curvirostre,-99.12,20.03
curvirostre,-99.55,19.95
curvirostre,-99.74,19.33
curvirostre,-98.76,19.32
curvirostre,-99.89,19.8
curvirostre,-100.3,19.68
curvirostre,-98.97,19.47
curvirostre,-98.85,20.15
curvirostre,-98.98,19.23
curvirostre,-98.4,19.86
curvirostre,-99.46,19.73
curvirostre,-99.47,20
curvirostre,-99.1,19.28
curvirostre,-97.66,18.31
curvirostre,-98.44,18.99
curvirostre,-100.02,19.25
curvirostre,-97.29,17.45
curvirostre,-98.44,19.29
curvirostre,-99.49,19.29
curvirostre,-98.44,19.11
curvirostre,-99.59,18.97
curvirostre,-98.53,19.5
curvirostre,-99.62,19.34
curvirostre,-97.92,18.59
curvirostre,-97.74,18.4
curvirostre,-97.34,18.32
curvirostre,-98.88,18.95
curvirostre,-98.71,19.99
curvirostre,-100.13,19.52
curvirostre,-98.38,20.07
curvirostre,-99.02,19.67
curvirostre,-97.7,18.22
curvirostre,-98.53,19.26
curvirostre,-98.25,19.02
curvirostre,-98.99,18.96
curvirostre,-97,17.92
curvirostre,-98.98,19.56
curvirostre,-99.13,19.62
curvirostre,-98.88,19.51
curvirostre,-99.25,19.62
curvirostre,-98.95,18.82
curvirostre,-99,19.78
curvirostre,-99.19,19.53
curvirostre,-98.32,18.91
curvirostre,-99.12,19.78
curvirostre,-98.35,19.06
curvirostre,-99.34,20.05
curvirostre,-98.51,19.63
curvirostre,-98.8,19.11
curvirostre,-98.81,18.88
curvirostre,-97.52,18.6
curvirostre,-99.08,19.11
curvirostre,-98.85,19.69
curvirostre,-99.36,19.63
curvirostre,-97.31,18.72
curvirostre,-99.11,19.87
curvirostre,-99.4,20.2
curvirostre,-97.49,18.04
curvirostre,-98.53,19.08
curvirostre,-97.43,18.19
curvirostre,-96.96,17.76
curvirostre,-98.4,19.41
curvirostre,-98.62,20.2
curvirostre,-99.31,19.37
curvirostre,-99.24,20.01
curvirostre,-98.86,19.6
curvirostre,-99.3,19.22
curvirostre,-99.22,19.79
curvirostre,-98.71,19.88
curvirostre,-98.85,19.24
curvirostre,-99.03,19.96
curvirostre,-99.09,19.48
curvirostre,-100.23,19.75
curvirostre,-99.2,19.3
curvirostre,-100.35,19.48
curvirostre,-100.29,20.13
curvirostre,-99.2,19.2
curvirostre,-98.05,18.22
curvirostre,-97.25,17.68
curvirostre,-99.33,19.72
curvirostre,-99.18,19.39
curvirostre,-99.63,19.62
curvirostre,-99.93,19.7
curvirostre,-98.44,18.89
curvirostre,-99.76,19.95
curvirostre,-99.71,20.17
curvirostre,-99.11,18.82
curvirostre,-99.4,19.34
curvirostre,-100.62,19.89
curvirostre,-100.06,19.82
curvirostre,-99.47,18.99
curvirostre,-99.21,19.91
curvirostre,-99.1,18.99
curvirostre,-99.26,18.94
curvirostre,-99.27,19.47
curvirostre,-100.12,19.26
curvirostre,-98.85,19.98
curvirostre,-99.29,18.82
curvirostre,-100.29,19.36
curvirostre,-98.82,19.88
curvirostre,-99.6,19.47
curvirostre,-100.28,19.57
curvirostre,-99.96,18.87
curvirostre,-99.36,19.5
curvirostre,-99.69,19.77
curvirostre,-99.77,19.45
curvirostre,-100.18,19.04
curvirostre,-97.34,18.42
curvirostre,-98.9,19.32
curvirostre,-99.43,19.43
curvirostre,-98.92,19.87
curvirostre,-100.6,20.02
curvirostre,-98.59,19.94
curvirostre,-99.82,20.09
curvirostre,-97.66,18.01
curvirostre,-100.12,20.14
curvirostre,-98.28,19.35
curvirostre,-98.45,20.14
curvirostre,-98.65,20.08
curvirostre,-98.72,19.77
curvirostre,-97.07,17.61
curvirostre,-97.91,18.78
curvirostre,-100.04,19.04
curvirostre,-100.19,19.44
curvirostre,-97.4,17.57
curvirostre,-97.6,17.69
curvirostre,-97.78,17.81
curvirostre,-97.43,18.5
curvirostre,-99.5,20.1
curvirostre,-97.18,18.25
curvirostre,-96.13,18.09
curvirostre,-99.53,19.1
curvirostre,-99.98,20.02
curvirostre,-99.2,19.1
curvirostre,-97.32,18.57
curvirostre,-98.03,18.12
curvirostre,-97.08,18.13
curvirostre,-98.21,18.22
curvirostre,-96.92,17.61
curvirostre,-99.92,19.28
curvirostre,-99.27,19.03
