assigned,longitude,latitude
insularum,-108.71,29.84
insularum,-109.85,30.01
insularum,-110.86,31.45
insularum,-110.59,28.2
insularum,-110.91,29.07
insularum,-110.62,31.45
insularum,-109.53,28.46
insularum,-110.45,31.43
insularum,-111.02,29.06
insularum,-110,27.45
insularum,-110.96,29.69
insularum,-113.15,31.39
insularum,-110.73,29.49
insularum,-109.04,29.8
insularum,-111.53,30.4
insularum,-109.74,29.29
insularum,-110.39,29.43
insularum,-110.97,28.98
insularum,-109.63,28.76
insularum,-112.67,29.93
insularum,-110.98,29.17
insularum,-111.12,30.55
insularum,-111.12,30.17
insularum,-111.15,30.33
insularum,-110.31,31.45
insularum,-111.01,28.27
insularum,-112.36,30.26
insularum,-112.12,28.97
insularum,-112.05,30.68
insularum,-110.81,29.2
insularum,-110.32,29.12
insularum,-109.87,27.51
insularum,-111.42,28.29
insularum,-110.47,31.16
insularum,-113.48,31.33
insularum,-108.11,29.27
insularum,-111.12,28.3
insularum,-109.88,27.65
insularum,-108.7,29.03
insularum,-110.11,30.03
insularum,-113.59,31.36
insularum,-110.75,27.92
insularum,-110.9,27.89
insularum,-110.98,27.99
insularum,-110.23,27.58
insularum,-111.1,27.97
insularum,-110.09,27.56
insularum,-108.14,27.25
insularum,-110.44,27.77
insularum,-110.88,31
insularum,-109.91,27.86
insularum,-112.1,29.4
insularum,-108.42,30.01
insularum,-110.62,29.92
insularum,-110.94,31.13
insularum,-108.53,28.13
insularum,-108.27,27.38
insularum,-109.72,29.8
insularum,-110.62,28.75
insularum,-110.3,28.5
insularum,-110.12,28.52
insularum,-110.9,29.38
insularum,-109.93,28.62
insularum,-110.58,28.62
insularum,-109.72,28.58
insularum,-111.2,31.2
insularum,-112.63,28.67
insularum,-110.85,27.97
insularum,-108.05,27.3
insularum,-112.33,30.7
insularum,-111.66,30.67
insularum,-111.04,31.16
insularum,-109.62,28.62
insularum,-111.18,31.43
insularum,-108.77,27.98
insularum,-110.93,31.34
insularum,-112.38,29
insularum,-112.25,29.01
insularum,-112.28,28.78
insularum,-112.34,29.22
insularum,-113.18,28.83
