assigned,longitude,latitude
curvirostre,-110.9,29.01
curvirostre,-110.59,28.2
curvirostre,-111.02,29.06
curvirostre,-110.79,29.53
curvirostre,-110.99,27.94
curvirostre,-110.91,29.13
curvirostre,-110.96,29.69
curvirostre,-110.39,29.43
curvirostre,-111.05,29.16
curvirostre,-110.58,28.8
curvirostre,-111.01,28.27
curvirostre,-112.69,29.91
curvirostre,-112.12,28.97
curvirostre,-110.81,29.2
curvirostre,-111.42,28.29
curvirostre,-111.12,28.3
curvirostre,-110.75,27.92
curvirostre,-110.9,27.89
curvirostre,-110.32,29.13
curvirostre,-111.13,28
curvirostre,-110.44,27.77
curvirostre,-112.1,29.4
curvirostre,-112.28,28.78
curvirostre,-110.62,29.92
curvirostre,-110.58,28.62
curvirostre,-112.63,28.67
curvirostre,-110.85,27.97
curvirostre,-110.98,29.4
curvirostre,-112.34,29.22
curvirostre,-112.38,29
curvirostre,-113.18,28.83
