assigned,longitude,latitude
maculatum,-109.17,26.58
maculatum,-110,27.45
maculatum,-110.59,28.2
maculatum,-108.91,27.01
maculatum,-109.59,26.69
maculatum,-109.17,26.47
maculatum,-108.91,26.91
maculatum,-108.04,26.47
maculatum,-109.24,26.4
maculatum,-111.01,28.27
maculatum,-109.24,26.67
maculatum,-109.03,26.03
maculatum,-108.62,26.44
maculatum,-109.87,27.51
maculatum,-111.42,28.29
maculatum,-111.12,28.3
maculatum,-110.75,27.92
maculatum,-110.9,27.89
maculatum,-110.23,27.58
maculatum,-111.13,28
maculatum,-109.16,25.97
maculatum,-110.09,27.56
maculatum,-108.53,26.82
maculatum,-108.18,26.73
maculatum,-108.14,27.25
maculatum,-108.7,26.3
maculatum,-108.8,26.27
maculatum,-109.95,28.62
maculatum,-108.22,26.43
maculatum,-109.94,27.61
maculatum,-108.53,28.13
maculatum,-108.27,27.38
maculatum,-110.3,28.5
maculatum,-110.12,28.52
maculatum,-109.13,26.35
maculatum,-109.53,28.46
maculatum,-109.4,27.15
maculatum,-109.3,26.95
maculatum,-110.85,27.97
maculatum,-109.52,27.21
maculatum,-108.76,26.54
maculatum,-109.12,28.43
maculatum,-109.9,27.71
maculatum,-110.98,27.96
maculatum,-108.99,27.11
maculatum,-109.93,27.12
maculatum,-109.08,27.02
maculatum,-108.68,26.9
maculatum,-108.05,27.3
maculatum,-109.29,25.97
maculatum,-110.39,27.75
maculatum,-108.09,26.82
maculatum,-109.72,28.58
maculatum,-109.32,28.12
maculatum,-108.63,27.15
maculatum,-109.91,27.86
maculatum,-109.26,27.23
maculatum,-110.58,28.62
maculatum,-108.62,27.02
maculatum,-108.79,27.02
maculatum,-109.62,28.62
maculatum,-108.77,27.98
